,when,did,henry,issue,the,edict,of,nantes,?
throne,0.19116877019405365,0.16482007503509521,0.2891768515110016,0.18464107811450958,0.2638266980648041,0.39417901635169983,0.211557537317276,0.18196766078472137,0.17206846177577972
as,0.4437963366508484,0.3596470057964325,0.2156684696674347,0.2138717770576477,0.48381632566452026,0.1445269137620926,0.3886612355709076,0.12150095403194427,0.27043893933296204
henry,0.28485748171806335,0.22827239334583282,1.0,0.13984030485153198,0.2542637586593628,0.3239153325557709,0.2390729784965515,0.293926477432251,0.16836383938789368
iv,0.25298017263412476,0.10158560425043106,0.3279154598712921,0.19960904121398926,0.22478210926055908,0.31791219115257263,0.21761731803417206,0.26018303632736206,0.16932271420955658
",",0.36674630641937256,0.3015086054801941,0.25662001967430115,0.22797159850597382,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.2712658941745758,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.2218981832265854,0.19899961352348328,0.5171257257461548,0.1510496437549591,0.5116966962814331,0.2365725338459015,0.20544172823429108
having,0.4296937882900238,0.3157401978969574,0.1795787215232849,0.2765425741672516,0.3821379244327545,0.1694280505180359,0.38889452815055847,0.17664048075675964,0.22418256103992462
recanted,0.2365068644285202,0.3701290190219879,0.2449391931295395,0.20815856754779816,0.341305673122406,0.4331556260585785,0.34592390060424805,0.35026228427886963,0.195877343416214
protestantism,0.1701282560825348,0.24077598750591278,0.25708097219467163,0.23786692321300507,0.2780466079711914,0.43736541271209717,0.31892913579940796,0.27577781677246094,0.1824951469898224
in,0.4431333839893341,0.2593238651752472,0.21735817193984985,0.1525554060935974,0.6662389636039734,0.18521805107593536,0.5696388483047485,0.19122108817100525,0.20430970191955566
favour,0.22480446100234985,0.2538353204727173,0.20058830082416534,0.22933273017406464,0.2575749158859253,0.2937873899936676,0.29678869247436523,0.23104897141456604,0.19697274267673492
of,0.3757161796092987,0.2513895630836487,0.2390729784965515,0.2598971724510193,0.733189046382904,0.2533416450023651,1.0,0.21890923380851746,0.1826142966747284
roman,0.1767279952764511,0.1483525037765503,0.27628612518310547,0.16215158998966217,0.2862859070301056,0.406771719455719,0.31028008460998535,0.2876238226890564,0.1663191318511963
catholicism,0.17926764488220215,0.23262101411819458,0.2865065634250641,0.19838334619998932,0.2436220645904541,0.46764180064201355,0.28712788224220276,0.30627667903900146,0.2233523428440094
",",0.36674630641937256,0.3015086054801941,0.25662001967430115,0.22797159850597382,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.2712658941745758,0.31091248989105225
issued,0.18766894936561584,0.2733176648616791,0.16086004674434662,0.485500693321228,0.22837360203266144,0.30887192487716675,0.2873246371746063,0.1355273723602295,0.169851616024971
the,0.5091903209686279,0.34736719727516174,0.2542637586593628,0.22164808213710785,1.0,0.17931364476680756,0.733189046382904,0.20705030858516693,0.22068053483963013
edict,0.22003233432769775,0.16355286538600922,0.3239153325557709,0.23848919570446014,0.17931364476680756,0.9999999403953552,0.2533416450023651,0.34621894359588623,0.16218337416648865
of,0.3757161796092987,0.2513895630836487,0.2390729784965515,0.2598971724510193,0.733189046382904,0.2533416450023651,1.0,0.21890923380851746,0.1826142966747284
nantes,0.17704027891159058,0.1464715451002121,0.293926477432251,0.14489659667015076,0.20705030858516693,0.34621894359588623,0.21890923380851746,1.0,0.15215469896793365
.,0.475719153881073,0.35288307070732117,0.3065545856952667,0.2539304792881012,0.5934505462646484,0.1859036087989807,0.5352458953857422,0.2626231014728546,0.4130953550338745
