,what,percentage,of,the,land,cleared,in,the,amazon,is,used,for,growing,livestock,?
91,0.052932608872652054,-0.03492329269647598,0.011928903870284557,-0.026046331971883774,0.0339062325656414,0.061419785022735596,-0.025061726570129395,-0.026046331971883774,-0.08544337749481201,-0.025307726114988327,-0.09264432638883591,-0.0017803855007514358,-0.00816552434116602,0.041842270642519,0.03706110641360283
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.2065422385931015,0.2303439825773239,0.19465309381484985,0.21490740776062012,0.17626920342445374,0.18672586977481842,0.14191214740276337,0.16658860445022583,0.2197655737400055,0.21179591119289398,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.3057127296924591,0.18411119282245636,0.5696388483047485,0.733189046382904,0.20143137872219086,0.4854315221309662,0.3075267970561981,0.4185989499092102,0.3095463812351227,0.22532570362091064,0.1826142966747284
land,0.23411516845226288,0.23263606429100037,0.3057127296924591,0.28587454557418823,1.0000001192092896,0.31534913182258606,0.22871792316436768,0.28587454557418823,0.18616637587547302,0.22457899153232574,0.18310055136680603,0.19845563173294067,0.25230300426483154,0.34137997031211853,0.1432059109210968
deforested,0.20958958566188812,0.16327041387557983,0.27074024081230164,0.2549322545528412,0.35675618052482605,0.4117121398448944,0.2786075472831726,0.2549322545528412,0.2873900830745697,0.2558184266090393,0.22817687690258026,0.25240686535835266,0.36460673809051514,0.41780808568000793,0.14068925380706787
since,0.29783400893211365,0.18283697962760925,0.35513219237327576,0.4054957628250122,0.17275309562683105,0.2466767281293869,0.4325680434703827,0.4054957628250122,0.044190503656864166,0.3567592203617096,0.23610791563987732,0.36751601099967957,0.25627392530441284,0.2034282386302948,0.2876587212085724
1970,-0.04533620923757553,-0.018317557871341705,0.12830553948879242,0.013761552982032299,0.005705464631319046,0.01642586849629879,0.052265819162130356,0.013761552982032299,-0.038329027593135834,-0.024357598274946213,-0.08274021744728088,0.03739495575428009,0.03203141316771507,0.0493599958717823,-0.007446378003805876
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.22220008075237274,0.2776278555393219,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.4691906273365021,0.3120402991771698,0.4464869201183319,0.2344273030757904,0.2430344521999359,0.31091248989105225
is,0.28837618231773376,0.23538601398468018,0.4854315221309662,0.5823672413825989,0.22457899153232574,0.1638774275779724,0.5394441485404968,0.5823672413825989,0.15197539329528809,1.0,0.3288823366165161,0.43268078565597534,0.2603529095649719,0.19580256938934326,0.22961433231830597
used,0.27546408772468567,0.19381791353225708,0.3075267970561981,0.3718377649784088,0.18310055136680603,0.3071627616882324,0.3090210556983948,0.3718377649784088,0.11720351874828339,0.3288823366165161,0.9999998807907104,0.4236139953136444,0.21913832426071167,0.27170154452323914,0.22430120408535004
for,0.3017193675041199,0.2764090597629547,0.4185989499092102,0.4739971458911896,0.19845563173294067,0.2647368311882019,0.4322226941585541,0.4739971458911896,0.165912926197052,0.43268078565597534,0.4236139953136444,0.9999999403953552,0.2508315145969391,0.317068487405777,0.264628142118454
livestock,0.2413923740386963,0.2403552383184433,0.22532570362091064,0.23593823611736298,0.34137997031211853,0.2825235426425934,0.25368136167526245,0.23593823611736298,0.21094833314418793,0.19580256938934326,0.27170154452323914,0.317068487405777,0.36015596985816956,1.0,0.18863795697689056
pasture,0.16170696914196014,0.19981607794761658,0.20259782671928406,0.22091218829154968,0.35359448194503784,0.2480427324771881,0.20502206683158875,0.22091218829154968,0.19426777958869934,0.2384689599275589,0.24958354234695435,0.22770892083644867,0.3114117980003357,0.529034435749054,0.16604404151439667
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.5934505462646484,0.259204238653183,0.2556489109992981,0.5591574311256409,0.5934505462646484,0.262887567281723,0.4569662809371948,0.33111312985420227,0.4726039469242096,0.2699389159679413,0.26503217220306396,0.4130953550338745
