,how,long,did,julia,butterfly,hill,live,in,a,tree,?
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.24484020471572876,0.18034452199935913,0.2938556969165802,0.29754534363746643,0.5201468467712402,0.427140474319458,0.17433692514896393,0.31091248989105225
600-year-old,0.23487204313278198,0.21921703219413757,0.27424460649490356,0.2134198546409607,0.1620810478925705,0.20047785341739655,0.21045511960983276,0.29917988181114197,0.22091516852378845,0.1604926884174347,0.3983270823955536
california,0.15981262922286987,0.19318564236164093,0.1524294763803482,0.14849959313869476,0.1688314527273178,0.09976223111152649,0.18956486880779266,0.2772824168205261,0.2426064908504486,0.19003883004188538,0.1409905105829239
redwood,0.12876862287521362,0.2680851221084595,0.06990618258714676,0.21498343348503113,0.2651551067829132,0.40215563774108887,0.1912732869386673,0.23010048270225525,0.24772249162197113,0.45718616247177124,0.15075616538524628
tree,0.1879938840866089,0.20087800920009613,0.13018974661827087,0.13498122990131378,0.25376102328300476,0.2244211882352829,0.1922510713338852,0.15590032935142517,0.20696568489074707,1.0000001192092896,0.10740261524915695
for,0.3308170735836029,0.2547193765640259,0.318512886762619,0.1881110519170761,0.11057156324386597,0.1629481464624405,0.22377748787403107,0.4322226941585541,0.44038116931915283,0.14376839995384216,0.264628142118454
738,0.15485204756259918,0.0775538757443428,0.17562851309776306,0.10597015917301178,0.07367194443941116,0.002751076128333807,0.029903629794716835,0.0531662255525589,0.06835746020078659,0.08589433878660202,0.15388423204421997
days,0.23509229719638824,0.2864958941936493,0.2182302623987198,0.15790876746177673,0.08998709172010422,0.1394718438386917,0.1628461629152298,0.24827800691127777,0.24421119689941406,0.1402885615825653,0.2198754847049713
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.24484020471572876,0.18034452199935913,0.2938556969165802,0.29754534363746643,0.5201468467712402,0.427140474319458,0.17433692514896393,0.31091248989105225
successfully,0.28345566987991333,0.20718170702457428,0.27148011326789856,0.08903230726718903,0.13197825849056244,0.2135278880596161,0.157242089509964,0.2983573377132416,0.2714724540710449,0.10733956098556519,0.0971045047044754
preventing,0.2907259464263916,0.17252206802368164,0.19243986904621124,0.09711872786283493,0.14103873074054718,0.1328638345003128,0.09887778759002686,0.20244476199150085,0.2716726064682007,0.17110401391983032,0.25842657685279846
it,0.36714982986450195,0.34568047523498535,0.2993364930152893,0.1785561591386795,0.23211979866027832,0.15074355900287628,0.24921084940433502,0.5130809545516968,0.5452592968940735,0.16492867469787598,0.25732165575027466
from,0.22939439117908478,0.3109167516231537,0.20248863101005554,0.12994804978370667,0.11986098438501358,0.2075975090265274,0.19593046605587006,0.4274188280105591,0.322764128446579,0.1679164469242096,0.19969791173934937
being,0.33768191933631897,0.25129425525665283,0.27905046939849854,0.1366315335035324,0.1587660014629364,0.1928156167268753,0.1401589959859848,0.33162933588027954,0.3727131485939026,0.17553554475307465,0.26743772625923157
cut,0.270995169878006,0.20125047862529755,0.20971950888633728,0.08201225847005844,0.11385294049978256,0.15317517518997192,0.15319351851940155,0.1650969684123993,0.2642877995967865,0.2868525981903076,0.1403924524784088
down,0.26204726099967957,0.214338481426239,0.2029697746038437,0.04493517428636551,0.12534812092781067,0.24426865577697754,0.1064540445804596,0.2321847528219223,0.2387222796678543,0.24566566944122314,0.13836295902729034
.,0.3287222981452942,0.3247973620891571,0.35288307070732117,0.2218240201473236,0.2482408583164215,0.18347090482711792,0.32964062690734863,0.5591574311256409,0.50484299659729,0.19005756080150604,0.4130953550338745
