,what,will,the,``,50,'',given,to,the,super,bowl,winner,weigh,in,pounds,?
for,0.3017193675041199,0.3647450804710388,0.4739971458911896,0.01270448137074709,0.029183456674218178,-0.04479556903243065,0.44294488430023193,0.4451248347759247,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.23969365656375885,0.20845715701580048,0.4322226941585541,0.2606140375137329,0.264628142118454
a,0.3320399522781372,0.3401327431201935,0.5829201340675354,0.07272057235240936,0.034183140844106674,0.04890415817499161,0.3335871398448944,0.45503583550453186,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.22886167466640472,0.2457934021949768,0.539380669593811,0.23494836688041687,0.23916715383529663
total,0.19850242137908936,0.22220776975154877,0.27068960666656494,0.14629635214805603,0.010104950517416,0.005100560840219259,0.1347493678331375,0.22792020440101624,0.27068960666656494,0.16075772047042847,0.13796210289001465,0.14730705320835114,0.23970086872577667,0.27667245268821716,0.1923908144235611,0.14396025240421295
of,0.33290785551071167,0.2473582625389099,0.733189046382904,0.06780257821083069,0.006577443331480026,0.13035868108272552,0.39388060569763184,0.41548454761505127,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1759829819202423,0.14928016066551208,0.5696388483047485,0.16210339963436127,0.1826142966747284
66,-0.03193807974457741,-0.09023047238588333,-0.01815365068614483,0.05848703160881996,-0.063408762216568,0.1491440385580063,0.018102368339896202,-0.04223303869366646,-0.01815365068614483,-0.017215825617313385,0.02250656485557556,-0.09022074192762375,-0.11662754416465759,-0.027044888585805893,-0.0009155026054941118,-0.056611161679029465
lb,0.10980933159589767,0.19189384579658508,0.11970353126525879,0.1307298094034195,0.008486799895763397,-0.10525873303413391,0.15880882740020752,0.15806052088737488,0.11970353126525879,0.1404120773077011,0.21907399594783783,0.0771920382976532,0.539096474647522,0.10486554354429245,0.563682496547699,0.19396306574344635
(,0.2411840260028839,0.26469120383262634,0.33289089798927307,0.15585018694400787,0.03192463144659996,-0.022970275953412056,0.2224431186914444,0.30882009863853455,0.33289089798927307,0.17553061246871948,0.15949074923992157,0.24413546919822693,0.23141393065452576,0.3087427020072937,0.18413324654102325,0.40561532974243164
30,-0.04443084076046944,-0.02982018142938614,0.0730796679854393,0.11001547425985336,0.060261838138103485,-0.04627995938062668,-0.1473911702632904,0.06848903745412827,0.0730796679854393,0.02300216630101204,-0.030675051733851433,-0.05058104917407036,0.0011670573148876429,-0.005278158001601696,-0.058933109045028687,-0.08261742442846298
kg,0.08752016723155975,0.18216757476329803,0.14337459206581116,0.12354104220867157,-0.03730445355176926,-0.07122167199850082,0.2041715383529663,0.14216412603855133,0.14337459206581116,0.09340774267911911,0.1519930064678192,0.13798706233501434,0.5982378125190735,0.1480094939470291,0.6146824359893799,0.14374905824661255
),0.26259949803352356,0.24492529034614563,0.3456730246543884,0.1698397845029831,-0.0024984623305499554,-0.028269650414586067,0.25457310676574707,0.31236231327056885,0.3456730246543884,0.1971341073513031,0.16361013054847717,0.23899239301681519,0.21772557497024536,0.3326910734176636,0.174909308552742,0.42300865054130554
.,0.3567904531955719,0.33682769536972046,0.5934505462646484,0.05720457062125206,0.04325474053621292,-0.07181349396705627,0.3169408142566681,0.4645031690597534,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.22186151146888733,0.26236048340797424,0.5591574311256409,0.24242696166038513,0.4130953550338745
