,why,do,the,island,archipelagos,comprise,a,smaller,number,of,electors,?
of,0.28464117646217346,0.26150479912757874,0.733189046382904,0.24887794256210327,0.30860787630081177,0.37900012731552124,0.5052502155303955,0.30439993739128113,0.2778518795967102,1.0,0.3100139796733856,0.1826142966747284
electors,0.17577151954174042,0.15472795069217682,0.25203925371170044,0.17638199031352997,0.18866291642189026,0.1700422763824463,0.17672351002693176,0.1994169056415558,0.2256544530391693,0.3100139796733856,0.9999999403953552,0.17266084253787994
",",0.2827242314815521,0.3283645510673523,0.4933079481124878,0.2801448106765747,0.2568475008010864,0.24136890470981598,0.427140474319458,0.24995659291744232,0.2535701394081116,0.4946078956127167,0.21254508197307587,0.31091248989105225
due,0.24495384097099304,0.15443827211856842,0.22577603161334991,0.162171870470047,0.14820986986160278,0.14094296097755432,0.2190696746110916,0.12190350145101547,0.185593843460083,0.2533245384693146,0.13342247903347015,0.10954997688531876
to,0.4100138247013092,0.38876664638519287,0.535392165184021,0.18618161976337433,0.24156655371189117,0.16497786343097687,0.45503583550453186,0.2597835958003998,0.2706126868724823,0.41548454761505127,0.26364290714263916,0.29463258385658264
their,0.2619993984699249,0.35424983501434326,0.516537070274353,0.141488179564476,0.1777554750442505,0.249711811542511,0.29698723554611206,0.2900643050670624,0.26465821266174316,0.4329940676689148,0.18476243317127228,0.1898253709077835
dispersed,0.26504796743392944,0.2172563076019287,0.3335792124271393,0.18854834139347076,0.2155730426311493,0.2580554485321045,0.20398177206516266,0.267122358083725,0.19403879344463348,0.30670028924942017,0.10624514520168304,0.12745043635368347
population,0.11497636884450912,0.15441055595874786,0.32044094800949097,0.2735837399959564,0.3460506200790405,0.26516836881637573,0.2345738559961319,0.2901762127876282,0.2707957327365875,0.3060894012451172,0.18376532196998596,0.14449454843997955
and,0.27806392312049866,0.276123583316803,0.5171257257461548,0.25724759697914124,0.22259603440761566,0.24621130526065826,0.3739250600337982,0.3409501612186432,0.28545793890953064,0.5116966962814331,0.20594942569732666,0.20544172823429108
distance,0.14887048304080963,0.14372798800468445,0.26146480441093445,0.18375565111637115,0.24343711137771606,0.1204247698187828,0.27685120701789856,0.2618165612220764,0.2547025680541992,0.20277999341487885,0.11730543524026871,0.05407539755105972
from,0.2592364251613617,0.20424067974090576,0.40150508284568787,0.26998573541641235,0.16837365925312042,0.19036778807640076,0.322764128446579,0.17215733230113983,0.24833418428897858,0.4249346852302551,0.19239574670791626,0.19969791173934937
the,0.30742117762565613,0.30239659547805786,1.0,0.2837921977043152,0.2971819341182709,0.30294761061668396,0.5829201340675354,0.3588939607143402,0.35145696997642517,0.733189046382904,0.25203925371170044,0.22068053483963013
scottish,0.13285359740257263,0.12884511053562164,0.21724988520145416,0.14308109879493713,0.11329908668994904,0.12967652082443237,0.18544672429561615,0.061856597661972046,0.11849488317966461,0.1698460429906845,0.1700221300125122,0.06442669779062271
parliament,0.1733766794204712,0.12404073029756546,0.26521381735801697,0.18836458027362823,0.2509635090827942,0.18810172379016876,0.22951169312000275,0.12478919327259064,0.16588084399700165,0.2885259687900543,0.46120551228523254,0.1586504578590393
in,0.23227278888225555,0.23402775824069977,0.6662389636039734,0.24730545282363892,0.2336532026529312,0.26302969455718994,0.539380669593811,0.2774786055088043,0.3024539053440094,0.5696388483047485,0.1681898832321167,0.20430970191955566
edinburgh,0.1331624984741211,0.0991506278514862,0.2266589254140854,0.20680567622184753,0.1984328180551529,0.09665223956108093,0.16328458487987518,0.08945303410291672,0.15420331060886383,0.263994961977005,0.18049313127994537,0.09266204386949539
.,0.32909876108169556,0.3613996207714081,0.5934505462646484,0.2574456036090851,0.21042175590991974,0.185248464345932,0.50484299659729,0.24807988107204437,0.3256329298019409,0.5352458953857422,0.21137239038944244,0.4130953550338745
