,when,was,the,latin,version,of,the,word,norman,first,recorded,?
normand,0.23471513390541077,0.21793018281459808,0.26178860664367676,0.1682552546262741,0.18219509720802307,0.204340398311615,0.26178860664367676,0.16010308265686035,0.7152472138404846,0.17468470335006714,0.09547978639602661,0.13597163558006287
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.2694929540157318,0.28911566734313965,0.5011631846427917,0.6521818041801453,0.3399123549461365,0.1315736174583435,0.3828166127204895,0.22201813757419586,0.25814583897590637
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.1937478482723236,0.26673051714897156,0.4854315221309662,0.5823672413825989,0.29004693031311035,0.15238438546657562,0.30889374017715454,0.19766312837600708,0.22961433231830597
itself,0.36853712797164917,0.24240277707576752,0.45971640944480896,0.25159430503845215,0.22299553453922272,0.3157202899456024,0.45971640944480896,0.3665500283241272,0.14060215651988983,0.24252161383628845,0.06819265335798264,0.17933900654315948
borrowed,0.2134241759777069,0.21138067543506622,0.28681081533432007,0.3276864290237427,0.1886163353919983,0.23583939671516418,0.28681081533432007,0.36162039637565613,0.23299206793308258,0.19591154158115387,0.19523684680461884,0.1854170709848404
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.2724078595638275,0.22506564855575562,0.4249346852302551,0.40150508284568787,0.2524685263633728,0.15190823376178741,0.23348960280418396,0.23261000216007233,0.19969791173934937
old,0.36291906237602234,0.2867572605609894,0.31849798560142517,0.20162735879421234,0.15625916421413422,0.30522194504737854,0.31849798560142517,0.2033720314502716,0.2051687240600586,0.23832789063453674,0.17646904289722443,0.20577076077461243
low,0.23078076541423798,0.18105973303318024,0.2544175982475281,0.14502331614494324,0.05841590091586113,0.27171993255615234,0.2544175982475281,0.1519298404455185,0.17868715524673462,0.1736711859703064,0.1972704380750656,0.10658930987119675
franconian,0.16495588421821594,0.1936418116092682,0.2960248589515686,0.22952325642108917,0.10778693854808807,0.22057777643203735,0.2960248589515686,0.16574238240718842,0.23245954513549805,0.12605829536914825,0.11096209287643433,0.1422611027956009
nortmann,0.1918417066335678,0.2811201214790344,0.29830560088157654,0.16144952178001404,0.1504194587469101,0.28383976221084595,0.29830560088157654,0.17968276143074036,0.23824414610862732,0.2026159167289734,0.17586229741573334,0.15726357698440552
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.077037014067173,-0.078781358897686,0.06780257821083069,0.029072100296616554,0.12403237819671631,0.014049350284039974,0.006519378628581762,-0.06672187894582748,0.0685480609536171
northman,0.31435468792915344,0.35976502299308777,0.33759447932243347,0.11131610721349716,0.14524507522583008,0.3365478217601776,0.33759447932243347,0.16315774619579315,0.3536478877067566,0.2531755566596985,0.22741952538490295,0.22461549937725067
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.03235062584280968,0.06002119556069374,0.13035868108272552,0.041273195296525955,0.05225009098649025,0.028494004160165787,-0.03874251991510391,0.03543894737958908,0.018684765323996544
or,0.417120099067688,0.2330796718597412,0.4174870550632477,0.22032032907009125,0.17783869802951813,0.3792596757411957,0.4174870550632477,0.39034852385520935,0.16740624606609344,0.23187343776226044,0.1671266257762909,0.32389625906944275
directly,0.35869741439819336,0.22806373238563538,0.4502958655357361,0.1966017484664917,0.19887182116508484,0.2998887896537781,0.4502958655357361,0.19607587158679962,0.08701424300670624,0.28205159306526184,0.1421443223953247,0.2187996357679367
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.2724078595638275,0.22506564855575562,0.4249346852302551,0.40150508284568787,0.2524685263633728,0.15190823376178741,0.23348960280418396,0.23261000216007233,0.19969791173934937
old,0.36291906237602234,0.2867572605609894,0.31849798560142517,0.20162735879421234,0.15625916421413422,0.30522194504737854,0.31849798560142517,0.2033720314502716,0.2051687240600586,0.23832789063453674,0.17646904289722443,0.20577076077461243
norse,0.20141702890396118,0.20671024918556213,0.23731711506843567,0.274067223072052,0.2049325555562973,0.20754212141036987,0.23731711506843567,0.28243276476860046,0.33077749609947205,0.21893319487571716,0.1506556272506714,0.14860166609287262
norðmaðr,0.2758922874927521,0.25872400403022766,0.3514803349971771,0.22562451660633087,0.2407795488834381,0.29096412658691406,0.3514803349971771,0.19113658368587494,0.36167702078819275,0.22699399292469025,0.22457854449748993,0.2674570679664612
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
latinized,0.2154061198234558,0.26804208755493164,0.28143611550331116,0.6413798928260803,0.21735917031764984,0.27823159098625183,0.28143611550331116,0.40076491236686707,0.17026138305664062,0.236348494887352,0.21153199672698975,0.1826052963733673
variously,0.3019846975803375,0.22551696002483368,0.27876922488212585,0.19361311197280884,0.19211027026176453,0.2394486963748932,0.27876922488212585,0.21448352932929993,0.10425139963626862,0.23803900182247162,0.19561269879341125,0.18915246427059174
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.1465102881193161,0.26424798369407654,0.3886612355709076,0.48381632566452026,0.2052028775215149,0.22526757419109344,0.33842000365257263,0.20423541963100433,0.27043893933296204
nortmannus,0.18688112497329712,0.2556445896625519,0.34295234084129333,0.3140557110309601,0.18074530363082886,0.325735867023468,0.34295234084129333,0.2276088446378708,0.22369779646396637,0.19109098613262177,0.22105976939201355,0.1831837147474289
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
normannus,0.232628732919693,0.23803289234638214,0.32975420355796814,0.3251097500324249,0.2059990018606186,0.2691822946071625,0.32975420355796814,0.18500390648841858,0.6376982927322388,0.19768841564655304,0.19728142023086548,0.1815492957830429
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
or,0.417120099067688,0.2330796718597412,0.4174870550632477,0.22032032907009125,0.17783869802951813,0.3792596757411957,0.4174870550632477,0.39034852385520935,0.16740624606609344,0.23187343776226044,0.1671266257762909,0.32389625906944275
nordmannus,0.1359010934829712,0.2887752056121826,0.31377968192100525,0.30546724796295166,0.2010505646467209,0.2908439338207245,0.31377968192100525,0.16166965663433075,0.26970043778419495,0.221490278840065,0.2244226187467575,0.19243229925632477
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.2060166597366333,0.2838994860649109,0.35032153129577637,0.33289089798927307,0.19737806916236877,0.15467549860477448,0.2450505793094635,0.19191798567771912,0.40561532974243164
recorded,0.19460174441337585,0.328198105096817,0.2759207487106323,0.17748960852622986,0.30014508962631226,0.21896186470985413,0.2759207487106323,0.13563120365142822,0.16729937493801117,0.3052574098110199,0.9999998807907104,0.19213420152664185
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.18954341113567352,0.19599339365959167,0.5696388483047485,0.6662389636039734,0.19815877079963684,0.17613162100315094,0.4127444326877594,0.27585887908935547,0.20430970191955566
medieval,0.19109046459197998,0.20488819479942322,0.28617456555366516,0.342919260263443,0.1449643224477768,0.31686919927597046,0.28617456555366516,0.29271382093429565,0.3385225236415863,0.12061122059822083,0.14496849477291107,0.15571735799312592
latin,0.1799415647983551,0.15532594919204712,0.24914836883544922,1.0,0.16560792922973633,0.23412929475307465,0.24914836883544922,0.4205963611602783,0.17453017830848694,0.21166430413722992,0.17748960852622986,0.1303461492061615
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
9th,0.18406076729297638,0.14873403310775757,0.15220077335834503,0.039611201733350754,0.08905067294836044,0.1006220132112503,0.15220077335834503,0.03939002379775047,0.11980923265218735,0.1954607367515564,0.08771863579750061,0.06775698810815811
century,0.22992412745952606,0.3521432876586914,0.3617299497127533,0.261457234621048,0.16395303606987,0.2826060354709625,0.3617299497127533,0.24864888191223145,0.2433914840221405,0.32110705971717834,0.24726763367652893,0.1026201918721199
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.21256890892982483,0.27895456552505493,0.3680361211299896,0.3456730246543884,0.18387003242969513,0.15243752300739288,0.27228695154190063,0.18814605474472046,0.42300865054130554
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.18086881935596466,0.24018406867980957,0.41548454761505127,0.535392165184021,0.2865414023399353,0.16204318404197693,0.3792489171028137,0.22252942621707916,0.29463258385658264
mean,0.2321939766407013,0.18973474204540253,0.25977957248687744,0.2658313810825348,0.1683201789855957,0.27551960945129395,0.25977957248687744,0.4538908004760742,0.07020729035139084,0.19981235265731812,0.1831897348165512,0.36234524846076965
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.077037014067173,-0.078781358897686,0.06780257821083069,0.029072100296616554,0.12403237819671631,0.014049350284039974,0.006519378628581762,-0.06672187894582748,0.0685480609536171
norseman,0.21278053522109985,0.29154762625694275,0.23074324429035187,0.1760750114917755,0.22616340219974518,0.16781111061573029,0.23074324429035187,0.20908553898334503,0.4500313997268677,0.24424543976783752,0.2089419960975647,0.15904587507247925
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
viking,0.1903429925441742,0.1814873367547989,0.2372916340827942,0.14245565235614777,0.07105006277561188,0.15501448512077332,0.2372916340827942,0.08155673742294312,0.30450138449668884,0.22489820420742035,0.15274745225906372,0.07309859246015549
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.03235062584280968,0.06002119556069374,0.13035868108272552,0.041273195296525955,0.05225009098649025,0.028494004160165787,-0.03874251991510391,0.03543894737958908,0.018684765323996544
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2097781002521515,0.2754054665565491,0.5352458953857422,0.5934505462646484,0.13155406713485718,0.24800069630146027,0.4345304071903229,0.21476124227046967,0.4130953550338745
