,what,type,of,combustion,does,the,slow,reaction,of,triplet,oxygen,prevent,?
slowly,0.24897323548793793,0.17620520293712616,0.1848812997341156,0.2591627240180969,0.2623851001262665,0.30282843112945557,0.5713388919830322,0.2733866274356842,0.1848812997341156,0.10583478212356567,0.285806804895401,0.25336796045303345,0.10119781643152237
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.22355996072292328,0.26186925172805786,0.4223487675189972,0.17667777836322784,0.2043282389640808,0.41827285289764404,0.2838091552257538,0.200663760304451,0.2729385197162628,0.2433311939239502
most,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.27073904871940613,0.30044323205947876,0.47635307908058167,0.22396643459796906,0.1961524784564972,0.4178851246833801,0.13974544405937195,0.21728017926216125,0.18859806656837463,0.2107497900724411
organic,0.2020787000656128,0.1481855809688568,0.25553563237190247,0.4539220333099365,0.21717192232608795,0.18354187905788422,0.22543685138225555,0.4799606204032898,0.25553563237190247,0.1914072483778,0.44130775332450867,0.22048664093017578,0.18969349563121796
molecules,0.2143162339925766,0.15775926411151886,0.24428431689739227,0.40894392132759094,0.22559203207492828,0.2374771386384964,0.23132114112377167,0.5016515254974365,0.24428431689739227,0.3641718327999115,0.5126039981842041,0.23551028966903687,0.17409995198249817
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2079315334558487,0.28617382049560547,0.4933079481124878,0.1939975768327713,0.14887474477291107,0.4946078956127167,0.31415438652038574,0.21812842786312103,0.19234955310821533,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.3601171672344208,0.39111801981925964,0.6521818041801453,0.35387182235717773,0.2960238456726074,0.5011631846427917,0.3097746968269348,0.3166238069534302,0.3206346333026886,0.25814583897590637
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.2532806694507599,0.3709583580493927,0.40389683842658997,0.29117658734321594,0.21732860803604126,0.3802283704280853,0.2100621461868286,0.27824607491493225,0.32587194442749023,0.32991164922714233
paired,0.18505491316318512,0.16285230219364166,0.17767414450645447,0.21818116307258606,0.16056546568870544,0.26406329870224,0.11792023479938507,0.21129503846168518,0.17767414450645447,0.32629603147506714,0.2404959499835968,0.17977868020534515,0.08378737419843674
electron,0.22967670857906342,0.2042759507894516,0.21591268479824066,0.4246087074279785,0.21343578398227692,0.20653016865253448,0.22108496725559235,0.46533602476119995,0.21591268479824066,0.2812880873680115,0.49423015117645264,0.16377918422222137,0.18293288350105286
spins,0.2210051715373993,0.24064750969409943,0.20363713800907135,0.40674248337745667,0.2837153375148773,0.26315373182296753,0.3488457202911377,0.2856065630912781,0.20363713800907135,0.21821804344654083,0.290741503238678,0.16372039914131165,0.12287293374538422
;,0.10986888408660889,-0.004756918177008629,0.054534342139959335,-0.016691407188773155,0.0650511160492897,0.09152708947658539,0.039592716842889786,0.018912026658654213,0.054534342139959335,-0.030351176857948303,0.010789583437144756,0.00026327825617045164,0.10349778085947037
this,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.3247292935848236,0.4166489243507385,0.6274310946464539,0.35496091842651367,0.33770447969436646,0.45148900151252747,0.21548597514629364,0.31131085753440857,0.35020363330841064,0.3155723512172699
prevents,0.29858162999153137,0.2154509425163269,0.26218757033348083,0.35382014513015747,0.3590892553329468,0.3293589949607849,0.29340606927871704,0.3638783395290375,0.26218757033348083,0.15636199712753296,0.2697015106678009,0.8686361312866211,0.2179328203201294
spontaneous,0.33321672677993774,0.29386088252067566,0.24268044531345367,0.458198219537735,0.27678951621055603,0.21019583940505981,0.3150145709514618,0.4432279169559479,0.24268044531345367,0.24652890861034393,0.3586737811565399,0.3202541470527649,0.23402021825313568
combustion,0.2678600549697876,0.34383919835090637,0.25126782059669495,1.0,0.25344738364219666,0.2447446882724762,0.32405099272727966,0.460973858833313,0.25126782059669495,0.2602669298648834,0.4784593880176544,0.2810329496860504,0.2177530825138092
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2124136984348297,0.3022993505001068,0.5934505462646484,0.22769072651863098,0.2695828676223755,0.5352458953857422,0.2523445188999176,0.2554275095462799,0.24685528874397278,0.4130953550338745
