,what,amount,of,the,worlds,carbon,is,stored,in,the,amazon,forest,?
ecosystems—of,0.19644154608249664,0.2554902136325836,0.2815006971359253,0.274955153465271,0.21837355196475983,0.3835442364215851,0.23827038705348969,0.2688111960887909,0.24184486269950867,0.274955153465271,0.34344807267189026,0.3860150873661041,0.19979475438594818
the,0.42745697498321533,0.3336862325668335,0.733189046382904,1.0,0.2276933789253235,0.23183570802211761,0.5823672413825989,0.2634609043598175,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
order,0.16634008288383484,0.16147001087665558,0.31287699937820435,0.3284194767475128,0.1116265133023262,0.14935298264026642,0.19403748214244843,0.17519094049930573,0.24184700846672058,0.3284194767475128,0.190508633852005,0.14513170719146729,0.13725648820400238
of,0.33290785551071167,0.2541177570819855,1.0,0.733189046382904,0.18171288073062897,0.22596238553524017,0.4854315221309662,0.2396228164434433,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
1.1,0.23834875226020813,0.24490845203399658,0.3042284846305847,0.31075629591941833,0.25661611557006836,0.2447584867477417,0.23997369408607483,0.31475234031677246,0.28421884775161743,0.31075629591941833,0.16466645896434784,0.1841188371181488,0.338576078414917
×,0.129701629281044,0.15624645352363586,0.22203300893306732,0.20315884053707123,0.20064891874790192,0.1928708255290985,0.17081844806671143,0.2468254119157791,0.15000201761722565,0.20315884053707123,0.1930370330810547,0.13230489194393158,0.1587730348110199
1011,0.07658440619707108,0.10061074793338776,-0.08713842928409576,0.025231484323740005,0.04590870067477226,0.051623761653900146,-0.07113615423440933,0.09481699019670486,-0.008661211468279362,0.025231484323740005,-0.0036951382644474506,0.019478434696793556,0.1126432865858078
metric,0.23627936840057373,0.2916962802410126,0.21906468272209167,0.21734559535980225,0.1555381566286087,0.2568083703517914,0.17780743539333344,0.2703304588794708,0.18834827840328217,0.21734559535980225,0.1434967964887619,0.062246665358543396,0.2346421480178833
tonnes,0.15298835933208466,0.3644183576107025,0.20021985471248627,0.22186078131198883,0.17502492666244507,0.4109993875026703,0.24283051490783691,0.2753309905529022,0.16524656116962433,0.22186078131198883,0.20356623828411102,0.17286895215511322,0.17092333734035492
of,0.33290785551071167,0.2541177570819855,1.0,0.733189046382904,0.18171288073062897,0.22596238553524017,0.4854315221309662,0.2396228164434433,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
carbon,0.22238978743553162,0.3432638347148895,0.22596238553524017,0.23183570802211761,0.21490994095802307,1.0000001192092896,0.2770232558250427,0.3419003188610077,0.1857566386461258,0.23183570802211761,0.1535501331090927,0.21766255795955658,0.19040444493293762
.,0.3567904531955719,0.24893930554389954,0.5352458953857422,0.5934505462646484,0.2179756462574005,0.23824366927146912,0.4569662809371948,0.27817240357398987,0.5591574311256409,0.5934505462646484,0.262887567281723,0.2418428510427475,0.4130953550338745
