,what,other,european,protestant,leader,was,educated,at,the,university,of,paris,?
become,0.27134042978286743,0.2553490996360779,0.18499349057674408,0.19822877645492554,0.20095345377922058,0.3147440552711487,0.21844999492168427,0.18341459333896637,0.31731709837913513,0.1892898976802826,0.31678006052970886,0.14569474756717682,0.19511328637599945
a,0.3320399522781372,0.2806335389614105,0.2254103124141693,0.22869355976581573,0.21384623646736145,0.4508470594882965,0.1534852832555771,0.3095070421695709,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.2185223400592804,0.23916715383529663
leader,0.15734966099262238,0.1510489135980606,0.1561807245016098,0.26266324520111084,1.0,0.3073844909667969,0.236115500330925,0.16015151143074036,0.27799519896507263,0.19484947621822357,0.24122127890586853,0.14991258084774017,0.09527933597564697
of,0.33290785551071167,0.38583824038505554,0.2507138252258301,0.31440475583076477,0.24122127890586853,0.4069072902202606,0.2250576615333557,0.42558613419532776,0.733189046382904,0.30646374821662903,1.0,0.19470684230327606,0.1826142966747284
the,0.42745697498321533,0.44152235984802246,0.3423081040382385,0.2679212689399719,0.27799519896507263,0.48711544275283813,0.17324267327785492,0.457212895154953,1.0,0.263973206281662,0.733189046382904,0.24946041405200958,0.22068053483963013
swiss,0.06743662059307098,0.12492024153470993,0.21056053042411804,0.24705442786216736,0.13317111134529114,0.1790563017129898,0.12036777287721634,0.12214888632297516,0.17452241480350494,0.0672476589679718,0.13239948451519012,0.24798360466957092,0.11023817211389542
reformation,0.23052695393562317,0.1996709555387497,0.15300188958644867,0.6159893274307251,0.29233691096305847,0.29210031032562256,0.22178541123867035,0.1682792603969574,0.3290504217147827,0.23833204805850983,0.311197429895401,0.215215802192688,0.14843040704727173
",",0.3087472915649414,0.4446498453617096,0.19684812426567078,0.2710806429386139,0.23893310129642487,0.45456063747406006,0.27670419216156006,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.25794950127601624,0.31091248989105225
establishing,0.1974942833185196,0.26615944504737854,0.17645113170146942,0.2698126435279846,0.21509946882724762,0.2054227888584137,0.2433994859457016,0.1795760989189148,0.3532279133796692,0.22888629138469696,0.31199124455451965,0.15817897021770477,0.1457604318857193
a,0.3320399522781372,0.2806335389614105,0.2254103124141693,0.22869355976581573,0.21384623646736145,0.4508470594882965,0.1534852832555771,0.3095070421695709,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.2185223400592804,0.23916715383529663
protestant,0.23531195521354675,0.213605597615242,0.1714082509279251,1.0,0.26266324520111084,0.25246119499206543,0.2966077923774719,0.15162867307662964,0.2679212689399719,0.258449524641037,0.31440475583076477,0.22850266098976135,0.14798137545585632
government,0.28074538707733154,0.25909486413002014,0.19634035229682922,0.3282076120376587,0.3914540410041809,0.2995857298374176,0.2697370648384094,0.1937524825334549,0.31798112392425537,0.2766827940940857,0.3475167155265808,0.16107580065727234,0.18851417303085327
in,0.30808621644973755,0.39989137649536133,0.23319172859191895,0.2637297511100769,0.22669851779937744,0.45514053106307983,0.2402513176202774,0.4374977946281433,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.29171380400657654,0.20430970191955566
geneva,0.1279723048210144,0.20608285069465637,0.2557682394981384,0.2702302038669586,0.10305377095937729,0.2295161932706833,0.2255338877439499,0.22961926460266113,0.26802992820739746,0.21784955263137817,0.22544261813163757,0.38795948028564453,0.17002245783805847
.,0.3567904531955719,0.41511186957359314,0.2095622420310974,0.279432475566864,0.21285216510295868,0.40146201848983765,0.25269240140914917,0.4549728035926819,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2676265835762024,0.4130953550338745
