,in,the,philippines,",",what,percentage,of,secondary,school,students,attend,private,schools,?
major,0.3249945342540741,0.31775903701782227,0.17116650938987732,0.29355156421661377,0.21026742458343506,0.17855136096477509,0.2641255557537079,0.23670928180217743,0.1472879946231842,0.135105699300766,0.10644645243883133,0.20668938755989075,0.21287967264652252,0.19788557291030884
provider,0.1902105063199997,0.28246623277664185,0.2834175229072571,0.23289695382118225,0.24875915050506592,0.25597041845321655,0.234352245926857,0.262668639421463,0.19643045961856842,0.2452436238527298,0.17031221091747284,0.34430992603302,0.24769312143325806,0.2242300808429718
of,0.5696388483047485,0.733189046382904,0.2727682888507843,0.4946078956127167,0.33290785551071167,0.24724560976028442,1.0,0.219074085354805,0.2391800880432129,0.25513339042663574,0.2297111451625824,0.18706899881362915,0.265506386756897,0.1826142966747284
educational,0.29241177439689636,0.22737358510494232,0.18233585357666016,0.27889060974121094,0.2158561795949936,0.15751567482948303,0.3187834620475769,0.40424641966819763,0.5237864851951599,0.5271042585372925,0.39356040954589844,0.3499286472797394,0.5674533247947693,0.20904642343521118
services,0.22287973761558533,0.2381475418806076,0.20698244869709015,0.24788528680801392,0.16048473119735718,0.19503895938396454,0.23787347972393036,0.21825343370437622,0.2160927951335907,0.27570101618766785,0.2763751745223999,0.311462938785553,0.3272954225540161,0.1328447163105011
",",0.5201468467712402,0.4933079481124878,0.2203703373670578,1.0000001192092896,0.3087472915649414,0.21945469081401825,0.4946078956127167,0.2158004194498062,0.27141863107681274,0.26501646637916565,0.24214935302734375,0.1899166703224182,0.2760516405105591,0.31091248989105225
accounting,0.1982230842113495,0.254071444272995,0.1426919400691986,0.276176393032074,0.2822095453739166,0.34487485885620117,0.2985135316848755,0.24081458151340485,0.2575211226940155,0.32755815982818604,0.2102815955877304,0.2915220558643341,0.2869495153427124,0.21913275122642517
for,0.4322226941585541,0.4739971458911896,0.15166261792182922,0.4464869201183319,0.3017193675041199,0.2764090597629547,0.4185989499092102,0.2065851241350174,0.18618352711200714,0.2460945099592209,0.25006020069122314,0.22242696583271027,0.2320515662431717,0.264628142118454
about,0.39797019958496094,0.37995871901512146,0.11353068798780441,0.3877100944519043,0.47976887226104736,0.1676761358976364,0.40939709544181824,0.18064267933368683,0.23017577826976776,0.2952730655670166,0.19093270599842072,0.15895627439022064,0.21555131673812866,0.302409827709198
7.5,0.18354900181293488,0.30669015645980835,0.10267378389835358,0.2954563498497009,0.4706016182899475,0.1882910430431366,0.29179319739341736,0.14726665616035461,0.0953146368265152,0.18611179292201996,0.10863141715526581,0.11068637669086456,0.1675148904323578,0.3666565418243408
%,0.19465309381484985,0.21490740776062012,0.18638603389263153,0.22757403552532196,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.15098382532596588,0.09573886543512344,0.22348105907440186,0.11749575287103653,0.14337216317653656,0.177998885512352,0.21441808342933655
of,0.5696388483047485,0.733189046382904,0.2727682888507843,0.4946078956127167,0.33290785551071167,0.24724560976028442,1.0,0.219074085354805,0.2391800880432129,0.25513339042663574,0.2297111451625824,0.18706899881362915,0.265506386756897,0.1826142966747284
primary,0.21150650084018707,0.25688621401786804,0.09901271760463715,0.2565748989582062,0.2113915979862213,0.1697329729795456,0.23414276540279388,0.6853594779968262,0.4102175533771515,0.26349249482154846,0.20995588600635529,0.23401464521884918,0.38384848833084106,0.16286636888980865
enrollment,0.27994412183761597,0.25726771354675293,0.22970794141292572,0.2662583291530609,0.22654405236244202,0.33613771200180054,0.28188642859458923,0.3344467282295227,0.5377652049064636,0.5965980887413025,0.4529513418674469,0.3528019189834595,0.4924936592578888,0.1573069840669632
",",0.5201468467712402,0.4933079481124878,0.2203703373670578,1.0000001192092896,0.3087472915649414,0.21945469081401825,0.4946078956127167,0.2158004194498062,0.27141863107681274,0.26501646637916565,0.24214935302734375,0.1899166703224182,0.2760516405105591,0.31091248989105225
32,-0.04161756858229637,-0.06675421446561813,-0.022304287180304527,0.03626015782356262,-0.003086621640250087,-0.017554620280861855,-0.06897011399269104,0.06169118359684944,0.009176201187074184,-0.02459820732474327,0.029456783086061478,0.03147634118795395,0.002214055508375168,0.04494665935635567
%,0.19465309381484985,0.21490740776062012,0.18638603389263153,0.22757403552532196,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.15098382532596588,0.09573886543512344,0.22348105907440186,0.11749575287103653,0.14337216317653656,0.177998885512352,0.21441808342933655
of,0.5696388483047485,0.733189046382904,0.2727682888507843,0.4946078956127167,0.33290785551071167,0.24724560976028442,1.0,0.219074085354805,0.2391800880432129,0.25513339042663574,0.2297111451625824,0.18706899881362915,0.265506386756897,0.1826142966747284
secondary,0.2103116512298584,0.21037471294403076,0.1186484843492508,0.2158004194498062,0.20388361811637878,0.08574172854423523,0.219074085354805,1.0,0.5113044381141663,0.3444019854068756,0.27647870779037476,0.2717200517654419,0.4608161151409149,0.18118004500865936
enrollment,0.27994412183761597,0.25726771354675293,0.22970794141292572,0.2662583291530609,0.22654405236244202,0.33613771200180054,0.28188642859458923,0.3344467282295227,0.5377652049064636,0.5965980887413025,0.4529513418674469,0.3528019189834595,0.4924936592578888,0.1573069840669632
and,0.4954058527946472,0.5171257257461548,0.2160763144493103,0.6633074283599854,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.25317713618278503,0.2752758264541626,0.28111961483955383,0.26535022258758545,0.2557651102542877,0.29319998621940613,0.20544172823429108
about,0.39797019958496094,0.37995871901512146,0.11353068798780441,0.3877100944519043,0.47976887226104736,0.1676761358976364,0.40939709544181824,0.18064267933368683,0.23017577826976776,0.2952730655670166,0.19093270599842072,0.15895627439022064,0.21555131673812866,0.302409827709198
80,-0.03062376379966736,0.003630283521488309,-0.08513404428958893,-0.025897033512592316,0.04945533350110054,0.18138648569583893,-0.048517487943172455,0.06452932208776474,-0.053145088255405426,-0.02746623568236828,0.04052820801734924,-0.08719523251056671,-0.05558502674102783,0.04445207491517067
%,0.19465309381484985,0.21490740776062012,0.18638603389263153,0.22757403552532196,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.15098382532596588,0.09573886543512344,0.22348105907440186,0.11749575287103653,0.14337216317653656,0.177998885512352,0.21441808342933655
of,0.5696388483047485,0.733189046382904,0.2727682888507843,0.4946078956127167,0.33290785551071167,0.24724560976028442,1.0,0.219074085354805,0.2391800880432129,0.25513339042663574,0.2297111451625824,0.18706899881362915,0.265506386756897,0.1826142966747284
tertiary,0.22423051297664642,0.24001607298851013,0.16503450274467468,0.19413137435913086,0.2784169018268585,0.21478186547756195,0.21779176592826843,0.5652426481246948,0.24931220710277557,0.22418212890625,0.12640908360481262,0.20003458857536316,0.2754591703414917,0.2581363916397095
enrollment,0.27994412183761597,0.25726771354675293,0.22970794141292572,0.2662583291530609,0.22654405236244202,0.33613771200180054,0.28188642859458923,0.3344467282295227,0.5377652049064636,0.5965980887413025,0.4529513418674469,0.3528019189834595,0.4924936592578888,0.1573069840669632
.,0.5591574311256409,0.5934505462646484,0.20894579589366913,0.6812511086463928,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.195527583360672,0.24214158952236176,0.2607303857803345,0.1994091272354126,0.2534593939781189,0.2752705216407776,0.4130953550338745
