,who,was,chairman,of,the,house,science,committee,?
oversight,0.30674415826797485,0.17834053933620453,0.21485184133052826,0.16401797533035278,0.184760183095932,0.16463933885097504,0.1546967476606369,0.3465304672718048,0.45554885268211365
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.2552875876426697,0.2865735590457916,0.22311176359653473,0.20544172823429108
investigations,0.20638415217399597,0.22831429541110992,0.20249046385288239,0.2303210347890854,0.2768571972846985,0.13664086163043976,0.2917618751525879,0.30978330969810486,0.14811140298843384
demanding,0.2823983430862427,0.27919358015060425,0.19124163687229156,0.3026946187019348,0.31346237659454346,0.2035474181175232,0.14110325276851654,0.2554425299167633,0.11861293762922287
full,0.18801523745059967,0.1574539840221405,0.1370663195848465,0.3238043189048767,0.2988807260990143,0.1415707916021347,0.16660937666893005,0.1608501374721527,0.168479785323143
records,0.1928240954875946,0.23035451769828796,0.14232267439365387,0.17885147035121918,0.23809710144996643,0.17421048879623413,0.0768030434846878,0.14241448044776917,0.12384546548128128
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.19286204874515533,0.2139003723859787,0.20945778489112854,0.2714994251728058
climate,0.09277761727571487,0.14714933931827545,0.17960642278194427,0.25840428471565247,0.2693597674369812,0.17818467319011688,0.2623327076435089,0.21885742247104645,0.19998492300510406
research,0.17335498332977295,0.21417704224586487,0.18523642420768738,0.22573977708816528,0.24391183257102966,0.185871422290802,0.48956283926963806,0.22232021391391754,0.13481977581977844
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.28236111998558044,0.2623405158519745,0.20982497930526733,0.31091248989105225
as,0.3923053741455078,0.3677520453929901,0.22366109490394592,0.3886612355709076,0.48381632566452026,0.18534636497497559,0.2104831486940384,0.1826688051223755,0.27043893933296204
well,0.3480316996574402,0.3130364418029785,0.1075621247291565,0.3343164324760437,0.42630070447921753,0.14615775644779205,0.21776537597179413,0.1380283087491989,0.24815571308135986
as,0.3923053741455078,0.3677520453929901,0.22366109490394592,0.3886612355709076,0.48381632566452026,0.18534636497497559,0.2104831486940384,0.1826688051223755,0.27043893933296204
personal,0.2505263686180115,0.1733088493347168,0.10325779765844345,0.26268208026885986,0.19990217685699463,0.15029941499233246,0.21395309269428253,0.1302317976951599,0.206199511885643
information,0.19909629225730896,0.15183912217617035,0.10737024247646332,0.2860049605369568,0.3143121302127838,0.06399501115083694,0.3185616731643677,0.181044802069664,0.24875912070274353
about,0.3477841317653656,0.2577359974384308,0.02139812894165516,0.40939709544181824,0.37995871901512146,0.17310048639774323,0.2836332619190216,0.15948055684566498,0.302409827709198
their,0.3767721951007843,0.2396296262741089,0.13915465772151947,0.4329940676689148,0.516537070274353,0.16313053667545319,0.16402384638786316,0.14594750106334686,0.1898253709077835
finances,0.2506108582019806,0.2728915512561798,0.3533049523830414,0.32834872603416443,0.2775113582611084,0.2645271420478821,0.2703514099121094,0.3436949849128723,0.10296480357646942
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.2552875876426697,0.2865735590457916,0.22311176359653473,0.20544172823429108
careers,0.2792385220527649,0.2539888620376587,0.22117304801940918,0.20655113458633423,0.20450343191623688,0.17967212200164795,0.2286967933177948,0.16470147669315338,0.17144931852817535
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.28236111998558044,0.2623405158519745,0.20982497930526733,0.31091248989105225
from,0.27839982509613037,0.31171464920043945,0.18754708766937256,0.4249346852302551,0.40150508284568787,0.21994347870349884,0.22525878250598907,0.16474208235740662,0.19969791173934937
mann,0.30077773332595825,0.23526287078857422,0.21272040903568268,0.18961620330810547,0.24622340500354767,0.17020706832408905,0.14692670106887817,0.12388581782579422,0.1585768312215805
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.28236111998558044,0.2623405158519745,0.20982497930526733,0.31091248989105225
bradley,0.2099350243806839,0.2518783509731293,0.18848520517349243,0.20986714959144592,0.21225079894065857,0.12773935496807098,0.14983943104743958,0.09376142919063568,0.14008547365665436
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.2552875876426697,0.2865735590457916,0.22311176359653473,0.20544172823429108
hughes,0.25713270902633667,0.2729848027229309,0.21917550265789032,0.21100978553295135,0.2516627907752991,0.2222956120967865,0.19944022595882416,0.17023994028568268,0.1937333196401596
.,0.3541337847709656,0.40146201848983765,0.1698046624660492,0.5352458953857422,0.5934505462646484,0.2607949376106262,0.21781636774539948,0.18011361360549927,0.4130953550338745
