,what,types,of,schools,are,most,ergänzungsschulen,?
non-tertiary,0.3168926537036896,0.27761486172676086,0.2700923979282379,0.31214433908462524,0.332078218460083,0.27490922808647156,0.3960892856121063,0.30903810262680054
),0.26259949803352356,0.11417452245950699,0.3680361211299896,0.16219249367713928,0.2373749315738678,0.23620007932186127,0.3305574357509613,0.42300865054130554
schools,0.1820785105228424,0.24229037761688232,0.265506386756897,1.0,0.30816179513931274,0.19526082277297974,0.27628400921821594,0.18349280953407288
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2760516405105591,0.4062570035457611,0.3636029064655304,0.38104408979415894,0.31091248989105225
which,0.5261979103088379,0.4006623923778534,0.5011631846427917,0.23417861759662628,0.42922598123550415,0.4637843072414398,0.3375672698020935,0.25814583897590637
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.30816179513931274,1.0,0.48698675632476807,0.26853707432746887,0.24591213464736938
run,0.2294815480709076,0.09652742743492126,0.2272813767194748,0.20951882004737854,0.2580355107784271,0.19482719898223877,0.23557928204536438,0.17904110252857208
by,0.2455483376979828,0.15044783055782318,0.3646814823150635,0.1415957361459732,0.37842893600463867,0.270847886800766,0.22416812181472778,0.17966607213020325
private,0.16778090596199036,0.13861332833766937,0.18706899881362915,0.4158569872379303,0.1694057136774063,0.20440927147865295,0.23421190679073334,0.14389030635356903
individuals,0.25709760189056396,0.322955459356308,0.27365922927856445,0.29715076088905334,0.42574483156204224,0.25030216574668884,0.30427929759025574,0.20243582129478455
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2760516405105591,0.4062570035457611,0.3636029064655304,0.38104408979415894,0.31091248989105225
private,0.16778090596199036,0.13861332833766937,0.18706899881362915,0.4158569872379303,0.1694057136774063,0.20440927147865295,0.23421190679073334,0.14389030635356903
organizations,0.20689024031162262,0.29418712854385376,0.24586479365825653,0.39243805408477783,0.29940158128738403,0.25921007990837097,0.29117831587791443,0.22215601801872253
or,0.33867141604423523,0.41673311591148376,0.3792596757411957,0.23524631559848785,0.5374364256858826,0.30746427178382874,0.31182238459587097,0.32389625906944275
rarely,0.2806011736392975,0.32047712802886963,0.22155629098415375,0.15636520087718964,0.4256741404533386,0.4256596565246582,0.2574542164802551,0.23009803891181946
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2760516405105591,0.4062570035457611,0.3636029064655304,0.38104408979415894,0.31091248989105225
religious,0.26794421672821045,0.13931486010551453,0.2958606779575348,0.3179125487804413,0.20633597671985626,0.1754503846168518,0.17107225954532623,0.15727058053016663
groups,0.23137421905994415,0.3563978672027588,0.24723079800605774,0.2776908278465271,0.41374143958091736,0.2751586139202118,0.24052061140537262,0.14349548518657684
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.29319998621940613,0.48576638102531433,0.4309377074241638,0.36461132764816284,0.20544172823429108
offer,0.20134106278419495,0.20535191893577576,0.19393298029899597,0.26003435254096985,0.25856563448905945,0.21534152328968048,0.1711035668849945,0.1774262934923172
a,0.3320399522781372,0.27099108695983887,0.5052502155303955,0.2118925303220749,0.265255331993103,0.3508910834789276,0.37360092997550964,0.23916715383529663
type,0.2722663879394531,0.6398073434829712,0.18112817406654358,0.1240563839673996,0.24155041575431824,0.24228660762310028,0.2522682249546051,0.17536182701587677
of,0.33290785551071167,0.2447618544101715,1.0,0.265506386756897,0.39081433415412903,0.4178851246833801,0.29503199458122253,0.1826142966747284
education,0.19940856099128723,0.07418544590473175,0.3015166223049164,0.6035618185997009,0.14324818551540375,0.1403121054172516,0.27784520387649536,0.18067774176597595
which,0.5261979103088379,0.4006623923778534,0.5011631846427917,0.23417861759662628,0.42922598123550415,0.4637843072414398,0.3375672698020935,0.25814583897590637
is,0.28837618231773376,0.21496213972568512,0.4854315221309662,0.2022145688533783,0.5330929756164551,0.41165053844451904,0.309262752532959,0.22961433231830597
not,0.5449194312095642,0.25921928882598877,0.3307090103626251,0.2299577295780182,0.46186959743499756,0.419027179479599,0.27683767676353455,0.41942933201789856
available,0.22032985091209412,0.298837810754776,0.2416580766439438,0.1876397579908371,0.31910744309425354,0.25660282373428345,0.2097436785697937,0.2501629889011383
at,0.2838611304759979,0.17783881723880768,0.42558613419532776,0.21788150072097778,0.2074895054101944,0.22451047599315643,0.23542948067188263,0.21978627145290375
public,0.1729622185230255,0.12661825120449066,0.2391265481710434,0.4260808527469635,0.18111367523670197,0.18297888338565826,0.22902488708496094,0.19872993230819702
schools,0.1820785105228424,0.24229037761688232,0.265506386756897,1.0,0.30816179513931274,0.19526082277297974,0.27628400921821594,0.18349280953407288
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.2752705216407776,0.3452940285205841,0.35404038429260254,0.3771330416202545,0.4130953550338745
