,what,did,the,merwede-oude,maas,form,with,waal,and,lek,?
meuse,0.1806630939245224,0.14388921856880188,0.28249096870422363,0.5335342884063721,0.5680901408195496,0.14163857698440552,0.1673470437526703,0.45813530683517456,0.19935591518878937,0.25181058049201965,0.21687322854995728
flowed,0.1444557160139084,0.17890195548534393,0.3597415089607239,0.2517573833465576,0.1878792643547058,0.20172274112701416,0.18505346775054932,0.18120728433132172,0.2541258633136749,0.13423870503902435,0.13853344321250916
just,0.5854880809783936,0.38283270597457886,0.40061673521995544,0.21891796588897705,0.16626593470573425,0.20662546157836914,0.30194807052612305,0.20489361882209778,0.3842737674713135,0.10237906128168106,0.4144178032875061
south,0.15388517081737518,0.1510593444108963,0.3129390776157379,0.3290928602218628,0.26011911034584045,0.16088347136974335,0.15469324588775635,0.27585047483444214,0.3140619993209839,0.12656265497207642,0.12336621433496475
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.21529926359653473,0.11708027124404907,0.29600051045417786,0.41827285289764404,0.18245531618595123,0.5116966962814331,0.12710711359977722,0.1826142966747284
today,0.3814660608768463,0.30291810631752014,0.35740926861763,0.1826135814189911,0.18859970569610596,0.16673904657363892,0.22647687792778015,0.15971989929676056,0.37503334879875183,0.10952390730381012,0.17338968813419342
's,0.02692362666130066,0.05069678649306297,-0.01540423184633255,0.05830199643969536,0.09073525667190552,0.07059726119041443,-0.04624466598033905,0.04667973518371582,0.06895173341035843,0.05543556809425354,-0.023395681753754616
line,0.2245367169380188,0.14681050181388855,0.29789501428604126,0.20311735570430756,0.21072866022586823,0.17210659384727478,0.18698516488075256,0.14274361729621887,0.24584348499774933,0.06686687469482422,0.16271452605724335
merwede-oude,0.11618790775537491,0.13561832904815674,0.24134695529937744,0.9999999403953552,0.6256336569786072,0.1797381490468979,0.16256481409072876,0.5007724165916443,0.21904155611991882,0.46743062138557434,0.16854119300842285
maas,0.13124726712703705,0.15728236734867096,0.1690772920846939,0.6256336569786072,1.0000001192092896,0.055767256766557693,0.17650106549263,0.5731846690177917,0.26646170020103455,0.38151901960372925,0.1508096158504486
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.11779219657182693,0.09154198318719864,0.2772196829319,0.4239959120750427,0.16721856594085693,0.48971283435821533,0.15606339275836945,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,1.0,0.24134695529937744,0.1690772920846939,0.29286009073257446,0.4223487675189972,0.14903073012828827,0.5171257257461548,0.17809559404850006,0.22068053483963013
north,0.18673177063465118,0.16732536256313324,0.36298373341560364,0.31226781010627747,0.30784741044044495,0.17902317643165588,0.185934916138649,0.2935261130332947,0.2776443064212799,0.14122863113880157,0.11829731613397598
sea,0.19525039196014404,0.1665116548538208,0.30363768339157104,0.2721615433692932,0.22851763665676117,0.1316663771867752,0.20304065942764282,0.22993098199367523,0.30105236172676086,0.07866452634334564,0.15551945567131042
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.21904155611991882,0.26646170020103455,0.30469027161598206,0.5477725267410278,0.2400875836610794,1.0,0.1458650678396225,0.20544172823429108
formed,0.15451857447624207,0.17168700695037842,0.28813210129737854,0.20073002576828003,0.14511381089687347,0.45461541414260864,0.2785397171974182,0.18429183959960938,0.27619341015815735,0.13899648189544678,0.09686966985464096
an,0.2821882665157318,0.22598257660865784,0.4207492768764496,0.13697636127471924,0.11130598932504654,0.1558980643749237,0.2730048894882202,0.15612924098968506,0.2838519215583801,0.04717123508453369,0.19793890416622162
archipelago-like,0.22752943634986877,0.13333700597286224,0.30338016152381897,0.2613583505153656,0.26988714933395386,0.17768260836601257,0.14217554032802582,0.2138974964618683,0.2557440996170044,0.14577536284923553,0.1324818879365921
estuary,0.16203543543815613,0.09577276557683945,0.32509705424308777,0.3530727028846741,0.29299643635749817,0.19705505669116974,0.19558294117450714,0.19820083677768707,0.20765699446201324,0.06937474012374878,0.17284251749515533
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.16256481409072876,0.17650106549263,0.29348593950271606,0.9999999403953552,0.19556142389774323,0.5477725267410278,0.12707394361495972,0.2433311939239502
waal,0.18199798464775085,0.12280487269163132,0.14903073012828827,0.5007724165916443,0.5731846690177917,0.14208510518074036,0.19556142389774323,0.9999999403953552,0.2400875836610794,0.42269450426101685,0.11904393881559372
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.21904155611991882,0.26646170020103455,0.30469027161598206,0.5477725267410278,0.2400875836610794,1.0,0.1458650678396225,0.20544172823429108
lek,0.05934940651059151,0.1293519288301468,0.17809559404850006,0.46743062138557434,0.38151901960372925,0.1286083310842514,0.12707394361495972,0.42269450426101685,0.1458650678396225,1.0,0.12949015200138092
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2318514734506607,0.18479156494140625,0.28317511081695557,0.4446153938770294,0.1970512419939041,0.588965117931366,0.23659373819828033,0.4130953550338745
