,what,typeface,are,the,letters,in,the,iconic,abc,logo,reminiscent,of,?
by,0.2455483376979828,0.20472335815429688,0.37842893600463867,0.4408751428127289,0.25082749128341675,0.370934396982193,0.4408751428127289,0.19053982198238373,0.17600902915000916,0.1381736546754837,0.17288312315940857,0.3646814823150635,0.17966607213020325
herbert,0.12085329741239548,0.18982797861099243,0.09524507820606232,0.21408019959926605,0.12645630538463593,0.16174452006816864,0.21408019959926605,0.16569629311561584,0.1974973827600479,0.18536271154880524,0.10600375384092331,0.1945475935935974,0.13736963272094727
bayer,0.12282540649175644,0.23092003166675568,0.11324063688516617,0.1799919456243515,0.1769549548625946,0.19158370792865753,0.1799919456243515,0.16570577025413513,0.19737567007541656,0.20138417184352875,0.08122828602790833,0.13473035395145416,0.19985096156597137
in,0.30808621644973755,0.19505524635314941,0.3841303884983063,0.6662389636039734,0.1873265951871872,1.0,0.6662389636039734,0.2800956070423126,0.1697147786617279,0.1848117560148239,0.21660679578781128,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.19363410770893097,0.40399202704429626,1.0,0.23764781653881073,0.6662389636039734,1.0,0.2524588406085968,0.2068762183189392,0.2806010842323303,0.2813628613948822,0.733189046382904,0.22068053483963013
1920s,0.16224609315395355,0.14602483808994293,0.17405065894126892,0.26367270946502686,0.27487143874168396,0.2103888839483261,0.26367270946502686,0.11929232627153397,0.1299191117286682,0.07803399115800858,0.06426730751991272,0.18105606734752655,0.09021682292222977
",",0.3087472915649414,0.25209587812423706,0.4062570035457611,0.4933079481124878,0.26076140999794006,0.5201468467712402,0.4933079481124878,0.24123728275299072,0.2097204476594925,0.20034073293209076,0.2425617277622223,0.4946078956127167,0.31091248989105225
but,0.5029441118240356,0.20135702192783356,0.47990062832832336,0.4859698414802551,0.23351383209228516,0.48674455285072327,0.4859698414802551,0.21266169846057892,0.11702752858400345,0.2248670905828476,0.3225266933441162,0.39942997694015503,0.27921953797340393
also,0.42747777700424194,0.18113429844379425,0.4565894305706024,0.6021018624305725,0.2246202975511551,0.5073733329772949,0.6021018624305725,0.2284594178199768,0.2030053734779358,0.23630216717720032,0.31446677446365356,0.4924938678741455,0.21848613023757935
share,0.2764742076396942,0.1411156803369522,0.3582197427749634,0.249948650598526,0.1274879276752472,0.21491074562072754,0.249948650598526,0.1084216982126236,0.12420445680618286,0.190900057554245,0.19883953034877777,0.2850857973098755,0.1754547506570816
similarities,0.2706877887248993,0.3365890681743622,0.37671682238578796,0.275174081325531,0.28323137760162354,0.22275620698928833,0.275174081325531,0.18601307272911072,0.09782654792070389,0.18544244766235352,0.2827152609825134,0.27587366104125977,0.1720300316810608
with,0.2464839518070221,0.19991399347782135,0.38996943831443787,0.4223487675189972,0.21385009586811066,0.4080928862094879,0.4223487675189972,0.2115188091993332,0.17432008683681488,0.18333391845226288,0.23794037103652954,0.41827285289764404,0.2433311939239502
several,0.22446060180664062,0.20957814157009125,0.4241659343242645,0.40559855103492737,0.18945983052253723,0.39405709505081177,0.40559855103492737,0.17804495990276337,0.1428346037864685,0.13726164400577545,0.1841544508934021,0.3271615505218506,0.15595775842666626
other,0.341873437166214,0.2544313967227936,0.5932393670082092,0.44152235984802246,0.2696648836135864,0.39989137649536133,0.44152235984802246,0.1675131469964981,0.10159935057163239,0.20792168378829956,0.2436966449022293,0.38583824038505554,0.24682199954986572
fonts,0.23869182169437408,0.5641580820083618,0.2357250452041626,0.19380462169647217,0.30443835258483887,0.14011476933956146,0.19380462169647217,0.15047311782836914,0.128578782081604,0.2465202808380127,0.2311871200799942,0.13998644053936005,0.21324622631072998
",",0.3087472915649414,0.25209587812423706,0.4062570035457611,0.4933079481124878,0.26076140999794006,0.5201468467712402,0.4933079481124878,0.24123728275299072,0.2097204476594925,0.20034073293209076,0.2425617277622223,0.4946078956127167,0.31091248989105225
such,0.23989605903625488,0.25744953751564026,0.4654397666454315,0.3575236201286316,0.16066893935203552,0.2704046070575714,0.3575236201286316,0.19054655730724335,0.12735801935195923,0.19232100248336792,0.24072319269180298,0.3209529519081116,0.17851735651493073
as,0.31749409437179565,0.21153675019741058,0.3826591968536377,0.48381632566452026,0.18635833263397217,0.3887844979763031,0.48381632566452026,0.23846124112606049,0.2286096066236496,0.19516409933567047,0.2636403441429138,0.3886612355709076,0.27043893933296204
itc,0.1087205708026886,0.17472966015338898,0.18521498143672943,0.1678335815668106,0.14723484218120575,0.14043985307216644,0.1678335815668106,0.13151326775550842,0.3055901527404785,0.2452828288078308,0.20112299919128418,0.13428223133087158,0.2402571588754654
avant,0.1560574471950531,0.38049790263175964,0.07080883532762527,0.17791858315467834,0.2146216630935669,0.2286357432603836,0.17791858315467834,0.29221805930137634,0.23181584477424622,0.16050364077091217,0.2768174409866333,0.1912858486175537,0.2005830705165863
garde,0.15139631927013397,0.34449267387390137,0.11071517318487167,0.186409592628479,0.13801248371601105,0.2113092541694641,0.186409592628479,0.31820178031921387,0.17873862385749817,0.10843149572610855,0.23798386752605438,0.2371668815612793,0.17155705392360687
and,0.31309178471565247,0.1824476271867752,0.48576638102531433,0.5171257257461548,0.2574736475944519,0.4954058527946472,0.5171257257461548,0.23547162115573883,0.16453155875205994,0.146534726023674,0.2822687327861786,0.5116966962814331,0.20544172823429108
horatio,0.15556131303310394,0.2040959894657135,0.059900276362895966,0.24466168880462646,0.1743001639842987,0.16113483905792236,0.24466168880462646,0.25100773572921753,0.16369858384132385,0.2232860028743744,0.26217204332351685,0.24831567704677582,0.1266319751739502
",",0.3087472915649414,0.25209587812423706,0.4062570035457611,0.4933079481124878,0.26076140999794006,0.5201468467712402,0.4933079481124878,0.24123728275299072,0.2097204476594925,0.20034073293209076,0.2425617277622223,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.1824476271867752,0.48576638102531433,0.5171257257461548,0.2574736475944519,0.4954058527946472,0.5171257257461548,0.23547162115573883,0.16453155875205994,0.146534726023674,0.2822687327861786,0.5116966962814331,0.20544172823429108
most,0.3219912350177765,0.20262159407138824,0.48698675632476807,0.47635307908058167,0.16350945830345154,0.41416558623313904,0.47635307908058167,0.29337114095687866,0.12975531816482544,0.1041049212217331,0.2668180763721466,0.4178851246833801,0.2107497900724411
closely,0.24221673607826233,0.18754595518112183,0.35757535696029663,0.2750711441040039,0.1689664125442505,0.2138943076133728,0.2750711441040039,0.09203848987817764,0.05392371863126755,0.11958262324333191,0.18988946080207825,0.21746549010276794,0.08341413736343384
resembling,0.25400951504707336,0.24652782082557678,0.32163766026496887,0.27308282256126404,0.16942226886749268,0.1842948943376541,0.27308282256126404,0.29739606380462646,0.09289783984422684,0.27682361006736755,0.35096481442451477,0.26047059893608093,0.0847356989979744
chalet,0.14887021481990814,0.38185691833496094,0.16016152501106262,0.2801731824874878,0.21144573390483856,0.23184248805046082,0.2801731824874878,0.21880598366260529,0.17019106447696686,0.2432955801486969,0.3156520128250122,0.21590553224086761,0.15425977110862732
.,0.3567904531955719,0.217641219496727,0.3452940285205841,0.5934505462646484,0.25618162751197815,0.5591574311256409,0.5934505462646484,0.23595774173736572,0.2567209303379059,0.2531629800796509,0.3281480669975281,0.5352458953857422,0.4130953550338745
