,what,form,of,oxygen,is,composed,of,three,oxygen,atoms,?
pollutant,0.20654211938381195,0.19697114825248718,0.2682695686817169,0.44478142261505127,0.2757472097873688,0.16833814978599548,0.2682695686817169,0.07498519122600555,0.44478142261505127,0.388094425201416,0.2012091428041458
near,0.19414293766021729,0.10477729886770248,0.2651676535606384,0.119270920753479,0.25453904271125793,0.0741688683629036,0.2651676535606384,0.16919860243797302,0.119270920753479,0.1374015510082245,0.10734958201646805
the,0.42745697498321533,0.29286009073257446,0.733189046382904,0.20428593456745148,0.5823672413825989,0.21816956996917725,0.733189046382904,0.43452659249305725,0.20428593456745148,0.1997222602367401,0.22068053483963013
surface,0.23580394685268402,0.26612022519111633,0.24204103648662567,0.32912203669548035,0.29345643520355225,0.15642251074314117,0.24204103648662567,0.1469234824180603,0.32912203669548035,0.3255249559879303,0.14613434672355652
where,0.4457937180995941,0.25177764892578125,0.38066378235816956,0.1672561913728714,0.3586711287498474,0.13344234228134155,0.38066378235816956,0.25543931126594543,0.1672561913728714,0.1974208503961563,0.24793872237205505
it,0.45803478360176086,0.31451088190078735,0.38761502504348755,0.26699385046958923,0.6328473687171936,0.21270644664764404,0.38761502504348755,0.27537038922309875,0.26699385046958923,0.24797111749649048,0.25732165575027466
is,0.28837618231773376,0.3218395411968231,0.4854315221309662,0.21825239062309265,1.0,0.18838012218475342,0.4854315221309662,0.23072560131549835,0.21825239062309265,0.21835871040821075,0.22961433231830597
a,0.3320399522781372,0.3088195323944092,0.5052502155303955,0.21662019193172455,0.658733606338501,0.20229825377464294,0.5052502155303955,0.3025658130645752,0.21662019193172455,0.23782315850257874,0.23916715383529663
by-product,0.2955065965652466,0.29564452171325684,0.20874173939228058,0.2956080436706543,0.25903862714767456,0.15295667946338654,0.20874173939228058,0.1839025914669037,0.2956080436706543,0.2678769826889038,0.288609117269516
of,0.33290785551071167,0.29600051045417786,1.0,0.16848602890968323,0.4854315221309662,0.29509663581848145,1.0,0.3844621181488037,0.16848602890968323,0.20656298100948334,0.1826142966747284
smog,0.18470200896263123,0.22268615663051605,0.17724473774433136,0.3571315109729767,0.2321680337190628,0.1475469321012497,0.17724473774433136,0.11742734909057617,0.3571315109729767,0.26832279562950134,0.230553537607193
.,0.3567904531955719,0.28317511081695557,0.5352458953857422,0.2554275095462799,0.4569662809371948,0.21116578578948975,0.5352458953857422,0.34968629479408264,0.2554275095462799,0.26239243149757385,0.4130953550338745
