,how,great,were,the,losses,suffered,in,the,the,financial,crisis,of,2008-09,to,harvard,endowment,?
forbes,0.11774519830942154,0.12230287492275238,0.23351360857486725,0.22108957171440125,0.10350701957941055,0.1946284919977188,0.2087683081626892,0.22108957171440125,0.22108957171440125,0.2620863914489746,0.16514219343662262,0.22141948342323303,0.1131644994020462,0.19530744850635529,0.27440154552459717,0.34391018748283386,0.1712266504764557
in,0.2601168751716614,0.23348836600780487,0.3815755248069763,0.6662389636039734,0.19000959396362305,0.277639776468277,1.0,0.6662389636039734,0.6662389636039734,0.23881284892559052,0.19426369667053223,0.5696388483047485,0.0353601910173893,0.45010748505592346,0.26072487235069275,0.23720911145210266,0.20430970191955566
march,0.16374856233596802,0.19856886565685272,0.215988889336586,0.2680487632751465,0.14458079636096954,0.19318778812885284,0.29730337858200073,0.2680487632751465,0.2680487632751465,0.14812269806861877,0.18852177262306213,0.20692677795886993,0.17526482045650482,0.2274535447359085,0.12936002016067505,0.17174796760082245,0.2802562415599823
2009,-0.20996622741222382,-0.18166029453277588,-0.20248553156852722,-0.23935742676258087,-0.210920050740242,-0.2197389304637909,-0.28531888127326965,-0.23935742676258087,-0.23935742676258087,-0.2410360425710678,-0.1704775094985962,-0.2637706398963928,-0.01086015161126852,-0.3018359839916229,-0.2515944838523865,-0.2023056298494339,-0.2287932187318802
estimated,0.21406520903110504,0.15837129950523376,0.27105018496513367,0.29184040427207947,0.30205217003822327,0.28346410393714905,0.2508986294269562,0.29184040427207947,0.29184040427207947,0.20246097445487976,0.18554547429084778,0.30473583936691284,0.024612100794911385,0.2046545445919037,0.17772850394248962,0.33306363224983215,0.18149758875370026
the,0.33890387415885925,0.2822027802467346,0.3906462490558624,1.0,0.2206985056400299,0.2558774948120117,0.6662389636039734,1.0,1.0,0.29952070116996765,0.263981431722641,0.733189046382904,0.07118005305528641,0.535392165184021,0.24496200680732727,0.28356990218162537,0.22068053483963013
loss,0.2624443769454956,0.15357984602451324,0.14084996283054352,0.27898719906806946,0.6186527013778687,0.4280531406402588,0.21028298139572144,0.27898719906806946,0.27898719906806946,0.2802342474460602,0.19002975523471832,0.26357072591781616,0.04987947270274162,0.2457711398601532,0.07777358591556549,0.21998658776283264,0.1312553584575653
to,0.44169697165489197,0.1880372017621994,0.31913647055625916,0.535392165184021,0.18390177190303802,0.15722067654132843,0.45010748505592346,0.535392165184021,0.535392165184021,0.27715611457824707,0.21038146317005157,0.41548454761505127,-0.011997789144515991,1.0,0.2043667882680893,0.1974945366382599,0.29463258385658264
be,0.4158933162689209,0.17040422558784485,0.4064064621925354,0.4248143136501312,0.18053095042705536,0.15376779437065125,0.3481820821762085,0.4248143136501312,0.4248143136501312,0.180576354265213,0.18682587146759033,0.33904364705085754,0.007995408959686756,0.4972836375236511,0.1758749634027481,0.14532117545604706,0.3324260413646698
in,0.2601168751716614,0.23348836600780487,0.3815755248069763,0.6662389636039734,0.19000959396362305,0.277639776468277,1.0,0.6662389636039734,0.6662389636039734,0.23881284892559052,0.19426369667053223,0.5696388483047485,0.0353601910173893,0.45010748505592346,0.26072487235069275,0.23720911145210266,0.20430970191955566
the,0.33890387415885925,0.2822027802467346,0.3906462490558624,1.0,0.2206985056400299,0.2558774948120117,0.6662389636039734,1.0,1.0,0.29952070116996765,0.263981431722641,0.733189046382904,0.07118005305528641,0.535392165184021,0.24496200680732727,0.28356990218162537,0.22068053483963013
range,0.15032252669334412,0.1625916212797165,0.1852422058582306,0.2311336100101471,0.17090848088264465,0.07947909086942673,0.2084861844778061,0.2311336100101471,0.2311336100101471,0.12727440893650055,0.08333716541528702,0.234999418258667,0.005184524692595005,0.2767433524131775,0.07864706963300705,0.1750214844942093,0.1204894632101059
of,0.2480744868516922,0.3168134391307831,0.34038281440734863,0.733189046382904,0.1633189469575882,0.2524636387825012,0.5696388483047485,0.733189046382904,0.733189046382904,0.30178552865982056,0.2267792969942093,1.0,0.005116566084325314,0.41548454761505127,0.25842633843421936,0.34702977538108826,0.1826142966747284
$,0.18718640506267548,0.13563941419124603,0.171411395072937,0.23367542028427124,0.2961327135562897,0.14802952110767365,0.21616753935813904,0.23367542028427124,0.23367542028427124,0.2532128691673279,0.15684492886066437,0.11268499493598938,0.09514092653989792,0.22282108664512634,0.19535687565803528,0.49323704838752747,0.2786129117012024
12,0.10959922522306442,0.1964796632528305,0.1640433669090271,0.28907760977745056,0.034602101892232895,0.05673918128013611,0.18516430258750916,0.28907760977745056,0.28907760977745056,0.028137415647506714,0.03299009054899216,0.2886716425418854,-0.20280174911022186,0.22845682501792908,-0.13539302349090576,-0.006780577357858419,0.10021790862083435
billion,0.2582297921180725,0.11600296944379807,0.16785979270935059,0.2162325382232666,0.25151678919792175,0.12336285412311554,0.18475750088691711,0.2162325382232666,0.2162325382232666,0.2396508753299713,0.22132909297943115,0.19335569441318512,0.11010280251502991,0.2046312391757965,0.21851566433906555,0.41007882356643677,0.25791820883750916
.,0.3287222981452942,0.2178412526845932,0.3378238379955292,0.5934505462646484,0.25381195545196533,0.14637410640716553,0.5591574311256409,0.5934505462646484,0.5934505462646484,0.22828321158885956,0.15965543687343597,0.5352458953857422,0.07656655460596085,0.4645031690597534,0.254516065120697,0.29407718777656555,0.4130953550338745
