,what,is,one,example,of,what,a,clinical,pharmacist,'s,duties,entail,?
therapy,0.23743373155593872,0.19175049662590027,0.1722804754972458,0.24460358917713165,0.19317765533924103,0.23743373155593872,0.24302813410758972,0.578259289264679,0.34833836555480957,-0.01825578883290291,0.12245649099349976,0.17503385245800018,0.18962311744689941
plan,0.2947953939437866,0.16803590953350067,0.19568011164665222,0.1877601146697998,0.2742128372192383,0.2947953939437866,0.27156999707221985,0.17672142386436462,0.15712767839431763,0.014385199174284935,0.21196696162223816,0.21098577976226807,0.1961054503917694
for,0.3017193675041199,0.43268078565597534,0.384836345911026,0.45665353536605835,0.4185989499092102,0.3017193675041199,0.44038116931915283,0.28036341071128845,0.1785099357366562,-0.07241261005401611,0.2837844491004944,0.1837519109249115,0.264628142118454
patient-specific,0.42405030131340027,0.29536759853363037,0.3204745948314667,0.40715333819389343,0.30266326665878296,0.42405030131340027,0.38624778389930725,0.537466287612915,0.363831490278244,-0.04898545891046524,0.30232638120651245,0.25327804684638977,0.3743956685066223
problems,0.3306994140148163,0.16985496878623962,0.2803315222263336,0.27446338534355164,0.2450421154499054,0.3306994140148163,0.21523453295230865,0.2951723337173462,0.18984383344650269,-0.0541396401822567,0.19985218346118927,0.11972622573375702,0.2638136148452759
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.427140474319458,0.21013301610946655,0.2383713573217392,-0.0016132977325469255,0.2217356413602829,0.21178676187992096,0.31091248989105225
identifying,0.26957276463508606,0.2322341501712799,0.3109430968761444,0.32320863008499146,0.2781277298927307,0.26957276463508606,0.3078891634941101,0.3585371673107147,0.2738175094127655,-0.09051470458507538,0.21914474666118622,0.32435768842697144,0.2562958002090454
goals,0.13392581045627594,0.08126746863126755,0.14244814217090607,0.07416308671236038,0.10088890790939331,0.13392581045627594,0.10896897315979004,0.18745452165603638,0.052642207592725754,0.06642255187034607,0.21289755403995514,0.11898791044950485,0.16318443417549133
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.3570667505264282,1.0,0.33290785551071167,0.5052502155303955,0.2760547399520874,0.18185114860534668,-0.03817026689648628,0.23315410315990448,0.19990964233875275,0.1826142966747284
therapy,0.23743373155593872,0.19175049662590027,0.1722804754972458,0.24460358917713165,0.19317765533924103,0.23743373155593872,0.24302813410758972,0.578259289264679,0.34833836555480957,-0.01825578883290291,0.12245649099349976,0.17503385245800018,0.18962311744689941
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.427140474319458,0.21013301610946655,0.2383713573217392,-0.0016132977325469255,0.2217356413602829,0.21178676187992096,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.3739250600337982,0.2551795542240143,0.24346593022346497,0.06895173341035843,0.2645578980445862,0.18700791895389557,0.20544172823429108
reviewing,0.3887392282485962,0.2009180784225464,0.27253562211990356,0.22666504979133606,0.1947704702615738,0.3887392282485962,0.254104882478714,0.26175421476364136,0.1628313809633255,-0.02964017540216446,0.27230504155158997,0.23725417256355286,0.3273172676563263
all,0.41981086134910583,0.2553904056549072,0.4628787636756897,0.3405359387397766,0.42798417806625366,0.41981086134910583,0.2696802616119385,0.1658625453710556,0.16621261835098267,0.03181743621826172,0.28284791111946106,0.2943507730960846,0.29575422406196594
prescribed,0.21203890442848206,0.161094531416893,0.21428073942661285,0.2933829426765442,0.19140151143074036,0.21203890442848206,0.1792374551296234,0.4652363359928131,0.4200790524482727,-0.052760347723960876,0.24287571012973785,0.18258404731750488,0.15228049457073212
medications,0.2549620568752289,0.23351168632507324,0.22531351447105408,0.35473817586898804,0.25834259390830994,0.2549620568752289,0.2712159752845764,0.5535240769386292,0.40428659319877625,-0.08309099823236465,0.24328216910362244,0.2007908821105957,0.22114922106266022
prior,0.2537507116794586,0.14228065311908722,0.23925508558750153,0.13306716084480286,0.3183474540710449,0.2537507116794586,0.22647660970687866,0.19991108775138855,0.17287810146808624,-0.0369880273938179,0.2539045214653015,0.08095663785934448,0.16978254914283752
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.3451666533946991,0.41548454761505127,0.455847829580307,0.45503583550453186,0.2722678482532501,0.14544889330863953,0.03782717138528824,0.25964534282684326,0.22329041361808777,0.29463258385658264
dispensing,0.3396281599998474,0.2176045924425125,0.2519729733467102,0.27165335416793823,0.3269481658935547,0.3396281599998474,0.24428699910640717,0.2649815082550049,0.14984244108200073,0.05616246163845062,0.2416415810585022,0.25661566853523254,0.23133355379104614
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.3739250600337982,0.2551795542240143,0.24346593022346497,0.06895173341035843,0.2645578980445862,0.18700791895389557,0.20544172823429108
administration,0.2483910471200943,0.2050059735774994,0.17474016547203064,0.19800184667110443,0.3326551914215088,0.2483910471200943,0.2251184731721878,0.2829896807670593,0.2827281057834625,-0.05724326893687248,0.39211219549179077,0.10900167375802994,0.14283715188503265
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.3451666533946991,0.41548454761505127,0.455847829580307,0.45503583550453186,0.2722678482532501,0.14544889330863953,0.03782717138528824,0.25964534282684326,0.22329041361808777,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.3755223751068115,0.733189046382904,0.42745697498321533,0.5829201340675354,0.24038995802402496,0.18885643780231476,-0.01540423184633255,0.21765777468681335,0.24650493264198303,0.22068053483963013
patient,0.3135989308357239,0.23460286855697632,0.22894591093063354,0.20565643906593323,0.1500403732061386,0.3135989308357239,0.2571181356906891,0.49259641766548157,0.3383829593658447,-0.07155405730009079,0.20971621572971344,0.11175978928804398,0.24355199933052063
.,0.3567904531955719,0.4569662809371948,0.4123194217681885,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.50484299659729,0.21580979228019714,0.2583400309085846,-0.003708066651597619,0.1976740062236786,0.25490260124206543,0.4130953550338745
