,what,are,some,of,scientists,arguments,?
open,0.2022915631532669,0.253268837928772,0.20894673466682434,0.17970167100429535,0.14992736279964447,0.07349471747875214,0.20715104043483734
forest,0.15328429639339447,0.17875638604164124,0.16337497532367706,0.2309139519929886,0.1373615860939026,0.07336237281560898,0.1214437186717987
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.5116966962814331,0.20514336228370667,0.246416375041008,0.20544172823429108
grassland,0.14643354713916779,0.28530535101890564,0.29992544651031494,0.21322283148765564,0.19741190969944,0.1396421492099762,0.12139919400215149
;,0.10986888408660889,0.15315808355808258,0.09988705068826675,0.054534342139959335,0.11591900885105133,0.05826854705810547,0.10349778085947037
other,0.341873437166214,0.5932393670082092,0.6399164199829102,0.38583824038505554,0.2758164405822754,0.2680223882198334,0.24682199954986572
scientists,0.30003565549850464,0.3041467070579529,0.38937023282051086,0.20474955439567566,0.9999999403953552,0.15868546068668365,0.16597221791744232
argue,0.41590559482574463,0.24223986268043518,0.353171706199646,0.19617585837841034,0.23715995252132416,0.5412850975990295,0.32235559821128845
that,0.6297725439071655,0.45265161991119385,0.6049469113349915,0.41498205065727234,0.3470602035522461,0.36129114031791687,0.32716336846351624
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.733189046382904,0.25988271832466125,0.19616100192070007,0.22068053483963013
rainforest,0.22127854824066162,0.2730858027935028,0.2555103302001953,0.22522282600402832,0.25935688614845276,0.13220204412937164,0.1917492002248764
remained,0.1733817607164383,0.19222380220890045,0.1870998591184616,0.35287612676620483,0.11638083308935165,0.09883027523756027,0.08263323456048965
largely,0.25660550594329834,0.2932984232902527,0.3906775414943695,0.3087159991264343,0.164603129029274,0.18244539201259613,0.08185246586799622
intact,0.2567657232284546,0.26374176144599915,0.3366069793701172,0.3116806447505951,0.12319662421941757,0.17874884605407715,0.1481182724237442
but,0.5029441118240356,0.47990062832832336,0.5773703455924988,0.39942997694015503,0.2651747465133667,0.33386144042015076,0.27921953797340393
extended,0.20863614976406097,0.1869942843914032,0.27875733375549316,0.2843494713306427,0.08522427827119827,0.1736023724079132,0.17568568885326385
less,0.31119704246520996,0.37797531485557556,0.473762571811676,0.30836719274520874,0.22980540990829468,0.2006315290927887,0.22418740391731262
far,0.34794166684150696,0.30228713154792786,0.3375568091869354,0.3005201518535614,0.28080877661705017,0.1259710192680359,0.2170870453119278
to,0.455847829580307,0.3504326641559601,0.4636894166469574,0.41548454761505127,0.27814680337905884,0.27409398555755615,0.29463258385658264
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.733189046382904,0.25988271832466125,0.19616100192070007,0.22068053483963013
north,0.18673177063465118,0.22930844128131866,0.18648658692836761,0.3604778051376343,0.15254883468151093,0.06986121088266373,0.11829731613397598
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.25785407423973083,0.1982562243938446,0.31091248989105225
south,0.15388517081737518,0.21281804144382477,0.2105838507413864,0.33382371068000793,0.15762817859649658,0.13909421861171722,0.12336621433496475
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.25785407423973083,0.1982562243938446,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.5116966962814331,0.20514336228370667,0.246416375041008,0.20544172823429108
east,0.19840149581432343,0.16636624932289124,0.1941682994365692,0.314786434173584,0.17226068675518036,0.10932790488004684,0.10070597380399704
than,0.29388150572776794,0.39206281304359436,0.46446433663368225,0.33036211133003235,0.18603861331939697,0.2157895267009735,0.24917294085025787
is,0.28837618231773376,0.5330929756164551,0.3038453459739685,0.4854315221309662,0.24610774219036102,0.1728595495223999,0.22961433231830597
seen,0.3087027072906494,0.3265171945095062,0.3548305928707123,0.28639769554138184,0.2039652168750763,0.14697588980197906,0.2567344307899475
today,0.3814660608768463,0.39445018768310547,0.4624233841896057,0.3291318118572235,0.24389831721782684,0.13867543637752533,0.17338968813419342
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.5352458953857422,0.22514508664608002,0.2468884438276291,0.4130953550338745
