,according,to,the,theory,",",what,does,the,name,``,huguenot,'',mean,?
the,0.3202974498271942,0.535392165184021,1.0,0.2277156263589859,0.4933079481124878,0.42745697498321533,0.35928019881248474,1.0,0.3171212375164032,0.029072100296616554,0.29557526111602783,0.041273195296525955,0.25977957248687744,0.22068053483963013
name,0.1494351178407669,0.27806994318962097,0.3171212375164032,0.1264745593070984,0.28145334124565125,0.18623162806034088,0.21063627302646637,0.3171212375164032,1.0,0.1001104861497879,0.1340496689081192,0.003883055876940489,0.22177204489707947,0.15381577610969543
huguenote,0.23954932391643524,0.30054447054862976,0.35014060139656067,0.200077623128891,0.2768866717815399,0.25077810883522034,0.17819494009017944,0.35014060139656067,0.17301373183727264,0.20193803310394287,0.9406607151031494,-0.0034209992736577988,0.17867925763130188,0.20148664712905884
would,0.23660632967948914,0.5965728163719177,0.4133751392364502,0.2241445630788803,0.32586824893951416,0.45766422152519226,0.5055691003799438,0.4133751392364502,0.196122407913208,0.08063928782939911,0.22230011224746704,0.02574172429740429,0.32251617312431335,0.37178951501846313
be,0.2703677713871002,0.4972836375236511,0.4248143136501312,0.2076098620891571,0.39254459738731384,0.3929833769798279,0.28696945309638977,0.4248143136501312,0.19639723002910614,0.07670000940561295,0.13099677860736847,0.08835477381944656,0.3655017018318176,0.3324260413646698
roughly,0.2527073919773102,0.2705877423286438,0.3095499873161316,0.14152204990386963,0.2276160717010498,0.2731170356273651,0.17797225713729858,0.3095499873161316,0.16238433122634888,0.10475781559944153,0.2194567322731018,-0.019647616893053055,0.2686419188976288,0.09299357235431671
equivalent,0.28248459100723267,0.2572562098503113,0.25884127616882324,0.17085441946983337,0.3022598922252655,0.1903919279575348,0.26204463839530945,0.25884127616882324,0.16387218236923218,0.18999549746513367,0.12668511271476746,0.09118390083312988,0.3006018400192261,0.19755122065544128
to,0.28520727157592773,1.0,0.535392165184021,0.21947365999221802,0.44245919585227966,0.455847829580307,0.4391997456550598,0.535392165184021,0.27806994318962097,0.06720756739377975,0.24496324360370636,-0.009905828163027763,0.2274881899356842,0.29463258385658264
little,0.06903182715177536,0.2547711431980133,0.2412613034248352,0.16323374211788177,0.32780832052230835,0.2614184617996216,0.25939854979515076,0.2412613034248352,0.1322396993637085,-0.006054630968719721,0.11598269641399384,-0.026414765045046806,0.23106089234352112,0.20336517691612244
hugos,0.15289205312728882,0.204403817653656,0.30479955673217773,0.16943131387233734,0.3061094880104065,0.13306811451911926,0.11822668462991714,0.30479955673217773,0.12610705196857452,0.04995957016944885,0.3815026879310608,0.0008803731179796159,0.10050400346517563,0.18771600723266602
",",0.3107093870639801,0.44245919585227966,0.4933079481124878,0.18095813691616058,1.0000001192092896,0.3087472915649414,0.28617382049560547,0.4933079481124878,0.28145334124565125,0.09681109338998795,0.24752236902713776,-0.037358131259679794,0.27540135383605957,0.31091248989105225
or,0.18592984974384308,0.38921234011650085,0.4174870550632477,0.21121910214424133,0.3769497275352478,0.33867141604423523,0.4248845875263214,0.4174870550632477,0.19621294736862183,0.1197475790977478,0.17501351237297058,0.04548122361302376,0.45437735319137573,0.32389625906944275
those,0.2206927239894867,0.47350940108299255,0.42861196398735046,0.24328015744686127,0.39574649930000305,0.44466671347618103,0.3144809603691101,0.42861196398735046,0.10832960903644562,0.10880209505558014,0.2590872347354889,-0.013479561544954777,0.3139728605747223,0.3328189253807068
who,0.22336459159851074,0.42656609416007996,0.3733934462070465,0.19210977852344513,0.3365725874900818,0.40942975878715515,0.25013914704322815,0.3733934462070465,0.2027527540922165,0.02397952415049076,0.32233482599258423,0.024401003494858742,0.2357521504163742,0.26220351457595825
want,0.1847410351037979,0.4966742694377899,0.3003826439380646,0.17707927525043488,0.30747702717781067,0.516654908657074,0.4986003339290619,0.3003826439380646,0.16137389838695526,0.027326209470629692,0.21401149034500122,0.04822646081447601,0.3605811893939972,0.44783785939216614
hugo,0.10919907689094543,0.12330272793769836,0.2635921835899353,0.14693306386470795,0.26286637783050537,0.12195195257663727,0.0934978574514389,0.2635921835899353,0.17224285006523132,-0.013774187304079533,0.3514326810836792,-0.023280616849660873,0.1031661257147789,0.15095652639865875
.,0.29052162170410156,0.4645031690597534,0.5934505462646484,0.18047811090946198,0.6812511086463928,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.24737101793289185,0.05720457062125206,0.2060975730419159,-0.07181349396705627,0.21881133317947388,0.4130953550338745
