,what,did,the,use,of,steam,engines,in,farming,lead,to,?
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.47655582427978516,0.4185989499092102,0.19393667578697205,0.19945158064365387,0.4322226941585541,0.26509755849838257,0.29822173714637756,0.4451248347759247,0.264628142118454
cultivation,0.17288483679294586,0.08957526832818985,0.2445899397134781,0.25251251459121704,0.24564634263515472,0.22360511124134064,0.15329508483409882,0.2678565979003906,0.4667400121688843,0.11193202435970306,0.22306743264198303,0.1158214882016182
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.3711656630039215,0.5352458953857422,0.22855372726917267,0.24894580245018005,0.5591574311256409,0.3119760751724243,0.2305188626050949,0.4645031690597534,0.4130953550338745
,what,did,the,use,of,steam,engines,in,farming,lead,to,?
there,0.35085538029670715,0.29736605286598206,0.47025805711746216,0.31810468435287476,0.44397735595703125,0.19468405842781067,0.22020067274570465,0.5361666083335876,0.3096728026866913,0.09408196806907654,0.40669289231300354,0.29405656456947327
have,0.39808809757232666,0.3783526122570038,0.40389683842658997,0.4805850088596344,0.3802283704280853,0.15978071093559265,0.2422233670949936,0.36843645572662354,0.17527686059474945,0.2380237728357315,0.4544740617275238,0.32991164922714233
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.22117964923381805,0.42558613419532776,0.15630799531936646,0.16230593621730804,0.4374977946281433,0.13862904906272888,0.16269199550151825,0.36524343490600586,0.21978627145290375
one,0.376489520072937,0.27659472823143005,0.5514441132545471,0.3501819968223572,0.4999135136604309,0.23085100948810577,0.2211170196533203,0.4129433035850525,0.20666848123073578,0.16738592088222504,0.4025384783744812,0.2673267424106598
time,0.36319252848625183,0.3567926585674286,0.43061500787734985,0.30243632197380066,0.35127586126327515,0.20034173130989075,0.17093227803707123,0.3431483507156372,0.14289167523384094,0.19779279828071594,0.3679993152618408,0.27391523122787476
or,0.33867141604423523,0.28211739659309387,0.4174870550632477,0.44579923152923584,0.3792596757411957,0.2369248867034912,0.16979892551898956,0.3586423695087433,0.18977805972099304,0.16931064426898956,0.38921234011650085,0.32389625906944275
another,0.4190070629119873,0.29175329208374023,0.5019711852073669,0.2898416519165039,0.38147079944610596,0.18421155214309692,0.19322575628757477,0.3397690951824188,0.20774014294147491,0.2576623558998108,0.48769932985305786,0.295511931180954
been,0.2567804455757141,0.2835664749145508,0.3563927710056305,0.27338850498199463,0.31685134768486023,0.175981804728508,0.19427621364593506,0.3515113592147827,0.22432440519332886,0.18186718225479126,0.34945759177207947,0.24354910850524902
steam-powered,0.17279094457626343,0.2491404265165329,0.2755395174026489,0.35398322343826294,0.22288812696933746,0.7866420149803162,0.5590695142745972,0.22638636827468872,0.2887725234031677,0.09735925495624542,0.26344069838523865,0.1711118370294571
farm,0.2069452404975891,0.11417466402053833,0.20988774299621582,0.21895574033260345,0.20883309841156006,0.24397271871566772,0.16802790760993958,0.26482921838760376,0.5675154328346252,0.04537340998649597,0.24036310613155365,0.1406853348016739
tractors,0.18873023986816406,0.15970472991466522,0.27886801958084106,0.2817777693271637,0.254069983959198,0.3857678472995758,0.4554201662540436,0.1765865981578827,0.3165566027164459,0.1393885314464569,0.24875909090042114,0.10107389837503433
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.3276674151420593,0.4946078956127167,0.2264556586742401,0.20245449244976044,0.5201468467712402,0.29435446858406067,0.2561914026737213,0.44245919585227966,0.31091248989105225
motorcycles,0.1797896772623062,0.15952928364276886,0.19527219235897064,0.22616946697235107,0.18522591888904572,0.33108457922935486,0.442826509475708,0.21685436367988586,0.1788659393787384,0.19011905789375305,0.20977365970611572,0.16258148849010468
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.2174896001815796,0.35032153129577637,0.11881943792104721,0.12876033782958984,0.3087427020072937,0.14082945883274078,0.19488981366157532,0.30882009863853455,0.40561532974243164
without,0.3181614279747009,0.3172723054885864,0.3270869255065918,0.4003336727619171,0.3081340193748474,0.23612958192825317,0.23521125316619873,0.2553589344024658,0.14936485886573792,0.23407171666622162,0.37970873713493347,0.2928665280342102
much,0.45316147804260254,0.37947356700897217,0.35023224353790283,0.38976505398750305,0.2671096920967102,0.24167369306087494,0.2845681309700012,0.2725222110748291,0.2753819227218628,0.20519433915615082,0.40610215067863464,0.23442231118679047
success,0.22873179614543915,0.33578285574913025,0.2764457166194916,0.22293131053447723,0.20485365390777588,0.18869850039482117,0.1685696840286255,0.3020555078983307,0.15908928215503693,0.17007695138454437,0.20929217338562012,0.1216118186712265
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.23662498593330383,0.3680361211299896,0.13912063837051392,0.14278316497802734,0.3326910734176636,0.1628371626138687,0.18732444941997528,0.31236231327056885,0.42300865054130554
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.34145063161849976,0.5116966962814331,0.24133789539337158,0.21148960292339325,0.4954058527946472,0.2895333170890808,0.31077226996421814,0.48971283435821533,0.20544172823429108
even,0.40872135758399963,0.45816805958747864,0.37996912002563477,0.46119609475135803,0.34735506772994995,0.23714230954647064,0.2489171028137207,0.29146435856819153,0.21496997773647308,0.21729864180088043,0.46467068791389465,0.30082517862319946
automobiles,0.18129289150238037,0.163346067070961,0.21666547656059265,0.25762128829956055,0.1845320612192154,0.3990214467048645,0.4742957055568695,0.24662406742572784,0.26646173000335693,0.13201779127120972,0.17545898258686066,0.1570184975862503
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.3453201949596405,0.3886612355709076,0.20776431262493134,0.17400804162025452,0.3887844979763031,0.24710741639137268,0.2644319534301758,0.42092081904411316,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,1.0,0.34342584013938904,0.733189046382904,0.23105813562870026,0.2245008647441864,0.6662389636039734,0.26529598236083984,0.21995973587036133,0.535392165184021,0.22068053483963013
stanley,0.11021901667118073,0.1564265489578247,0.22317147254943848,0.15497228503227234,0.1884305775165558,0.3037031888961792,0.23414525389671326,0.181665301322937,0.12335643172264099,0.12601232528686523,0.21223869919776917,0.11196144670248032
steamer,0.07291951030492783,0.10875923186540604,0.2738068103790283,0.12170393019914627,0.23172417283058167,0.695038914680481,0.3368237614631653,0.26725080609321594,0.23660604655742645,0.11245718598365784,0.19397759437561035,0.05115045607089996
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.3711656630039215,0.5352458953857422,0.22855372726917267,0.24894580245018005,0.5591574311256409,0.3119760751724243,0.2305188626050949,0.4645031690597534,0.4130953550338745
