,what,kind,of,affect,did,luther,often,use,in,his,discourses,?
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3258028030395508,0.34479495882987976,0.20796556770801544,0.42465832829475403,0.34145063161849976,0.4954058527946472,0.4234102666378021,0.2525341808795929,0.20544172823429108
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.31448644399642944,0.2593238651752472,0.20523880422115326,0.3380797803401947,0.2715643048286438,1.0,0.3598145842552185,0.1541818380355835,0.20430970191955566
diatribes,0.24591244757175446,0.20495525002479553,0.259893536567688,0.26197999715805054,0.1907317340373993,0.19502854347229004,0.22864216566085815,0.1798592507839203,0.2637900710105896,0.14994654059410095,0.25648072361946106,0.17209824919700623
against,0.24561616778373718,0.17143523693084717,0.2669808566570282,0.1993299275636673,0.22514554858207703,0.18804924190044403,0.2069195657968521,0.18940001726150513,0.27273955941200256,0.26457494497299194,0.13445532321929932,0.18095137178897858
``,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.059504300355911255,-0.029888948425650597,-0.013964727520942688,0.06302177906036377,0.098173126578331,0.04765888676047325,0.008275155909359455,0.07216890901327133,0.0685480609536171
turks,0.2076534628868103,0.052103761583566666,0.235667884349823,0.10847872495651245,0.18401244282722473,0.17542731761932373,0.18009591102600098,0.08599498122930527,0.18422621488571167,0.15982621908187866,0.09710606932640076,0.1953624188899994
'',0.08143015950918198,0.01890246570110321,0.13035868108272552,-0.010751497931778431,0.01978493109345436,-0.04572787508368492,0.03212470933794975,0.09741680324077606,0.07432962208986282,0.016508836299180984,0.04869799315929413,0.018684765323996544
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.19826927781105042,0.18979617953300476,0.1677781045436859,0.1375083178281784,0.2174896001815796,0.3087427020072937,0.16098198294639587,0.1371699869632721,0.40561532974243164
muslims,0.26523277163505554,0.09130651503801346,0.22355489432811737,0.18529587984085083,0.23549841344356537,0.15538640320301056,0.1931729018688202,0.15746277570724487,0.18662098050117493,0.18752595782279968,0.2411264330148697,0.18742211163043976
),0.26259949803352356,0.17504733800888062,0.3680361211299896,0.1914319396018982,0.18584993481636047,0.18587662279605865,0.16039077937602997,0.23662498593330383,0.3326910734176636,0.18606403470039368,0.13762784004211426,0.42300865054130554
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3258028030395508,0.34479495882987976,0.20796556770801544,0.42465832829475403,0.34145063161849976,0.4954058527946472,0.4234102666378021,0.2525341808795929,0.20544172823429108
catholics,0.2566930949687958,0.1516936868429184,0.3054737448692322,0.13555726408958435,0.2574452757835388,0.30996617674827576,0.2660069763660431,0.17929710447788239,0.20728369057178497,0.21439655125141144,0.2720913290977478,0.17714823782444
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2787342071533203,0.35288307070732117,0.24907569587230682,0.30710849165916443,0.3711656630039215,0.5591574311256409,0.3119256794452667,0.13144978880882263,0.4130953550338745
