,what,type,of,ballot,is,used,to,elect,the,presiding,officer,and,deputies,of,the,parliament,?
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.1836814135313034,1.0,0.3288823366165161,0.42745086550712585,0.11293090879917145,0.5823672413825989,0.2072397768497467,0.19916827976703644,0.3859752118587494,0.17188584804534912,0.4854315221309662,0.5823672413825989,0.19676777720451355,0.22961433231830597
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26649942994117737,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2026924341917038,1.0,0.3267684876918793,0.25777485966682434,0.5171257257461548,0.2915080487728119,0.733189046382904,1.0,0.26521381735801697,0.22068053483963013
only,0.41415658593177795,0.24842338263988495,0.49632513523101807,0.22184264659881592,0.44708555936813354,0.36452993750572205,0.5096819996833801,0.2693452537059784,0.5497692227363586,0.18231342732906342,0.18161241710186005,0.4542345404624939,0.20092657208442688,0.49632513523101807,0.5497692227363586,0.2457335889339447,0.2767370045185089
secret,0.2518046498298645,0.12382116913795471,0.17003418505191803,0.2777616083621979,0.17441964149475098,0.1829473227262497,0.20223848521709442,0.12148908525705338,0.23541073501110077,0.19506138563156128,0.2685735523700714,0.20960891246795654,0.2632026970386505,0.17003418505191803,0.23541073501110077,0.20931948721408844,0.16440534591674805
ballot,0.14773842692375183,0.062339428812265396,0.21522194147109985,1.0000001192092896,0.1836814135313034,0.17925798892974854,0.2527129054069519,0.4306350350379944,0.26649942994117737,0.3729672133922577,0.1607280671596527,0.1520349234342575,0.4210745096206665,0.21522194147109985,0.26649942994117737,0.4248781204223633,0.19360579550266266
conducted,0.13546347618103027,0.06559056788682938,0.22415050864219666,0.26914021372795105,0.1637566238641739,0.2228350043296814,0.2032870501279831,0.14707255363464355,0.25795331597328186,0.21263079345226288,0.24762161076068878,0.2071675807237625,0.27844879031181335,0.22415050864219666,0.25795331597328186,0.1511853188276291,0.1105341762304306
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2662581205368042,0.5394441485404968,0.3090210556983948,0.45010748505592346,0.145929753780365,0.6662389636039734,0.21499644219875336,0.24015754461288452,0.4954058527946472,0.20875443518161774,0.5696388483047485,0.6662389636039734,0.2323146015405655,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26649942994117737,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2026924341917038,1.0,0.3267684876918793,0.25777485966682434,0.5171257257461548,0.2915080487728119,0.733189046382904,1.0,0.26521381735801697,0.22068053483963013
scottish,0.13777151703834534,0.0705372765660286,0.1698460429906845,0.19870731234550476,0.16398480534553528,0.16287745535373688,0.1268421709537506,0.18801458179950714,0.21724988520145416,0.2087658792734146,0.13719971477985382,0.2972351908683777,0.19669854640960693,0.1698460429906845,0.21724988520145416,0.3418616056442261,0.06442669779062271
parliament,0.21650300920009613,0.07740602642297745,0.2885259687900543,0.4248781204223633,0.19676777720451355,0.16101059317588806,0.20290622115135193,0.48661381006240845,0.26521381735801697,0.3959604501724243,0.2183782458305359,0.26227831840515137,0.49610963463783264,0.2885259687900543,0.26521381735801697,1.0,0.1586504578590393
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19735826551914215,0.4569662809371948,0.33111312985420227,0.4645031690597534,0.2286449521780014,0.5934505462646484,0.2744200527667999,0.20371799170970917,0.588965117931366,0.18889060616493225,0.5352458953857422,0.5934505462646484,0.23747818171977997,0.4130953550338745
