,why,is,the,seating,of,the,debating,chamber,arranged,as,it,is,?
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.23477737605571747,0.4946078956127167,0.4933079481124878,0.2937410771846771,0.211589053273201,0.2789522111415863,0.48816442489624023,0.48329564929008484,0.4691906273365021,0.31091248989105225
which,0.4444611668586731,0.4457404911518097,0.6521818041801453,0.3435834050178528,0.5011631846427917,0.6521818041801453,0.3441082835197449,0.26306310296058655,0.2944372296333313,0.41006597876548767,0.616637647151947,0.4457404911518097,0.25814583897590637
reflects,0.18023067712783813,0.2728630006313324,0.31027597188949585,0.20001232624053955,0.29528287053108215,0.31027597188949585,0.26217740774154663,0.04405319318175316,0.16397148370742798,0.22190126776695251,0.22294265031814575,0.2728630006313324,0.13998140394687653
the,0.30742117762565613,0.5823672413825989,1.0,0.31310132145881653,0.733189046382904,1.0,0.36207282543182373,0.2594704031944275,0.26620063185691833,0.48381632566452026,0.6251175999641418,0.5823672413825989,0.22068053483963013
desire,0.27672553062438965,0.16483400762081146,0.21467123925685883,0.111949123442173,0.15082654356956482,0.21467123925685883,0.23741424083709717,0.04136627912521362,0.141193225979805,0.20977863669395447,0.24421128630638123,0.16483400762081146,0.2773160934448242
to,0.4100138247013092,0.42745086550712585,0.535392165184021,0.2198963463306427,0.41548454761505127,0.535392165184021,0.3043137490749359,0.1609310358762741,0.2805038392543793,0.42092081904411316,0.513711154460907,0.42745086550712585,0.29463258385658264
encourage,0.3857499361038208,0.1942775994539261,0.25321751832962036,0.11332547664642334,0.2560228705406189,0.25321751832962036,0.3387649357318878,0.11675715446472168,0.24654152989387512,0.28108420968055725,0.2397700697183609,0.1942775994539261,0.3081754148006439
consensus,0.35871490836143494,0.21528127789497375,0.2295674830675125,0.2570400536060333,0.14788506925106049,0.2295674830675125,0.3642028570175171,0.1570330113172531,0.08118665218353271,0.2275918871164322,0.32086020708084106,0.21528127789497375,0.3630031645298004
amongst,0.2713525593280792,0.21106897294521332,0.30752041935920715,0.1459527611732483,0.29788947105407715,0.30752041935920715,0.3561585545539856,0.08283919095993042,0.1178707480430603,0.30067119002342224,0.2498919516801834,0.21106897294521332,0.16806721687316895
elected,0.16997160017490387,0.1221529170870781,0.23167964816093445,0.2497318983078003,0.2767166793346405,0.23167964816093445,0.2982925772666931,0.13549230992794037,0.17587433755397797,0.22274595499038696,0.16520561277866364,0.1221529170870781,0.1966295689344406
members,0.15032964944839478,0.1897467076778412,0.3321719169616699,0.2328275442123413,0.28120753169059753,0.3321719169616699,0.29302701354026794,0.24257364869117737,0.20497629046440125,0.21428564190864563,0.13934354484081268,0.1897467076778412,0.10212311148643494
.,0.32909876108169556,0.4569662809371948,0.5934505462646484,0.2901645004749298,0.5352458953857422,0.5934505462646484,0.33765700459480286,0.1907585710287094,0.22968827188014984,0.515582263469696,0.5593622326850891,0.4569662809371948,0.4130953550338745
