,the,us,expansion,westward,could,be,viewed,as,what,type,of,colonialism,?
``,0.029072100296616554,0.01951291412115097,0.01721867360174656,0.05974208563566208,0.07445607334375381,0.07670000940561295,-0.08494077622890472,0.03910288214683533,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.14298583567142487,0.0685480609536171
internal,0.24764955043792725,0.1184656023979187,0.2443162053823471,0.09186245501041412,0.24967215955257416,0.1929619163274765,0.142952099442482,0.18446122109889984,0.2065390944480896,0.1597461998462677,0.273920476436615,0.15955595672130585,0.1665428727865219
colonialism,0.25141018629074097,0.17025905847549438,0.3054408133029938,0.29569005966186523,0.17946594953536987,0.15940050780773163,0.15963399410247803,0.18886442482471466,0.27914220094680786,0.09714293479919434,0.2704770565032959,0.9999999403953552,0.1519109606742859
'',0.041273195296525955,-0.05206549912691116,0.03467460349202156,-0.057564932852983475,-0.0027024701703339815,0.08835477381944656,0.09397447109222412,0.006628023460507393,0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.051073215901851654,0.018684765323996544
.,0.5934505462646484,0.3162994682788849,0.18406090140342712,0.15450897812843323,0.3200591504573822,0.4383580684661865,0.27454590797424316,0.515582263469696,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22091162204742432,0.4130953550338745
,the,us,expansion,westward,could,be,viewed,as,what,type,of,colonialism,?
this,0.6274310946464539,0.28853827714920044,0.3631855249404907,0.2483050376176834,0.4042564332485199,0.566177248954773,0.3171018064022064,0.43993282318115234,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.2600826621055603,0.3155723512172699
internal,0.24764955043792725,0.1184656023979187,0.2443162053823471,0.09186245501041412,0.24967215955257416,0.1929619163274765,0.142952099442482,0.18446122109889984,0.2065390944480896,0.1597461998462677,0.273920476436615,0.15955595672130585,0.1665428727865219
form,0.29286009073257446,0.09787824004888535,0.11297927796840668,0.13920597732067108,0.19663512706756592,0.3391776382923126,0.11749973148107529,0.24710296094417572,0.15868011116981506,0.3017115294933319,0.29600051045417786,0.25731948018074036,0.1463010311126709
is,0.5823672413825989,0.1808239072561264,0.16577079892158508,0.15360386669635773,0.2763098180294037,0.4819129705429077,0.24106821417808533,0.43216490745544434,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.15186980366706848,0.22961433231830597
distinct,0.28305986523628235,0.137210413813591,0.19835355877876282,0.16632607579231262,0.17584048211574554,0.25680893659591675,0.22069883346557617,0.2622053325176239,0.2610252797603607,0.27235859632492065,0.3053031265735626,0.2800254821777344,0.09523114562034607
from,0.40150508284568787,0.24183706939220428,0.1329236477613449,0.22624392807483673,0.25045305490493774,0.3107333183288574,0.17095397412776947,0.3251767158508301,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.21451672911643982,0.19969791173934937
informal,0.24695700407028198,0.1879715770483017,0.1594095677137375,0.061875805258750916,0.2352592796087265,0.2722707986831665,0.1833101361989975,0.244568333029747,0.31096258759498596,0.11011379957199097,0.2598820626735687,0.20500923693180084,0.17082542181015015
u.s.,0.06592652946710587,0.03950560837984085,0.02085108496248722,0.031679749488830566,0.09990692138671875,-0.030090177431702614,-0.1129077672958374,0.015271120704710484,0.11178889125585556,-0.01808912865817547,0.011562774889171124,-0.019127653911709785,0.07886100560426712
imperialism,0.2716025412082672,0.22032935917377472,0.25386905670166016,0.24142877757549286,0.23286715149879456,0.15657790005207062,0.1549115926027298,0.2192956656217575,0.24614648520946503,0.08838813751935959,0.29240643978118896,0.6857813596725464,0.14998586475849152
in,0.6662389636039734,0.19746538996696472,0.20021484792232513,0.22472791373729706,0.29357993602752686,0.3481820821762085,0.194101944565773,0.3887844979763031,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20611877739429474,0.20430970191955566
the,1.0,0.25727739930152893,0.31353142857551575,0.30838510394096375,0.35393214225769043,0.4248143136501312,0.34172287583351135,0.48381632566452026,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25141018629074097,0.22068053483963013
form,0.29286009073257446,0.09787824004888535,0.11297927796840668,0.13920597732067108,0.19663512706756592,0.3391776382923126,0.11749973148107529,0.24710296094417572,0.15868011116981506,0.3017115294933319,0.29600051045417786,0.25731948018074036,0.1463010311126709
of,0.733189046382904,0.23568789660930634,0.24185356497764587,0.19336579740047455,0.29043012857437134,0.33904364705085754,0.27454227209091187,0.3886612355709076,0.33290785551071167,0.18112817406654358,1.0,0.2704770565032959,0.1826142966747284
political,0.20477235317230225,0.11910118162631989,0.09125090390443802,0.15099883079528809,0.21473468840122223,0.19028756022453308,0.25231942534446716,0.21393902599811554,0.21846716105937958,0.03672046214342117,0.27319738268852234,0.44026440382003784,0.17130474746227264
and,0.5171257257461548,0.25715014338493347,0.1901247650384903,0.26461896300315857,0.3385082483291626,0.41766801476478577,0.19539690017700195,0.49487000703811646,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.22906047105789185,0.20544172823429108
financial,0.29952070116996765,0.16693149507045746,0.21908904612064362,0.19145570695400238,0.22257086634635925,0.180576354265213,0.18103355169296265,0.23751989006996155,0.1900392472743988,0.07538604736328125,0.30178552865982056,0.25339406728744507,0.06444920599460602
hegemony,0.28510650992393494,0.09925831109285355,0.26798585057258606,0.22271399199962616,0.12866517901420593,0.19660872220993042,0.2340070754289627,0.19274841248989105,0.21539433300495148,0.13502953946590424,0.3258678615093231,0.44715169072151184,0.14706483483314514
.,0.5934505462646484,0.3162994682788849,0.18406090140342712,0.15450897812843323,0.3200591504573822,0.4383580684661865,0.27454590797424316,0.515582263469696,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22091162204742432,0.4130953550338745
