,how,quickly,is,the,sea,level,rising,?
in,0.2601168751716614,0.24151866137981415,0.5394441485404968,0.6662389636039734,0.2302369773387909,0.279204785823822,0.26222285628318787,0.20430970191955566
),0.17939934134483337,0.15096169710159302,0.37732169032096863,0.3456730246543884,0.18647637963294983,0.2288828194141388,0.2032996267080307,0.42300865054130554
per,0.2243444174528122,0.26660478115081787,0.22395510971546173,0.21691934764385223,0.12559114396572113,0.22996217012405396,0.15833719074726105,0.22323818504810333
century,0.1569085419178009,0.1708499640226364,0.20648397505283356,0.3617299497127533,0.18341034650802612,0.11468853801488876,0.17411187291145325,0.1026201918721199
(,0.1676948219537735,0.12079992145299911,0.35393038392066956,0.33289089798927307,0.19181853532791138,0.2298942357301712,0.171818345785141,0.40561532974243164
1,-0.28593507409095764,-0.15602509677410126,-0.12491171807050705,-0.1554475575685501,0.0889367014169693,-0.008101455867290497,0.03545753285288811,-0.249979168176651
metre,0.20928704738616943,0.18372298777103424,0.23360438644886017,0.2578008472919464,0.19594530761241913,0.2077607959508896,0.1617310345172882,0.11374903470277786
or,0.3378981947898865,0.2598191797733307,0.41870999336242676,0.4174870550632477,0.18372580409049988,0.3087853193283081,0.19845296442508698,0.32389625906944275
39,0.07569380104541779,0.13257920742034912,0.017304329201579094,0.12403792142868042,0.01983891986310482,0.014538473449647427,0.1025710180401802,0.04514012485742569
inches,0.24122700095176697,0.22197604179382324,0.23922942578792572,0.23460479080677032,0.22762370109558105,0.21325674653053284,0.18668133020401,0.17945347726345062
in,0.2601168751716614,0.24151866137981415,0.5394441485404968,0.6662389636039734,0.2302369773387909,0.279204785823822,0.26222285628318787,0.20430970191955566
last,0.24577783048152924,0.20136450231075287,0.2445172220468521,0.3698786795139313,0.17452025413513184,0.11636733263731003,0.1545109897851944,0.22371746599674225
3000,-0.009733470156788826,-0.05333352088928223,-0.003740041982382536,0.06269479542970657,-0.11988557875156403,-0.10201922059059143,0.04536726698279381,-0.014650711789727211
years,0.21949264407157898,0.20920312404632568,0.19551363587379456,0.2912273406982422,0.14155210554599762,0.1529536247253418,0.1631373167037964,0.1914375126361847
),0.17939934134483337,0.15096169710159302,0.37732169032096863,0.3456730246543884,0.18647637963294983,0.2288828194141388,0.2032996267080307,0.42300865054130554
.,0.3287222981452942,0.3002576529979706,0.4569662809371948,0.5934505462646484,0.2680719196796417,0.26056769490242004,0.24651499092578888,0.4130953550338745
