,who,came,up,with,the,theory,of,relativity,?
to,0.42656609416007996,0.3111628592014313,0.40375280380249023,0.4239959120750427,0.535392165184021,0.21947365999221802,0.41548454761505127,0.2645837664604187,0.29463258385658264
the,0.3733934462070465,0.39390382170677185,0.38423117995262146,0.4223487675189972,1.0,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
problem,0.22970008850097656,0.17565838992595673,0.26128342747688293,0.2717578709125519,0.24928659200668335,0.32978713512420654,0.20464475452899933,0.34640058875083923,0.3762950301170349
of,0.2827862501144409,0.3201526999473572,0.32945773005485535,0.41827285289764404,0.733189046382904,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
mercury,0.14388059079647064,0.06644619256258011,0.15999005734920502,0.23742523789405823,0.2059478461742401,0.18622171878814697,0.19711527228355408,0.2489081770181656,0.10977116972208023
's,0.05599616840481758,0.03627123311161995,-0.08862818777561188,-0.04624466598033905,-0.01540423184633255,-0.0025054612196981907,-0.03817026689648628,-0.053421780467033386,-0.023395681753754616
orbit,0.12035219371318817,0.12595711648464203,0.19035765528678894,0.15879200398921967,0.1565481424331665,0.2494249790906906,0.13123251497745514,0.3766542673110962,0.16621392965316772
and,0.41279885172843933,0.3049735128879547,0.4032393991947174,0.5477725267410278,0.5171257257461548,0.1765792816877365,0.5116966962814331,0.21083030104637146,0.20544172823429108
found,0.17055200040340424,0.25895190238952637,0.22119106352329254,0.2364431470632553,0.3452354073524475,0.14530161023139954,0.2982911467552185,0.1279045194387436,0.16790300607681274
that,0.45444270968437195,0.31804272532463074,0.35427621006965637,0.4154358208179474,0.5473989248275757,0.36183905601501465,0.41498205065727234,0.3373055160045624,0.32716336846351624
his,0.44966956973075867,0.3519517481327057,0.2538001239299774,0.33836179971694946,0.4394008219242096,0.2209872305393219,0.38364991545677185,0.29340729117393494,0.18075084686279297
theory,0.19210977852344513,0.20007456839084625,0.16310304403305054,0.21627245843410492,0.2277156263589859,0.9999999403953552,0.23506702482700348,0.5565682053565979,0.1387292891740799
added,0.10734523087739944,0.20002977550029755,0.26305773854255676,0.3135547637939453,0.3207796514034271,0.1107221320271492,0.2879071831703186,0.19702328741550446,0.2865637540817261
a,0.36608949303627014,0.2477586567401886,0.32523053884506226,0.3783375024795532,0.5829201340675354,0.2233850657939911,0.5052502155303955,0.21220099925994873,0.23916715383529663
correction,0.11305653303861618,0.081995889544487,0.22001990675926208,0.1900615692138672,0.2750626504421234,0.3430864214897156,0.2237834632396698,0.3736448585987091,0.2516542971134186
",",0.3365725874900818,0.3049119710922241,0.34193792939186096,0.4120737314224243,0.4933079481124878,0.18095813691616058,0.4946078956127167,0.22233259677886963,0.31091248989105225
which,0.3688730001449585,0.23567067086696625,0.36388060450553894,0.46403205394744873,0.6521818041801453,0.3127335011959076,0.5011631846427917,0.323112428188324,0.25814583897590637
could,0.33540013432502747,0.3571321964263916,0.28288018703460693,0.32055896520614624,0.35393214225769043,0.2552470564842224,0.29043012857437134,0.20350199937820435,0.3411986827850342
account,0.32250672578811646,0.1829194575548172,0.24431586265563965,0.17385509610176086,0.21117976307868958,0.2591670751571655,0.19751501083374023,0.2431393265724182,0.34417325258255005
for,0.37110671401023865,0.2774851322174072,0.342966228723526,0.39140474796295166,0.4739971458911896,0.20500218868255615,0.4185989499092102,0.1981007605791092,0.264628142118454
the,0.3733934462070465,0.39390382170677185,0.38423117995262146,0.4223487675189972,1.0,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
discrepancy,0.21203801035881042,0.08922825753688812,0.14324039220809937,0.1963694542646408,0.24351932108402252,0.4063078761100769,0.235037699341774,0.42093947529792786,0.2749764025211334
.,0.3541337847709656,0.26265060901641846,0.351434588432312,0.4446153938770294,0.5934505462646484,0.18047811090946198,0.5352458953857422,0.19048427045345306,0.4130953550338745
