,what,is,economic,liberalism,one,of,the,causes,of,?
reduction,0.19884426891803741,0.2509012222290039,0.41229555010795593,0.2193579375743866,0.16758866608142853,0.2803387939929962,0.27052462100982666,0.27763718366622925,0.2803387939929962,0.1612403839826584
of,0.33290785551071167,0.4854315221309662,0.3030148148536682,0.24032530188560486,0.4999135136604309,1.0,0.733189046382904,0.2544642984867096,1.0,0.1826142966747284
business,0.21758167445659637,0.19332653284072876,0.37167811393737793,0.26018473505973816,0.20686013996601105,0.23985227942466736,0.2389037162065506,0.13783913850784302,0.23985227942466736,0.1545659303665161
regulation,0.24804432690143585,0.21940994262695312,0.33415156602859497,0.21274179220199585,0.2367396503686905,0.2660454213619232,0.33589670062065125,0.23222716152668,0.2660454213619232,0.1690916270017624
along,0.22421957552433014,0.23571021854877472,0.13813336193561554,0.12854810059070587,0.3453238010406494,0.34889817237854004,0.39495137333869934,0.18716730177402496,0.34889817237854004,0.17134909331798553
with,0.2464839518070221,0.3250955045223236,0.21086382865905762,0.21027502417564392,0.3855307400226593,0.41827285289764404,0.4223487675189972,0.1879570037126541,0.41827285289764404,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,0.282455176115036,0.20402196049690247,0.5514441132545471,0.733189046382904,1.0,0.2518732249736786,0.733189046382904,0.22068053483963013
decline,0.2257683128118515,0.12723320722579956,0.388024240732193,0.25513020157814026,0.1699405312538147,0.20493058860301971,0.2774365544319153,0.2093452513217926,0.20493058860301971,0.131937175989151
of,0.33290785551071167,0.4854315221309662,0.3030148148536682,0.24032530188560486,0.4999135136604309,1.0,0.733189046382904,0.2544642984867096,1.0,0.1826142966747284
union,0.1396910548210144,0.16997112333774567,0.2600894272327423,0.25356942415237427,0.20057347416877747,0.2642118036746979,0.24421639740467072,0.1015833169221878,0.2642118036746979,0.07797172665596008
membership,0.2070973664522171,0.1935994029045105,0.31286516785621643,0.3408578038215637,0.2794713079929352,0.26808464527130127,0.2937599718570709,0.12955036759376526,0.26808464527130127,0.15225854516029358
as,0.31749409437179565,0.43216490745544434,0.21993175148963928,0.22236546874046326,0.3954789340496063,0.3886612355709076,0.48381632566452026,0.17395921051502228,0.3886612355709076,0.27043893933296204
one,0.376489520072937,0.4544198513031006,0.17755547165870667,0.19719137251377106,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.24998587369918823,0.4999135136604309,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.3030148148536682,0.24032530188560486,0.4999135136604309,1.0,0.733189046382904,0.2544642984867096,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.282455176115036,0.20402196049690247,0.5514441132545471,0.733189046382904,1.0,0.2518732249736786,0.733189046382904,0.22068053483963013
causes,0.1426164209842682,0.3009743392467499,0.20273149013519287,0.1685817688703537,0.24998587369918823,0.2544642984867096,0.2518732249736786,0.9999998807907104,0.2544642984867096,0.19991323351860046
of,0.33290785551071167,0.4854315221309662,0.3030148148536682,0.24032530188560486,0.4999135136604309,1.0,0.733189046382904,0.2544642984867096,1.0,0.1826142966747284
economic,0.18082544207572937,0.21102669835090637,0.9999999403953552,0.42595309019088745,0.17755547165870667,0.3030148148536682,0.282455176115036,0.20273149013519287,0.3030148148536682,0.1206481084227562
inequality,0.30072227120399475,0.1953488290309906,0.4401332437992096,0.5525205731391907,0.27946776151657104,0.27910974621772766,0.23508106172084808,0.21419426798820496,0.27910974621772766,0.23619021475315094
.,0.3567904531955719,0.4569662809371948,0.22435031831264496,0.20640337467193604,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.26090872287750244,0.5352458953857422,0.4130953550338745
