,which,is,one,of,the,park,features,located,in,north,fresno,?
and,0.506277859210968,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.21340665221214294,0.3483351171016693,0.24183952808380127,0.4954058527946472,0.2776443064212799,0.21513071656227112,0.20544172823429108
several,0.4863804280757904,0.20361857116222382,0.42709240317344666,0.3271615505218506,0.40559855103492737,0.13409315049648285,0.3334111273288727,0.17008884251117706,0.39405709505081177,0.15797396004199982,0.18835346400737762,0.15595775842666626
miles,0.23843176662921906,0.22951029241085052,0.23608310520648956,0.2263605147600174,0.25706055760383606,0.22666506469249725,0.1446169763803482,0.3896450102329254,0.22700901329517365,0.34716692566871643,0.164978489279747,0.09363767504692078
of,0.5011631846427917,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.24561640620231628,0.2464914619922638,0.32520920038223267,0.5696388483047485,0.3604778051376343,0.1875009983778,0.1826142966747284
trails,0.269779235124588,0.18645219504833221,0.23548898100852966,0.19589990377426147,0.24708525836467743,0.42297014594078064,0.2823115587234497,0.22973720729351044,0.18142108619213104,0.20563121140003204,0.20823119580745697,0.14906084537506104
",",0.3658004403114319,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.22495080530643463,0.2743610739707947,0.2678719460964203,0.5201468467712402,0.31834840774536133,0.2561432421207428,0.31091248989105225
is,0.4457404911518097,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.2076987773180008,0.28435954451560974,0.35717159509658813,0.5394441485404968,0.2993389368057251,0.2127077877521515,0.22961433231830597
in,0.4840516746044159,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.22758090496063232,0.24970319867134094,0.35149815678596497,1.0,0.39050599932670593,0.26126348972320557,0.20430970191955566
north,0.2384447455406189,0.2993389368057251,0.2486860305070877,0.3604778051376343,0.36298373341560364,0.31304728984832764,0.163268581032753,0.3751964271068573,0.39050599932670593,1.0,0.2349468171596527,0.11829731613397598
fresno,0.14756552875041962,0.2127077877521515,0.1632690131664276,0.1875009983778,0.22571885585784912,0.2707971930503845,0.17593131959438324,0.2243264764547348,0.26126348972320557,0.2349468171596527,1.0000001192092896,0.13224096596240997
and,0.506277859210968,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.21340665221214294,0.3483351171016693,0.24183952808380127,0.4954058527946472,0.2776443064212799,0.21513071656227112,0.20544172823429108
is,0.4457404911518097,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.2076987773180008,0.28435954451560974,0.35717159509658813,0.5394441485404968,0.2993389368057251,0.2127077877521515,0.22961433231830597
adjacent,0.3638322949409485,0.24897289276123047,0.33216559886932373,0.3417501151561737,0.3491702079772949,0.24121837317943573,0.26009127497673035,0.4413152039051056,0.27606403827667236,0.30034324526786804,0.18277698755264282,0.10849558562040329
to,0.5345056653022766,0.42745086550712585,0.4025384783744812,0.41548454761505127,0.535392165184021,0.14257338643074036,0.2523941099643707,0.20850814878940582,0.45010748505592346,0.2743184268474579,0.22500741481781006,0.29463258385658264
the,0.6521818041801453,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.24748283624649048,0.29863014817237854,0.407527357339859,0.6662389636039734,0.36298373341560364,0.22571885585784912,0.22068053483963013
san,0.190042182803154,0.1594623327255249,0.2074461579322815,0.25237205624580383,0.2858080565929413,0.2602390944957733,0.13004790246486664,0.19361372292041779,0.2617562413215637,0.27082112431526184,0.4697914123535156,0.10952327400445938
joaquin,0.19910109043121338,0.2345224916934967,0.17521396279335022,0.21863585710525513,0.23419608175754547,0.20150180160999298,0.1358804851770401,0.16880428791046143,0.18787002563476562,0.20773807168006897,0.36139971017837524,0.10146427899599075
river,0.25416892766952515,0.20670881867408752,0.18896453082561493,0.19903257489204407,0.2894456386566162,0.29018110036849976,0.11203038692474365,0.29117700457572937,0.2149806171655655,0.3617013692855835,0.16414673626422882,0.15390869975090027
parkway,0.1732339709997177,0.14795438945293427,0.13190503418445587,0.18995316326618195,0.21162426471710205,0.5503975749015808,0.1936522126197815,0.41479942202568054,0.20257101953029633,0.41750434041023254,0.33804184198379517,0.09138009697198868
.,0.45942068099975586,0.4569662809371948,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.22825266420841217,0.23473742604255676,0.28226932883262634,0.5591574311256409,0.3171539604663849,0.2480216920375824,0.4130953550338745
