,what,type,of,number,theory,utilizes,and,studies,prime,ideals,?
of,0.33290785551071167,0.18112817406654358,1.0,0.2778518795967102,0.23506702482700348,0.24854432046413422,0.5116966962814331,0.26975658535957336,0.23935265839099884,0.3695777654647827,0.1826142966747284
study,0.3123835027217865,0.16852396726608276,0.29377859830856323,0.19786886870861053,0.44104549288749695,0.17951422929763794,0.300253301858902,0.7347439527511597,0.12386365979909897,0.300683856010437,0.15902167558670044
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.3024539053440094,0.16955126821994781,0.18042942881584167,0.4954058527946472,0.30442532896995544,0.18097394704818726,0.2416277676820755,0.20430970191955566
commutative,0.2717517614364624,0.2595621645450592,0.25614190101623535,0.38270196318626404,0.3431161940097809,0.3262738883495331,0.1629025787115097,0.19754157960414886,0.24575275182724,0.27032381296157837,0.18864132463932037
algebra,0.21067312359809875,0.18488411605358124,0.2065851092338562,0.26328590512275696,0.4399760663509369,0.3144979178905487,0.17615826427936554,0.25898486375808716,0.17340070009231567,0.3018762469291687,0.2129010409116745
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2535701394081116,0.18095813691616058,0.19048044085502625,0.6633074283599854,0.26373082399368286,0.2565026581287384,0.19077056646347046,0.31091248989105225
algebraic,0.20285184681415558,0.20156000554561615,0.26053673028945923,0.30636078119277954,0.46866774559020996,0.30482229590415955,0.1910734623670578,0.26395508646965027,0.19524182379245758,0.3017883598804474,0.2315273880958557
number,0.23046229779720306,0.2370503842830658,0.2778518795967102,1.0,0.24102473258972168,0.1410015970468521,0.28545793890953064,0.12054302543401718,0.2556258738040924,0.2073623090982437,0.19256845116615295
theory,0.297923743724823,0.22037149965763092,0.23506702482700348,0.24102473258972168,0.9999999403953552,0.26280421018600464,0.1765792816877365,0.38342365622520447,0.15658484399318695,0.3738692104816437,0.1387292891740799
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28545793890953064,0.1765792816877365,0.2557903230190277,1.0,0.30504533648490906,0.21528048813343048,0.3143816590309143,0.20544172823429108
algebraic,0.20285184681415558,0.20156000554561615,0.26053673028945923,0.30636078119277954,0.46866774559020996,0.30482229590415955,0.1910734623670578,0.26395508646965027,0.19524182379245758,0.3017883598804474,0.2315273880958557
geometry,0.25101879239082336,0.15771985054016113,0.25824105739593506,0.23980921506881714,0.4407152235507965,0.24762293696403503,0.19657127559185028,0.2953675389289856,0.2223961055278778,0.3216474950313568,0.15790875256061554
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.3256329298019409,0.18047811090946198,0.19132035970687866,0.588965117931366,0.22173671424388885,0.17658381164073944,0.19083291292190552,0.4130953550338745
