,for,most,organisms,",",what,is,the,dominant,system,of,defense,?
defense,0.2780293822288513,0.18461458384990692,0.20403555035591125,0.21538467705249786,0.193815678358078,0.17166511714458466,0.2604767382144928,0.14871741831302643,0.15304578840732574,0.27720823884010315,1.0,0.21935760974884033
in,0.4322226941585541,0.41416558623313904,0.21345661580562592,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.26107057929039,0.21978288888931274,0.5696388483047485,0.20235490798950195,0.20430970191955566
most,0.3906237483024597,1.0,0.2556702792644501,0.3636029064655304,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.35191428661346436,0.1998981088399887,0.4178851246833801,0.18461458384990692,0.2107497900724411
organisms,0.21865904331207275,0.2556702792644501,1.0,0.20150232315063477,0.22214920818805695,0.1773757040500641,0.22463196516036987,0.3021993339061737,0.2424149215221405,0.23870134353637695,0.20403555035591125,0.22621455788612366
.,0.4726039469242096,0.35404038429260254,0.2715383470058441,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20357714593410492,0.2277725487947464,0.5352458953857422,0.26610422134399414,0.4130953550338745
,for,most,organisms,",",what,is,the,dominant,system,of,defense,?
this,0.5082864165306091,0.43080902099609375,0.30142903327941895,0.4316047728061676,0.5489566326141357,0.480927973985672,0.6274310946464539,0.3075808584690094,0.3294329345226288,0.45148900151252747,0.2316983938217163,0.3155723512172699
system,0.2630598843097687,0.1998981088399887,0.2424149215221405,0.18439900875091553,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.199202761054039,1.0000001192092896,0.25597915053367615,0.15304578840732574,0.15556083619594574
does,0.35159170627593994,0.30044323205947876,0.23000341653823853,0.28617382049560547,0.38564667105674744,0.4403602182865143,0.35928019881248474,0.2037632018327713,0.2021704614162445,0.3119818866252899,0.17809149622917175,0.338003009557724
not,0.39280617237091064,0.419027179479599,0.30211594700813293,0.3769696354866028,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.2527817189693451,0.25763750076293945,0.3307090103626251,0.20943370461463928,0.41942933201789856
confer,0.1883402317762375,0.1701001077890396,0.09602843970060349,0.2159266322851181,0.12649056315422058,0.12260358035564423,0.20168626308441162,0.10119080543518066,0.12262648344039917,0.18479906022548676,0.13015346229076385,0.1324034333229065
long-lasting,0.38186419010162354,0.31939730048179626,0.34930741786956787,0.31174910068511963,0.27793970704078674,0.32004109025001526,0.3798314929008484,0.30775707960128784,0.19458742439746857,0.3786802291870117,0.2603044807910919,0.2250737100839615
immunity,0.19869372248649597,0.1620960384607315,0.2951214015483856,0.21605436503887177,0.21864116191864014,0.15477107465267181,0.25992491841316223,0.1945134401321411,0.31006526947021484,0.17778201401233673,0.2824859023094177,0.16423189640045166
against,0.3262052536010742,0.21446017920970917,0.1332431137561798,0.31168749928474426,0.24561616778373718,0.1754940152168274,0.3090755045413971,0.20041221380233765,0.1443454623222351,0.2669808566570282,0.38783565163612366,0.18095137178897858
a,0.44038116931915283,0.3508910834789276,0.1930171549320221,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.252237468957901,0.2589043080806732,0.5052502155303955,0.21441413462162018,0.23916715383529663
pathogen,0.18619482219219208,0.22663317620754242,0.5952157974243164,0.16548964381217957,0.2550991475582123,0.1968173384666443,0.21664372086524963,0.17565524578094482,0.2914358079433441,0.22046351432800293,0.25388103723526,0.1893778294324875
.,0.4726039469242096,0.35404038429260254,0.2715383470058441,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20357714593410492,0.2277725487947464,0.5352458953857422,0.26610422134399414,0.4130953550338745
