,on,december,22nd,2009,",",abc,reached,an,agreement,with,apple,to,make,abc,shows,available,on,what,service,?
with,0.40749499201774597,0.14869219064712524,0.1675855964422226,-0.24345144629478455,0.4120737314224243,0.17432008683681488,0.20852181315422058,0.2730048894882202,0.29106786847114563,0.9999999403953552,0.2466953992843628,0.4239959120750427,0.39503780007362366,0.17432008683681488,0.3140493929386139,0.23752564191818237,0.40749499201774597,0.2464839518070221,0.20442402362823486,0.2433311939239502
apple,0.2831275165081024,0.15027685463428497,0.0837736576795578,-0.09493780881166458,0.2593806982040405,0.24946165084838867,0.11562354117631912,0.14275091886520386,0.2280472218990326,0.2466953992843628,0.9999999403953552,0.23797255754470825,0.22271667420864105,0.24946165084838867,0.1889350265264511,0.26285967230796814,0.2831275165081024,0.23393958806991577,0.2074880450963974,0.21977189183235168
inc.,0.27102574706077576,0.211181178689003,0.10318033397197723,-0.2695688307285309,0.3023558259010315,0.1840439736843109,0.15690293908119202,0.22210384905338287,0.23101060092449188,0.2833172380924225,0.26274922490119934,0.2632971704006195,0.263396292924881,0.1840439736843109,0.12053561955690384,0.27668777108192444,0.27102574706077576,0.2657894194126129,0.18426893651485443,0.2727344036102295
to,0.41031414270401,0.21181435883045197,0.19472511112689972,-0.3018359839916229,0.44245919585227966,0.1762417107820511,0.20677556097507477,0.3138085603713989,0.2757699489593506,0.4239959120750427,0.23797255754470825,1.0,0.497876912355423,0.1762417107820511,0.23382455110549927,0.2394571453332901,0.41031414270401,0.455847829580307,0.24411341547966003,0.29463258385658264
make,0.27031177282333374,0.11926556378602982,0.23809771239757538,-0.22663302719593048,0.324553906917572,0.13722899556159973,0.1351478546857834,0.17815372347831726,0.18743178248405457,0.39503780007362366,0.22271667420864105,0.497876912355423,1.0000001192092896,0.13722899556159973,0.2659345865249634,0.2460227906703949,0.27031177282333374,0.3792211413383484,0.16250090301036835,0.28314751386642456
individual,0.2442283034324646,0.1054137721657753,0.09972547739744186,-0.20085227489471436,0.20963770151138306,0.12269701808691025,0.14714348316192627,0.2758936285972595,0.13159649074077606,0.30067092180252075,0.1477714329957962,0.3278317153453827,0.29596713185310364,0.12269701808691025,0.25676044821739197,0.28554925322532654,0.2442283034324646,0.34021541476249695,0.17933715879917145,0.2058374285697937
episodes,0.25720518827438354,0.19106987118721008,0.14474153518676758,0.010323907248675823,0.2131132036447525,0.4064764380455017,0.13406555354595184,0.13370193541049957,0.13569413125514984,0.24692673981189728,0.21600189805030823,0.21516069769859314,0.17918340861797333,0.4064764380455017,0.3452025353908539,0.23154427111148834,0.25720518827438354,0.15438014268875122,0.14432673156261444,0.21740183234214783
of,0.3966929316520691,0.1503814309835434,0.17422465980052948,-0.2637706398963928,0.4946078956127167,0.14607268571853638,0.18604008853435516,0.32280945777893066,0.21259461343288422,0.41827285289764404,0.1750539094209671,0.41548454761505127,0.2912110388278961,0.14607268571853638,0.3410852253437042,0.2416580766439438,0.3966929316520691,0.33290785551071167,0.18425606191158295,0.1826142966747284
abc,0.2862928807735443,0.16602325439453125,0.033897221088409424,-0.07355155050754547,0.2097204476594925,1.0000001192092896,0.14975564181804657,0.16561369597911835,0.16430042684078217,0.17432008683681488,0.24946165084838867,0.1762417107820511,0.13722899556159973,1.0000001192092896,0.3304527997970581,0.17715942859649658,0.2862928807735443,0.1317344456911087,0.22076331079006195,0.19065172970294952
and,0.4077630043029785,0.22940969467163086,0.24763229489326477,-0.22857710719108582,0.6633074283599854,0.16453155875205994,0.19567863643169403,0.2838519215583801,0.22375741600990295,0.5477725267410278,0.22163690626621246,0.48971283435821533,0.4160483181476593,0.16453155875205994,0.34104886651039124,0.24201975762844086,0.4077630043029785,0.31309178471565247,0.24532052874565125,0.20544172823429108
disney,0.1984206587076187,0.17137259244918823,0.1095602735877037,-0.006112710107117891,0.2132069319486618,0.37895750999450684,0.11946755647659302,0.15550778806209564,0.14551891386508942,0.2006005197763443,0.2788858711719513,0.23984374105930328,0.15217986702919006,0.37895750999450684,0.24105775356292725,0.2042335420846939,0.1984206587076187,0.19632026553153992,0.20166602730751038,0.22150784730911255
channel,0.2989991009235382,0.1637740135192871,0.06143602728843689,-0.12137730419635773,0.18730267882347107,0.4020179808139801,0.13219784200191498,0.15965904295444489,0.1598290354013443,0.17526158690452576,0.2061406522989273,0.21299093961715698,0.10998151451349258,0.4020179808139801,0.281120240688324,0.2718571424484253,0.2989991009235382,0.20295917987823486,0.3074278235435486,0.20176179707050323
programs,0.28622785210609436,0.15315009653568268,0.024857383221387863,-0.16438396275043488,0.21514803171157837,0.3454950749874115,0.04332099109888077,0.2300964742898941,0.18625949323177338,0.1916923075914383,0.2518780529499054,0.23389451205730438,0.2711692452430725,0.3454950749874115,0.37812772393226624,0.305233895778656,0.28622785210609436,0.23178155720233917,0.29368942975997925,0.16452431678771973
available,0.3133032023906708,0.1359252631664276,0.049704328179359436,-0.16184990108013153,0.2614012062549591,0.17715942859649658,0.21612174808979034,0.20774535834789276,0.15102502703666687,0.23752564191818237,0.26285967230796814,0.2394571453332901,0.2460227906703949,0.17715942859649658,0.22410283982753754,1.0000001192092896,0.3133032023906708,0.22032985091209412,0.3073113262653351,0.2501629889011383
for,0.36199691891670227,0.28923362493515015,0.1350957602262497,-0.20903140306472778,0.4464869201183319,0.22510288655757904,0.21224410831928253,0.3236706852912903,0.20913051068782806,0.39140474796295166,0.1404508501291275,0.4451248347759247,0.386745423078537,0.22510288655757904,0.35496386885643005,0.3672940731048584,0.36199691891670227,0.3017193675041199,0.31237727403640747,0.264628142118454
purchase,0.22003348171710968,0.17515252530574799,0.023915614932775497,-0.2126188427209854,0.220005065202713,0.2114780843257904,0.2343512326478958,0.2121904343366623,0.38572970032691956,0.20768877863883972,0.2763974666595459,0.2556370198726654,0.22787222266197205,0.2114780843257904,0.16436730325222015,0.3704683482646942,0.22003348171710968,0.1781352013349533,0.29545143246650696,0.07106894254684448
on,0.9999999403953552,0.3479952812194824,0.15655489265918732,-0.13349726796150208,0.49057599902153015,0.2862928807735443,0.321969211101532,0.3192969560623169,0.22078442573547363,0.40749499201774597,0.2831275165081024,0.41031414270401,0.27031177282333374,0.2862928807735443,0.361020565032959,0.3133032023906708,0.9999999403953552,0.34226128458976746,0.21384719014167786,0.2714994251728058
itunes,0.3062969446182251,0.23318365216255188,0.033560387790203094,0.02416149526834488,0.23725250363349915,0.34705570340156555,0.351460337638855,0.18059523403644562,0.19692349433898926,0.1428672820329666,0.4844749867916107,0.23642168939113617,0.16593250632286072,0.34705570340156555,0.16747601330280304,0.44419264793395996,0.3062969446182251,0.19993653893470764,0.3096209764480591,0.23144569993019104
.,0.49257001280784607,0.3439200222492218,0.26247212290763855,-0.3028804063796997,0.6812511086463928,0.2567209303379059,0.2790040373802185,0.3581749200820923,0.20123955607414246,0.4446153938770294,0.2622234523296356,0.4645031690597534,0.3547073304653168,0.2567209303379059,0.2639692425727844,0.3383464217185974,0.49257001280784607,0.3567904531955719,0.2115515172481537,0.4130953550338745
