,what,is,one,method,of,achieving,aspirational,consumption,?
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.21624743938446045,0.733189046382904,0.35560527443885803,0.24002505838871002,0.23633816838264465,0.22068053483963013
standards,0.2855789363384247,0.19850283861160278,0.1693616360425949,0.3149106502532959,0.18525971472263336,0.33108237385749817,0.27386802434921265,0.30163753032684326,0.2011813372373581
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.22896558046340942,1.0,0.3275443911552429,0.26259148120880127,0.249590665102005,0.1826142966747284
living,0.22245320677757263,0.2306187003850937,0.24753230810165405,0.061009325087070465,0.3499443829059601,0.22128257155418396,0.10911340266466141,0.21501727402210236,0.18362653255462646
enjoyed,0.20517368614673615,0.13550609350204468,0.15951307117938995,0.042969897389411926,0.21542632579803467,0.30976343154907227,0.18237808346748352,0.1968711018562317,0.09301155805587769
by,0.2455483376979828,0.3899846076965332,0.29445651173591614,0.2714079022407532,0.3646814823150635,0.15675674378871918,0.2653997242450714,0.18579155206680298,0.17966607213020325
their,0.35142919421195984,0.2101074606180191,0.3991999328136444,0.20391598343849182,0.4329940676689148,0.34561222791671753,0.31917402148246765,0.24693188071250916,0.1898253709077835
wealthier,0.2523355782032013,0.18444940447807312,0.29604971408843994,0.08311714977025986,0.23031748831272125,0.22445732355117798,0.15591876208782196,0.39266812801361084,0.15704771876335144
counterparts,0.2151535004377365,0.27053865790367126,0.29170265793800354,0.1741199940443039,0.2207687795162201,0.28099027276039124,0.22822368144989014,0.31142041087150574,0.1446923315525055
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.16907750070095062,0.5116966962814331,0.2686406672000885,0.2664031684398651,0.2576488256454468,0.20544172823429108
one,0.376489520072937,0.4544198513031006,1.0000001192092896,0.2033216655254364,0.4999135136604309,0.3754301369190216,0.26312607526779175,0.2729557156562805,0.2673267424106598
method,0.25476205348968506,0.21948537230491638,0.2033216655254364,1.0000001192092896,0.22896558046340942,0.3029719293117523,0.30865827202796936,0.2829374372959137,0.2194802314043045
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.22896558046340942,1.0,0.3275443911552429,0.26259148120880127,0.249590665102005,0.1826142966747284
achieving,0.24755272269248962,0.2170582413673401,0.3754301369190216,0.3029719293117523,0.3275443911552429,1.0,0.3280028700828552,0.3257465362548828,0.16495080292224884
this,0.5489566326141357,0.480927973985672,0.4978463351726532,0.32054242491722107,0.45148900151252747,0.34786683320999146,0.3090503513813019,0.3232773542404175,0.3155723512172699
aspiration,0.2504355013370514,0.21123749017715454,0.2565893530845642,0.28911077976226807,0.2088182419538498,0.3040197789669037,0.8763753175735474,0.3158721327781677,0.1971980482339859
is,0.28837618231773376,1.0,0.4544198513031006,0.21948537230491638,0.4854315221309662,0.2170582413673401,0.22516082227230072,0.2964645028114319,0.22961433231830597
by,0.2455483376979828,0.3899846076965332,0.29445651173591614,0.2714079022407532,0.3646814823150635,0.15675674378871918,0.2653997242450714,0.18579155206680298,0.17966607213020325
taking,0.24635453522205353,0.2171461582183838,0.2955847382545471,0.26146233081817627,0.29240402579307556,0.32987141609191895,0.23876427114009857,0.23055636882781982,0.19960761070251465
on,0.34226128458976746,0.3635730445384979,0.3601475656032562,0.17949727177619934,0.3966929316520691,0.18319807946681976,0.14889360964298248,0.2087312489748001,0.2714994251728058
debt,0.2230634093284607,0.14983339607715607,0.1321127563714981,0.10598858445882797,0.211117684841156,0.21432818472385406,0.13779065012931824,0.35703596472740173,0.14442241191864014
.,0.3567904531955719,0.4569662809371948,0.4123194217681885,0.18224337697029114,0.5352458953857422,0.23635470867156982,0.2479235827922821,0.24098418653011322,0.4130953550338745
