,what,was,the,source,of,the,mistake,?
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.17518587410449982,0.3909035325050354,0.4177538752555847,0.23527714610099792,0.15994466841220856
misquoted,0.3633646070957184,0.27472227811813354,0.26427802443504333,0.23254400491714478,0.21831484138965607,0.26427802443504333,0.4968738257884979,0.3319547772407532
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.25184157490730286,0.48690423369407654,0.559237003326416,0.21372824907302856,0.15103481709957123
own,0.35062843561172485,0.19632458686828613,0.334675133228302,0.17762869596481323,0.3269667625427246,0.334675133228302,0.2676469385623932,0.1937696635723114
source,0.2553733289241791,0.14040647447109222,0.30258262157440186,0.9999998807907104,0.18598204851150513,0.30258262157440186,0.12264571338891983,0.2462312877178192
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2657822072505951,0.4946078956127167,0.4933079481124878,0.2312021404504776,0.31091248989105225
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.23689579963684082,0.32280945777893066,0.4207492768764496,0.21102263033390045,0.19793890416622162
icsi,0.15329110622406006,0.22368782758712769,0.22932714223861694,0.1537867784500122,0.24692150950431824,0.22932714223861694,0.13204967975616455,0.12318231910467148
report,0.2868559956550598,0.19926786422729492,0.2556745111942291,0.2556673288345337,0.22992923855781555,0.2556745111942291,0.34827855229377747,0.3138936758041382
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.01289043202996254,0.06780257821083069,0.029072100296616554,0.005647913087159395,0.0685480609536171
variations,0.1686444729566574,0.15028144419193268,0.24438314139842987,0.1282346397638321,0.24213774502277374,0.24438314139842987,0.1837262213230133,0.21286094188690186
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18598204851150513,1.0,0.733189046382904,0.18456989526748657,0.1826142966747284
snow,0.16016478836536407,0.17807328701019287,0.20050467550754547,0.09326014667749405,0.16572466492652893,0.20050467550754547,0.20267432928085327,0.1894082874059677
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24024291336536407,0.5116966962814331,0.5171257257461548,0.18402345478534698,0.20544172823429108
ice,0.17764540016651154,0.15280188620090485,0.22322975099086761,0.07096697390079498,0.18215686082839966,0.22322975099086761,0.129542276263237,0.1261633038520813
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.24019475281238556,0.5696388483047485,0.6662389636039734,0.1833147257566452,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.28798919916152954,0.22068053483963013
past,0.3538547456264496,0.17324605584144592,0.2747827172279358,0.11566361039876938,0.27417802810668945,0.2747827172279358,0.2825898826122284,0.2598046660423279
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24024291336536407,0.5116966962814331,0.5171257257461548,0.18402345478534698,0.20544172823429108
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.20762331783771515,0.42558613419532776,0.457212895154953,0.21670930087566376,0.21978627145290375
present,0.30940163135528564,0.1278916448354721,0.2829846143722534,0.10989531874656677,0.3116828501224518,0.2829846143722534,0.10217449069023132,0.21759982407093048
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.2188335657119751,0.3966929316520691,0.5107308030128479,0.2210589349269867,0.2714994251728058
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.18778453767299652,0.5052502155303955,0.5829201340675354,0.3021751344203949,0.23916715383529663
global,0.21706031262874603,0.14278262853622437,0.17898012697696686,0.09983444958925247,0.19114547967910767,0.17898012697696686,0.189396470785141,0.22985349595546722
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24024291336536407,0.5116966962814331,0.5171257257461548,0.18402345478534698,0.20544172823429108
regional,0.1532609760761261,0.18430563807487488,0.3125704526901245,0.0977882519364357,0.2853882610797882,0.3125704526901245,0.01279873214662075,0.09246466308832169
scale,0.23262472450733185,0.1398085504770279,0.1833842247724533,0.2345409244298935,0.19989530742168427,0.1833842247724533,0.1685076206922531,0.21142835915088654
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.0031991230789572,0.13035868108272552,0.041273195296525955,-0.01716817356646061,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2883438467979431,0.5352458953857422,0.5934505462646484,0.25054696202278137,0.4130953550338745
