,in,the,encoding,of,mathematical,objects,",",what,is,the,way,in,which,integers,are,commonly,expressed,?
",",0.5201468467712402,0.4933079481124878,0.2055341899394989,0.4946078956127167,0.2381593883037567,0.21213118731975555,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2861018478870392,0.5201468467712402,0.3658004403114319,0.24003417789936066,0.4062570035457611,0.27548834681510925,0.24414940178394318,0.31091248989105225
and,0.4954058527946472,0.5171257257461548,0.20612584054470062,0.5116966962814331,0.22746597230434418,0.2794862985610962,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.32150545716285706,0.4954058527946472,0.506277859210968,0.20408035814762115,0.48576638102531433,0.2290310114622116,0.24103379249572754,0.20544172823429108
graphs,0.10934894531965256,0.12824366986751556,0.330777645111084,0.16268819570541382,0.43849918246269226,0.37464824318885803,0.2486734241247177,0.23150402307510376,0.11647754162549973,0.12824366986751556,0.2874528169631958,0.10934894531965256,0.2116423398256302,0.38746556639671326,0.30241164565086365,0.15091653168201447,0.22955191135406494,0.2068129926919937
can,0.26527702808380127,0.312528520822525,0.319330632686615,0.2603091299533844,0.22479166090488434,0.3987920582294464,0.3139454126358032,0.34502777457237244,0.44256699085235596,0.312528520822525,0.4469449520111084,0.26527702808380127,0.41132649779319763,0.33596161007881165,0.5408529043197632,0.36005309224128723,0.2116832584142685,0.3226337134838104
be,0.3481820821762085,0.4248143136501312,0.32507771253585815,0.33904364705085754,0.21942780911922455,0.311663955450058,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.4511762857437134,0.3481820821762085,0.476310670375824,0.28398826718330383,0.5556803941726685,0.3145580291748047,0.25860801339149475,0.3324260413646698
encoded,0.1764841377735138,0.26610639691352844,0.8464848399162292,0.27301374077796936,0.26559606194496155,0.26821064949035645,0.21195442974567413,0.22943362593650818,0.22683162987232208,0.26610639691352844,0.24496737122535706,0.1764841377735138,0.3471721410751343,0.40429335832595825,0.26715323328971863,0.22294484078884125,0.39564335346221924,0.19836890697479248
directly,0.25104159116744995,0.4502958655357361,0.2216196209192276,0.2998887896537781,0.22504910826683044,0.30022093653678894,0.24953341484069824,0.3618607521057129,0.2819631099700928,0.4502958655357361,0.3865455090999603,0.25104159116744995,0.5192315578460693,0.1641104370355606,0.322107195854187,0.2582448124885559,0.29533475637435913,0.2187996357679367
via,0.19981135427951813,0.23979412019252777,0.20046526193618774,0.1293322592973709,0.1123836562037468,0.12421529740095139,0.26232874393463135,0.16736915707588196,0.18325740098953247,0.23979412019252777,0.2581464946269989,0.19981135427951813,0.2865810990333557,0.12334005534648895,0.16915540397167206,0.21789291501045227,0.1418447643518448,0.19443516433238983
their,0.34976133704185486,0.516537070274353,0.1814088523387909,0.4329940676689148,0.18841427564620972,0.29732805490493774,0.3045167922973633,0.35142919421195984,0.2101074606180191,0.516537070274353,0.34286630153656006,0.34976133704185486,0.4582767188549042,0.1738990992307663,0.46887820959091187,0.19497299194335938,0.24937249720096588,0.1898253709077835
adjacency,0.27450311183929443,0.3411034643650055,0.329638808965683,0.3354620039463043,0.2713513970375061,0.24556221067905426,0.2750817835330963,0.285400390625,0.25397178530693054,0.3411034643650055,0.31308653950691223,0.27450311183929443,0.3565559685230255,0.34297269582748413,0.28194528818130493,0.20506992936134338,0.2198106050491333,0.14743386209011078
matrices,0.18818998336791992,0.20424354076385498,0.3546759784221649,0.18345877528190613,0.5817731618881226,0.3449449837207794,0.26445817947387695,0.299005389213562,0.215537890791893,0.20424354076385498,0.3365725874900818,0.18818998336791992,0.30234283208847046,0.5612295269966125,0.27276739478111267,0.22036077082157135,0.3493374288082123,0.18485578894615173
",",0.5201468467712402,0.4933079481124878,0.2055341899394989,0.4946078956127167,0.2381593883037567,0.21213118731975555,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2861018478870392,0.5201468467712402,0.3658004403114319,0.24003417789936066,0.4062570035457611,0.27548834681510925,0.24414940178394318,0.31091248989105225
or,0.3586423695087433,0.4174870550632477,0.30645832419395447,0.3792596757411957,0.1748487800359726,0.3741072118282318,0.3769497275352478,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.3864600956439972,0.3586423695087433,0.5105096101760864,0.2897246778011322,0.5374364256858826,0.3941306471824646,0.22985966503620148,0.32389625906944275
by,0.370934396982193,0.4408751428127289,0.19054371118545532,0.3646814823150635,0.17634403705596924,0.22672481834888458,0.3680937886238098,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.3228684663772583,0.370934396982193,0.40543368458747864,0.13171325623989105,0.37842893600463867,0.22668445110321045,0.26528993248939514,0.17966607213020325
encoding,0.21006087958812714,0.2700427770614624,0.9999999403953552,0.27324187755584717,0.3059152662754059,0.24785339832305908,0.2055341899394989,0.22488351166248322,0.28695085644721985,0.2700427770614624,0.289156973361969,0.21006087958812714,0.3772889971733093,0.4507312476634979,0.2846527695655823,0.2496005743741989,0.3163040280342102,0.21611304581165314
their,0.34976133704185486,0.516537070274353,0.1814088523387909,0.4329940676689148,0.18841427564620972,0.29732805490493774,0.3045167922973633,0.35142919421195984,0.2101074606180191,0.516537070274353,0.34286630153656006,0.34976133704185486,0.4582767188549042,0.1738990992307663,0.46887820959091187,0.19497299194335938,0.24937249720096588,0.1898253709077835
adjacency,0.27450311183929443,0.3411034643650055,0.329638808965683,0.3354620039463043,0.2713513970375061,0.24556221067905426,0.2750817835330963,0.285400390625,0.25397178530693054,0.3411034643650055,0.31308653950691223,0.27450311183929443,0.3565559685230255,0.34297269582748413,0.28194528818130493,0.20506992936134338,0.2198106050491333,0.14743386209011078
lists,0.29832661151885986,0.2791348397731781,0.21520216763019562,0.28448209166526794,0.2290685474872589,0.282912015914917,0.2542122006416321,0.2428613007068634,0.20770250260829926,0.2791348397731781,0.23562389612197876,0.29832661151885986,0.2474433183670044,0.23757854104042053,0.3508381247520447,0.13006138801574707,0.17977093160152435,0.2371540665626526
in,1.0,0.6662389636039734,0.21006087958812714,0.5696388483047485,0.20596176385879517,0.23406893014907837,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.30444321036338806,1.0,0.4840516746044159,0.1772688925266266,0.3841303884983063,0.2769457697868347,0.22785329818725586,0.20430970191955566
binary,0.16351808607578278,0.18260802328586578,0.4845099151134491,0.21468596160411835,0.41662150621414185,0.43253764510154724,0.22407320141792297,0.21848982572555542,0.25599268078804016,0.18260802328586578,0.3618703782558441,0.16351808607578278,0.3285239636898041,0.5401177406311035,0.2925727367401123,0.2506712079048157,0.28012117743492126,0.16258445382118225
.,0.5591574311256409,0.5934505462646484,0.24509593844413757,0.5352458953857422,0.21067743003368378,0.23188386857509613,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.33520638942718506,0.5591574311256409,0.45942068099975586,0.2307858020067215,0.3452940285205841,0.2135825902223587,0.24293068051338196,0.4130953550338745
