,what,are,the,hairs,on,ctenophores,called,?
hairs,0.15253664553165436,0.36884215474128723,0.2248460054397583,1.0000001192092896,0.17767350375652313,0.488464891910553,0.23671665787696838,0.16546867787837982
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,-0.129519984126091,0.04238596186041832,0.021284958347678185,0.021102847531437874,0.018684765323996544
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.15236561000347137,0.29937487840652466,0.1612478494644165,0.273923397064209,0.42300865054130554
as,0.31749409437179565,0.3826591968536377,0.48381632566452026,0.22803324460983276,0.36047765612602234,0.23381571471691132,0.2827680706977844,0.27043893933296204
their,0.35142919421195984,0.46887820959091187,0.516537070274353,0.3484843373298645,0.3598666191101074,0.34535476565361023,0.33472323417663574,0.1898253709077835
main,0.2344268560409546,0.2828797399997711,0.38631999492645264,0.0706465095281601,0.2898236811161041,0.11420019716024399,0.2583436071872711,0.1665669083595276
method,0.25476205348968506,0.18370844423770905,0.21624743938446045,0.1425771713256836,0.17949727177619934,0.2998027503490448,0.19978497922420502,0.2194802314043045
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.16479715704917908,0.3966929316520691,0.2626190483570099,0.4222904443740845,0.1826142966747284
locomotion,0.15539827942848206,0.1953888237476349,0.2234269082546234,0.29752328991889954,0.1539609283208847,0.3951326608657837,0.1027451828122139,0.15499655902385712
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.23461930453777313,0.49257001280784607,0.22269779443740845,0.300344854593277,0.4130953550338745
