,what,proposed,attacks,did,shirley,plan,?
fort,0.19451747834682465,0.11566196382045746,0.25750473141670227,0.17500312626361847,0.1994868814945221,0.26621031761169434,0.15686731040477753
frontenac,0.1465948224067688,0.1767081320285797,0.12453961372375488,0.09316479414701462,0.19440825283527374,0.2479313313961029,0.2187342494726181
on,0.34226128458976746,0.2377385050058365,0.2935330867767334,0.2670976221561432,0.22180449962615967,0.21909739077091217,0.2714994251728058
the,0.42745697498321533,0.23840250074863434,0.2845265567302704,0.34736719727516174,0.15386177599430084,0.2852855324745178,0.22068053483963013
north,0.18673177063465118,0.14657437801361084,0.16509395837783813,0.16732536256313324,0.11433224380016327,0.16235163807868958,0.11829731613397598
shore,0.12943395972251892,0.12048877030611038,0.15901218354701996,0.0908011794090271,0.10166266560554504,0.1375831663608551,0.07139872014522552
of,0.33290785551071167,0.26188141107559204,0.18891674280166626,0.2513895630836487,0.11547418683767319,0.2742128372192383,0.1826142966747284
lake,0.17778855562210083,0.10807397961616516,0.06409307569265366,0.14357861876487732,0.1648978292942047,0.11390602588653564,0.07226386666297913
ontario,0.20325867831707,0.10226856172084808,0.06373677402734756,0.11090095341205597,0.19924968481063843,0.10249320417642593,0.1380562037229538
and,0.31309178471565247,0.20594197511672974,0.28638073801994324,0.34479495882987976,0.2159835696220398,0.26844465732574463,0.20544172823429108
an,0.2821882665157318,0.15246838331222534,0.1693469136953354,0.22598257660865784,0.18953485786914825,0.20559144020080566,0.19793890416622162
expedition,0.19300568103790283,0.15993210673332214,0.23771418631076813,0.21760712563991547,0.1623562127351761,0.21541748940944672,0.10355690121650696
through,0.23167094588279724,0.18264080584049225,0.15504956245422363,0.14190755784511566,0.15092405676841736,0.20636478066444397,0.16913433372974396
the,0.42745697498321533,0.23840250074863434,0.2845265567302704,0.34736719727516174,0.15386177599430084,0.2852855324745178,0.22068053483963013
wilderness,0.23615862429141998,0.08080771565437317,0.13143494725227356,0.15518958866596222,0.27773916721343994,0.22153262794017792,0.1363435983657837
of,0.33290785551071167,0.26188141107559204,0.18891674280166626,0.2513895630836487,0.11547418683767319,0.2742128372192383,0.1826142966747284
the,0.42745697498321533,0.23840250074863434,0.2845265567302704,0.34736719727516174,0.15386177599430084,0.2852855324745178,0.22068053483963013
maine,0.1202419251203537,0.2005312144756317,0.10979381203651428,0.1825626939535141,0.20913724601268768,0.09769409894943237,0.14276839792728424
district,0.13126243650913239,0.11607026308774948,0.07287372648715973,0.06963783502578735,0.24038754403591156,0.17277860641479492,0.06725285202264786
and,0.31309178471565247,0.20594197511672974,0.28638073801994324,0.34479495882987976,0.2159835696220398,0.26844465732574463,0.20544172823429108
down,0.26226112246513367,0.15734077990055084,0.2186078280210495,0.2029697746038437,0.06896340101957321,0.19954116642475128,0.13836295902729034
the,0.42745697498321533,0.23840250074863434,0.2845265567302704,0.34736719727516174,0.15386177599430084,0.2852855324745178,0.22068053483963013
chaudière,0.18226508796215057,0.1775832325220108,0.09221401065587997,0.08628734201192856,0.1875840127468109,0.0774480476975441,0.21730495989322662
river,0.13815869390964508,0.1287935972213745,0.13980479538440704,0.15783563256263733,0.09677739441394806,0.1802174597978592,0.15390869975090027
to,0.455847829580307,0.28162798285484314,0.20225100219249725,0.4452643394470215,0.14755064249038696,0.36421895027160645,0.29463258385658264
attack,0.16093501448631287,0.08234982192516327,0.7850538492202759,0.13678960502147675,0.11891456693410873,0.24008582532405853,0.126759335398674
the,0.42745697498321533,0.23840250074863434,0.2845265567302704,0.34736719727516174,0.15386177599430084,0.2852855324745178,0.22068053483963013
city,0.17493832111358643,0.13696932792663574,0.1383207142353058,0.12266099452972412,0.18117883801460266,0.2107371836900711,0.13423943519592285
of,0.33290785551071167,0.26188141107559204,0.18891674280166626,0.2513895630836487,0.11547418683767319,0.2742128372192383,0.1826142966747284
quebec,0.19603441655635834,0.13676626980304718,0.1494210660457611,0.1443757861852646,0.11333410441875458,0.07605977356433868,0.11506577581167221
.,0.3567904531955719,0.22405166923999786,0.295037180185318,0.35288307070732117,0.19505764544010162,0.2966235876083374,0.4130953550338745
