,what,does,the,pink,triangle,have,a,range,of,?
life,0.24693015217781067,0.14979252219200134,0.23528170585632324,0.15338949859142303,0.09392190724611282,0.25565779209136963,0.27076753973960876,0.098639577627182,0.2788603901863098,0.21677987277507782
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.25025492906570435,0.22098316252231598,0.4711785912513733,0.3739250600337982,0.27470090985298157,0.5116966962814331,0.20544172823429108
has,0.20338068902492523,0.42885294556617737,0.4177538752555847,0.16955800354480743,0.25573331117630005,0.6353569626808167,0.4670248031616211,0.21926841139793396,0.3909035325050354,0.15994466841220856
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.21632130444049835,0.27241039276123047,0.338716596364975,1.0,0.23913569748401642,0.5052502155303955,0.23916715383529663
range,0.19613829255104065,0.1521991640329361,0.2311336100101471,0.11301270127296448,0.16795037686824799,0.2598983347415924,0.23913569748401642,1.0,0.234999418258667,0.1204894632101059
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.14837202429771423,0.2089867889881134,0.3802283704280853,0.5052502155303955,0.234999418258667,1.0,0.1826142966747284
bars,0.11961473524570465,0.14983944594860077,0.20749349892139435,0.1523716300725937,0.2481248825788498,0.20945341885089874,0.18241655826568604,0.1544203758239746,0.12708143889904022,0.1464296281337738
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.22619959712028503,0.21762286126613617,0.3541618287563324,0.427140474319458,0.2808356285095215,0.4946078956127167,0.31091248989105225
cafés,0.15656794607639313,0.16100557148456573,0.25234588980674744,0.23906831443309784,0.16483502089977264,0.22380754351615906,0.2556016445159912,0.15930648148059845,0.1784883439540863,0.13801775872707367
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.25025492906570435,0.22098316252231598,0.4711785912513733,0.3739250600337982,0.27470090985298157,0.5116966962814331,0.20544172823429108
clubs,0.07451342791318893,0.06352625042200089,0.17952080070972443,0.14628884196281433,0.15243446826934814,0.18639832735061646,0.17674703896045685,0.15075579285621643,0.17083200812339783,0.1735779345035553
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.23976580798625946,0.17276279628276825,0.41614407300949097,0.50484299659729,0.25816646218299866,0.5352458953857422,0.4130953550338745
