,what,was,the,price,of,oil,in,march,of,1974,?
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2590087652206421,0.41548454761505127,0.1619214415550232,0.45010748505592346,0.2274535447359085,0.41548454761505127,0.018285049125552177,0.29463258385658264
nearly,0.21304303407669067,0.2735367715358734,0.3409946858882904,0.16697834432125092,0.3455437123775482,0.11756588518619537,0.3414846360683441,0.12118227779865265,0.3455437123775482,-0.03401527926325798,0.11670064926147461
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.3850068151950836,0.11268499493598938,0.21180790662765503,0.21616753935813904,0.22228938341140747,0.11268499493598938,-0.043473053723573685,0.2786129117012024
12,0.1696145385503769,0.13560841977596283,0.28907760977745056,0.055531974881887436,0.2886716425418854,0.18259811401367188,0.18516430258750916,-0.004679722711443901,0.2886716425418854,-0.008127033710479736,0.10021790862083435
globally,0.2318185269832611,0.23784586787223816,0.23835816979408264,0.16521717607975006,0.21430270373821259,0.20504416525363922,0.1713028997182846,0.2262078821659088,0.21430270373821259,-0.1556929349899292,0.31569910049438477
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.05332448333501816,0.054534342139959335,-0.03173505887389183,0.092739537358284,0.06139350309967995,0.054534342139959335,-0.04131974279880524,0.10349778085947037
us,0.32081687450408936,0.19898231327533722,0.25727739930152893,0.19459043443202972,0.23568789660930634,0.20205363631248474,0.19746538996696472,0.23998285830020905,0.23568789660930634,-0.002035334939137101,0.2742428481578827
prices,0.23893781006336212,0.21450144052505493,0.24549299478530884,0.7907592058181763,0.168605774641037,0.39236316084861755,0.22619551420211792,0.1360892504453659,0.168605774641037,-0.007572132162749767,0.14604969322681427
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.1550656259059906,0.34038281440734863,0.146466463804245,0.3815755248069763,0.215988889336586,0.34038281440734863,0.011492334306240082,0.17890112102031708
significantly,0.2746123671531677,0.22230319678783417,0.3313288986682892,0.295147567987442,0.2703875005245209,0.18792982399463654,0.26986899971961975,0.12921389937400818,0.2703875005245209,-0.1741168051958084,0.1823679804801941
higher,0.2538340389728546,0.12998951971530914,0.3292480409145355,0.24399851262569427,0.3096220791339874,0.1341117024421692,0.23285751044750214,0.06895125657320023,0.3096220791339874,-0.027038220316171646,0.15679465234279633
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.20274421572685242,0.5352458953857422,0.22117017209529877,0.5591574311256409,0.349947065114975,0.5352458953857422,0.03069532848894596,0.4130953550338745
