,how,many,passengers,a,year,does,the,rail,network,in,newcastle,carry,?
and,0.33647966384887695,0.5296266674995422,0.26762738823890686,0.3739250600337982,0.2506658732891083,0.3461615741252899,0.5171257257461548,0.2157215178012848,0.27591994404792786,0.4954058527946472,0.20204751193523407,0.2731964588165283,0.20544172823429108
carries,0.1937691867351532,0.19777216017246246,0.34717127680778503,0.30845868587493896,0.1425851434469223,0.3182373046875,0.367861807346344,0.229118213057518,0.2645520865917206,0.24316389858722687,0.2171279788017273,0.6246627569198608,0.13831257820129395
over,0.31446483731269836,0.47131630778312683,0.2913212776184082,0.32199642062187195,0.2620522379875183,0.24276040494441986,0.39856547117233276,0.22988522052764893,0.2158103585243225,0.3605569899082184,0.18043215572834015,0.2725665867328644,0.25742942094802856
37,0.0667102113366127,0.14107336103916168,0.09997128695249557,-0.03538062795996666,-0.12852248549461365,0.003233077470213175,0.03583221137523651,0.07697354257106781,0.09529921412467957,0.0036892909556627274,-0.10606590658426285,0.005997452884912491,0.08108238875865936
million,0.21114659309387207,0.3520967364311218,0.2766437530517578,0.1811940222978592,0.30462950468063354,0.10680846869945526,0.277012437582016,0.17302162945270538,0.21709464490413666,0.2596224844455719,0.21815668046474457,0.13960032165050507,0.23092924058437347
passengers,0.1846436709165573,0.20030497014522552,1.0000001192092896,0.17623189091682434,0.2174973040819168,0.15695710480213165,0.23639188706874847,0.4466298818588257,0.23997648060321808,0.2134283185005188,0.21380063891410828,0.40035107731819153,0.15951235592365265
a,0.29312583804130554,0.2872205972671509,0.17623189091682434,1.0,0.29350247979164124,0.38201746344566345,0.5829201340675354,0.24957029521465302,0.17299489676952362,0.539380669593811,0.21405641734600067,0.2364719659090042,0.23916715383529663
year,0.19631797075271606,0.21933086216449738,0.2174973040819168,0.29350247979164124,1.0,0.16000528633594513,0.3609684407711029,0.15025311708450317,0.1478661298751831,0.3359307050704956,0.18703900277614594,0.1389605700969696,0.18315006792545319
",",0.22659391164779663,0.40610817074775696,0.27177494764328003,0.427140474319458,0.28560417890548706,0.28617382049560547,0.4933079481124878,0.19919529557228088,0.1932937651872635,0.5201468467712402,0.251589834690094,0.1951419711112976,0.31091248989105225
extending,0.16054868698120117,0.21653960645198822,0.2507116496562958,0.29785630106925964,0.15779265761375427,0.27202004194259644,0.39961886405944824,0.1955946534872055,0.21407464146614075,0.285525381565094,0.15057122707366943,0.22883212566375732,0.16590118408203125
as,0.33782753348350525,0.4070141911506653,0.16860736906528473,0.39550232887268066,0.28440728783607483,0.31202155351638794,0.48381632566452026,0.1878965198993683,0.2054080367088318,0.3887844979763031,0.21526619791984558,0.21199582517147064,0.27043893933296204
far,0.3041025996208191,0.3463234305381775,0.24039794504642487,0.21638330817222595,0.13917221128940582,0.2871477007865906,0.38564538955688477,0.18914370238780975,0.14765286445617676,0.2599720060825348,0.21085017919540405,0.20656245946884155,0.2170870453119278
as,0.33782753348350525,0.4070141911506653,0.16860736906528473,0.39550232887268066,0.28440728783607483,0.31202155351638794,0.48381632566452026,0.1878965198993683,0.2054080367088318,0.3887844979763031,0.21526619791984558,0.21199582517147064,0.27043893933296204
newcastle,0.11517360806465149,0.17336907982826233,0.21380063891410828,0.21405641734600067,0.18703900277614594,0.12200397253036499,0.2253497689962387,0.24057336151599884,0.17845886945724487,0.19270820915699005,1.0000001192092896,0.18577788770198822,0.0902252271771431
airport,0.05454898625612259,0.15638405084609985,0.5620935559272766,0.17186322808265686,0.16964393854141235,0.09553595632314682,0.2293178290128708,0.3640420138835907,0.1741999387741089,0.2244764268398285,0.2453719973564148,0.16899238526821136,0.13105051219463348
",",0.22659391164779663,0.40610817074775696,0.27177494764328003,0.427140474319458,0.28560417890548706,0.28617382049560547,0.4933079481124878,0.19919529557228088,0.1932937651872635,0.5201468467712402,0.251589834690094,0.1951419711112976,0.31091248989105225
tynemouth,0.12391369044780731,0.20481057465076447,0.25805309414863586,0.2545737624168396,0.172523632645607,0.16868528723716736,0.29442018270492554,0.252650648355484,0.14748598635196686,0.30023902654647827,0.6080704927444458,0.1523021012544632,0.1790570169687271
",",0.22659391164779663,0.40610817074775696,0.27177494764328003,0.427140474319458,0.28560417890548706,0.28617382049560547,0.4933079481124878,0.19919529557228088,0.1932937651872635,0.5201468467712402,0.251589834690094,0.1951419711112976,0.31091248989105225
south,0.11786635220050812,0.2319321483373642,0.1996258944272995,0.23680485785007477,0.18804097175598145,0.11284814029932022,0.3129390776157379,0.23607565462589264,0.15426062047481537,0.33642083406448364,0.3142260015010834,0.148856520652771,0.12336621433496475
shields,0.1891070455312729,0.22290568053722382,0.15051965415477753,0.17512348294258118,0.14522486925125122,0.13657890260219574,0.21226775646209717,0.21141649782657623,0.11456455290317535,0.1355273574590683,0.3120311498641968,0.24766522645950317,0.08820432424545288
and,0.33647966384887695,0.5296266674995422,0.26762738823890686,0.3739250600337982,0.2506658732891083,0.3461615741252899,0.5171257257461548,0.2157215178012848,0.27591994404792786,0.4954058527946472,0.20204751193523407,0.2731964588165283,0.20544172823429108
south,0.11786635220050812,0.2319321483373642,0.1996258944272995,0.23680485785007477,0.18804097175598145,0.11284814029932022,0.3129390776157379,0.23607565462589264,0.15426062047481537,0.33642083406448364,0.3142260015010834,0.148856520652771,0.12336621433496475
hylton,0.09089015424251556,0.17859682440757751,0.2195938229560852,0.2664095461368561,0.20586611330509186,0.12408231198787689,0.29322198033332825,0.2874213755130768,0.16833163797855377,0.2865543067455292,0.45972147583961487,0.11541687697172165,0.11566588282585144
in,0.2601168751716614,0.41474202275276184,0.2134283185005188,0.539380669593811,0.3359307050704956,0.214483380317688,0.6662389636039734,0.22738659381866455,0.19496823847293854,1.0,0.19270820915699005,0.19860897958278656,0.20430970191955566
sunderland,0.1545718014240265,0.18222379684448242,0.17206163704395294,0.25315093994140625,0.2666321396827698,0.11827826499938965,0.2869705259799957,0.30208298563957214,0.16954214870929718,0.26094135642051697,0.5715211033821106,0.1666969358921051,0.1341698169708252
.,0.3287222981452942,0.3974229395389557,0.20753464102745056,0.50484299659729,0.32538118958473206,0.3022993505001068,0.5934505462646484,0.1775164008140564,0.23909442126750946,0.5591574311256409,0.2714749276638031,0.21299658715724945,0.4130953550338745
