,what,are,two,official,bodies,of,the,umc,governing,coalition,?
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.3133983910083771,0.2745959758758545,0.733189046382904,1.0,0.21262750029563904,0.3302684724330902,0.27709540724754333,0.22068053483963013
religious,0.26794421672821045,0.20633597671985626,0.17006032168865204,0.20326457917690277,0.1658283770084381,0.2958606779575348,0.22950971126556396,0.33160901069641113,0.25161534547805786,0.282785028219223,0.15727058053016663
coalition,0.15644073486328125,0.1633247435092926,0.25221121311187744,0.20852680504322052,0.1821552813053131,0.2811764180660248,0.27709540724754333,0.21321120858192444,0.4172781705856323,1.0000001192092896,0.13521195948123932
for,0.3017193675041199,0.3895993232727051,0.34734001755714417,0.2504976987838745,0.1515924632549286,0.4185989499092102,0.4739971458911896,0.20637543499469757,0.2078820914030075,0.19586047530174255,0.264628142118454
reproductive,0.2536001205444336,0.2956034541130066,0.2208932489156723,0.032915543764829636,0.23425887525081635,0.2793607711791992,0.260206013917923,0.16728925704956055,0.23419760167598724,0.162344828248024,0.25456109642982483
choice,0.29363784193992615,0.20182392001152039,0.23632991313934326,0.17668406665325165,0.12758217751979828,0.23419108986854553,0.2640603482723236,0.19167935848236084,0.13302208483219147,0.19404904544353485,0.28709158301353455
's,0.02692362666130066,-0.008927806280553341,0.038143858313560486,0.0002636060817167163,0.0661325752735138,-0.03817026689648628,-0.01540423184633255,-0.057754456996917725,0.027716519311070442,-0.02830805629491806,-0.023395681753754616
governing,0.21229864656925201,0.19995781779289246,0.16116560995578766,0.29306766390800476,0.3656955063343048,0.3364465534687042,0.3302684724330902,0.25792196393013,0.9999999403953552,0.4172781705856323,0.15836504101753235
coalition,0.15644073486328125,0.1633247435092926,0.25221121311187744,0.20852680504322052,0.1821552813053131,0.2811764180660248,0.27709540724754333,0.21321120858192444,0.4172781705856323,1.0000001192092896,0.13521195948123932
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2088543325662613,0.22888998687267303,0.4946078956127167,0.4933079481124878,0.1953766793012619,0.2052883803844452,0.23388497531414032,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.3133983910083771,0.2745959758758545,0.733189046382904,1.0,0.21262750029563904,0.3302684724330902,0.27709540724754333,0.22068053483963013
general,0.24928055703639984,0.15219135582447052,0.20819194614887238,0.17032769322395325,0.14654140174388885,0.28352999687194824,0.28634732961654663,0.14920271933078766,0.3215875029563904,0.2936413288116455,0.1972234547138214
board,0.15681391954421997,0.1998358964920044,0.20192216336727142,0.20151393115520477,0.16377060115337372,0.23488809168338776,0.2871673107147217,0.11159598082304001,0.23960746824741364,0.21445044875144958,0.1261475533246994
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.2864961326122284,0.2732889950275421,1.0,0.733189046382904,0.18128293752670288,0.3364465534687042,0.2811764180660248,0.1826142966747284
church,0.1944202184677124,0.16039738059043884,0.14373718202114105,0.18924258649349213,0.15768741071224213,0.3079429268836975,0.23846197128295898,0.20494024455547333,0.21350137889385223,0.21793946623802185,0.18081501126289368
and,0.31309178471565247,0.48576638102531433,0.4671151638031006,0.15831619501113892,0.30740299820899963,0.5116966962814331,0.5171257257461548,0.21982228755950928,0.2586982250213623,0.279930055141449,0.20544172823429108
society,0.23231269419193268,0.16677267849445343,0.10151374340057373,0.1985912173986435,0.2584497928619385,0.23646748065948486,0.2789285480976105,0.15534190833568573,0.2855362296104431,0.19535629451274872,0.1373005360364914
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2088543325662613,0.22888998687267303,0.4946078956127167,0.4933079481124878,0.1953766793012619,0.2052883803844452,0.23388497531414032,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.4671151638031006,0.15831619501113892,0.30740299820899963,0.5116966962814331,0.5171257257461548,0.21982228755950928,0.2586982250213623,0.279930055141449,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.3133983910083771,0.2745959758758545,0.733189046382904,1.0,0.21262750029563904,0.3302684724330902,0.27709540724754333,0.22068053483963013
united,0.20036718249320984,0.16919764876365662,0.23953400552272797,0.26370716094970703,0.13039088249206543,0.3187655806541443,0.34367692470550537,0.1928277611732483,0.20569546520709991,0.26968854665756226,0.17266890406608582
methodist,0.17637217044830322,0.14794334769248962,0.13993379473686218,0.18008221685886383,0.15034092962741852,0.28458893299102783,0.21922016143798828,0.2650960683822632,0.14800116419792175,0.25153112411499023,0.1436992734670639
women,0.14828920364379883,0.20756962895393372,0.19912496209144592,0.14383696019649506,0.25956830382347107,0.22431409358978271,0.279754102230072,0.34567075967788696,0.26044467091560364,0.18963487446308136,0.1616753786802292
.,0.3567904531955719,0.3452940285205841,0.3524959683418274,0.2367454320192337,0.253254771232605,0.5352458953857422,0.5934505462646484,0.23154163360595703,0.27306726574897766,0.20060032606124878,0.4130953550338745
