,what,type,of,architecture,is,the,palace,of,four,windows,an,impressive,example,of,?
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.15788985788822174,0.35393038392066956,0.33289089798927307,0.17869748175144196,0.35032153129577637,0.18616169691085815,0.13600216805934906,0.286407470703125,0.10898695141077042,0.23614145815372467,0.35032153129577637,0.40561532974243164
1712–1721,0.1729518175125122,0.05204750597476959,0.14694561064243317,0.06774080544710159,0.12582941353321075,0.15658962726593018,0.05024902522563934,0.14694561064243317,0.10194358974695206,0.049639742821455,0.07463912665843964,-0.01822381466627121,0.09486310184001923,0.14694561064243317,0.2180241048336029
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.1656959503889084,0.37732169032096863,0.3456730246543884,0.18446725606918335,0.3680361211299896,0.21153751015663147,0.16548429429531097,0.2873353958129883,0.1327899545431137,0.26101627945899963,0.3680361211299896,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2120368629693985,0.4691906273365021,0.4933079481124878,0.2317083179950714,0.4946078956127167,0.31238991022109985,0.21705366671085358,0.3581022024154663,0.24559259414672852,0.3094974756240845,0.4946078956127167,0.31091248989105225
palace,0.17891965806484222,0.03219127282500267,0.223849356174469,0.2988702058792114,0.16243064403533936,0.25955939292907715,0.9999999403953552,0.223849356174469,0.07336460053920746,0.2128368616104126,0.0803745836019516,0.17312876880168915,0.14144782721996307,0.223849356174469,0.14965219795703888
of,0.33290785551071167,0.18112817406654358,1.0,0.2756515443325043,0.4854315221309662,0.733189046382904,0.223849356174469,1.0,0.36293646693229675,0.1744781881570816,0.32280945777893066,0.2346878945827484,0.3570667505264282,1.0,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.5823672413825989,1.0,0.25955939292907715,0.733189046382904,0.40344667434692383,0.23561708629131317,0.4207492768764496,0.2336897850036621,0.3755223751068115,0.733189046382904,0.22068053483963013
four,0.18057085573673248,0.09843834489583969,0.36293646693229675,0.10156914591789246,0.22331103682518005,0.40344667434692383,0.07336460053920746,0.36293646693229675,1.0,0.13641156256198883,0.17310436069965363,0.21933826804161072,0.1994842290878296,0.36293646693229675,0.14532537758350372
winds,0.18654604256153107,0.11227087676525116,0.21783238649368286,0.11931367218494415,0.2068391889333725,0.2427695244550705,0.14366447925567627,0.21783238649368286,0.1890632063150406,0.24043135344982147,0.1677519679069519,0.21214045584201813,0.14201034605503082,0.21783238649368286,0.1398162990808487
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.15788985788822174,0.35393038392066956,0.33289089798927307,0.17869748175144196,0.35032153129577637,0.18616169691085815,0.13600216805934906,0.286407470703125,0.10898695141077042,0.23614145815372467,0.35032153129577637,0.40561532974243164
1730s,0.10198938846588135,0.07876221835613251,0.1452457159757614,0.10284595936536789,0.12103362381458282,0.12745186686515808,0.126377671957016,0.1452457159757614,0.14386045932769775,0.12409943342208862,0.07733616232872009,0.10605809837579727,0.060865674167871475,0.1452457159757614,0.17433367669582367
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.1656959503889084,0.37732169032096863,0.3456730246543884,0.18446725606918335,0.3680361211299896,0.21153751015663147,0.16548429429531097,0.2873353958129883,0.1327899545431137,0.26101627945899963,0.3680361211299896,0.42300865054130554
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2369556725025177,0.3859752118587494,0.5171257257461548,0.20294713973999023,0.5116966962814331,0.34700489044189453,0.22030679881572723,0.2838519215583801,0.31109392642974854,0.35305824875831604,0.5116966962814331,0.20544172823429108
visitationist,0.1840675175189972,0.05416298285126686,0.15501369535923004,0.1987724006175995,0.12351153790950775,0.10659616440534592,0.1445021629333496,0.15501369535923004,0.08310393244028091,0.14322766661643982,0.1333070993423462,0.1946621686220169,0.12035908550024033,0.15501369535923004,0.22494906187057495
church,0.1944202184677124,0.06279973685741425,0.3079429268836975,0.2578176259994507,0.203276589512825,0.23846197128295898,0.24142658710479736,0.3079429268836975,0.13445700705051422,0.24999910593032837,0.09629998356103897,0.16192780435085297,0.19024835526943207,0.3079429268836975,0.18081501126289368
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.15788985788822174,0.35393038392066956,0.33289089798927307,0.17869748175144196,0.35032153129577637,0.18616169691085815,0.13600216805934906,0.286407470703125,0.10898695141077042,0.23614145815372467,0.35032153129577637,0.40561532974243164
façade,0.15778933465480804,0.18305981159210205,0.28033289313316345,0.4080846607685089,0.2789967358112335,0.33251336216926575,0.3857133388519287,0.28033289313316345,0.1953260451555252,0.3289075195789337,0.14090034365653992,0.27223414182662964,0.2622382342815399,0.28033289313316345,0.14144746959209442
1728–1761,0.1024843230843544,0.054388027638196945,0.08319205045700073,0.001251012203283608,-0.01873611845076084,0.022131752222776413,-0.0358927883207798,0.08319205045700073,0.11132407188415527,0.050856996327638626,0.016944920644164085,-0.016539260745048523,0.06482095271348953,0.08319205045700073,0.10769426077604294
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.1656959503889084,0.37732169032096863,0.3456730246543884,0.18446725606918335,0.3680361211299896,0.21153751015663147,0.16548429429531097,0.2873353958129883,0.1327899545431137,0.26101627945899963,0.3680361211299896,0.42300865054130554
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21623484790325165,0.4569662809371948,0.5934505462646484,0.21039699018001556,0.5352458953857422,0.3278861939907074,0.26358747482299805,0.3581749200820923,0.238035649061203,0.41217929124832153,0.5352458953857422,0.4130953550338745
