,what,type,of,gradients,are,formed,by,faulting,and,other,deformational,processes,?
material,0.2591213285923004,0.2429523766040802,0.27520954608917236,0.31858524680137634,0.25142809748649597,0.17999596893787384,0.21369655430316925,0.306710422039032,0.2923409640789032,0.28948065638542175,0.5324932932853699,0.40919163823127747,0.18117131292819977
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.24480228126049042,0.268924742937088,0.18750394880771637,0.33887791633605957,0.2253275364637375,0.4077630043029785,0.3410046398639679,0.19935128092765808,0.2015998214483261,0.2714994251728058
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2503424286842346,0.40399202704429626,0.28813210129737854,0.4408751428127289,0.33618512749671936,0.5171257257461548,0.44152235984802246,0.2852557897567749,0.24400095641613007,0.22068053483963013
rock,0.1923677921295166,0.18739546835422516,0.2653365731239319,0.20464105904102325,0.2232755869626999,0.30323678255081177,0.20411992073059082,0.2917264997959137,0.2808155119419098,0.22192974388599396,0.38165396451950073,0.17910726368427277,0.13172835111618042
unit,0.175853431224823,0.17089927196502686,0.26649972796440125,0.3490220606327057,0.12694822251796722,0.1733090877532959,0.17769382894039154,0.12826794385910034,0.19952000677585602,0.15970627963542938,0.26312339305877686,0.20469419658184052,0.09069886058568954
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.32246679067611694,0.45265161991119385,0.2487153261899948,0.37496164441108704,0.3472122251987457,0.4731321930885315,0.5570666193962097,0.35333186388015747,0.37169188261032104,0.32716336846351624
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.19594094157218933,0.5330929756164551,0.22319979965686798,0.3899846076965332,0.23367339372634888,0.3859752118587494,0.25895947217941284,0.2965068817138672,0.2330985814332962,0.22961433231830597
increasing,0.2066856026649475,0.16410207748413086,0.3524707853794098,0.3741219937801361,0.26778411865234375,0.16159798204898834,0.23900435864925385,0.32039254903793335,0.30800607800483704,0.3242090940475464,0.3838377892971039,0.3529707193374634,0.0681626945734024
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.16120393574237823,0.3841303884983063,0.27325257658958435,0.370934396982193,0.2113267481327057,0.4954058527946472,0.39989137649536133,0.289739727973938,0.216048464179039,0.20430970191955566
elevation,0.21449920535087585,0.15433061122894287,0.24209721386432648,0.4243968725204468,0.18328958749771118,0.07937126606702805,0.17370328307151794,0.30085158348083496,0.2266416847705841,0.17640773952007294,0.25871017575263977,0.15359139442443848,0.1759966015815735
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2844057083129883,0.3504326641559601,0.15433534979820251,0.33534231781959534,0.22172848880290985,0.48971283435821533,0.4193183183670044,0.32348737120628357,0.3017963469028473,0.29463258385658264
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.31450214982032776,0.5556803941726685,0.14147688448429108,0.43158695101737976,0.25414177775382996,0.41766801476478577,0.4629868268966675,0.3499510586261749,0.3484317362308502,0.3324260413646698
eroded,0.23620808124542236,0.11723530292510986,0.28028666973114014,0.3595156669616699,0.23681530356407166,0.3934718668460846,0.18613967299461365,0.46780115365982056,0.2837766110897064,0.1896056830883026,0.46991991996765137,0.3092834949493408,0.1318357139825821
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.17920589447021484,0.37842893600463867,0.2924628257751465,1.0000001192092896,0.25732314586639404,0.4289871156215668,0.3321913778781891,0.21791309118270874,0.18670718371868134,0.17966607213020325
hillslopes,0.16618666052818298,0.13406985998153687,0.2604420781135559,0.33711469173431396,0.21358546614646912,0.18614503741264343,0.15947876870632172,0.3252541124820709,0.3336925804615021,0.16668236255645752,0.2527760863304138,0.13128241896629333,0.11989292502403259
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.261011004447937,0.48576638102531433,0.27619341015815735,0.4289871156215668,0.2939407229423523,1.0,0.5504306554794312,0.3293050527572632,0.267813503742218,0.20544172823429108
channels,0.1923084557056427,0.12117748707532883,0.17560617625713348,0.37228846549987793,0.26991578936576843,0.1718909740447998,0.2033657431602478,0.20491337776184082,0.2887432873249054,0.2746264636516571,0.28380483388900757,0.2730017304420471,0.19657258689403534
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24666668474674225,0.3452940285205841,0.2737641930580139,0.3936232924461365,0.21441270411014557,0.588965117931366,0.41511186957359314,0.28461572527885437,0.2279362976551056,0.4130953550338745
