,what,is,the,name,of,the,village,that,once,existed,in,what,is,now,downtown,jacksonville,?
now,0.4903225302696228,0.39589470624923706,0.38266420364379883,0.26047030091285706,0.29182544350624084,0.38266420364379883,0.27538901567459106,0.4135645031929016,0.45269647240638733,0.31979677081108093,0.3619694113731384,0.4903225302696228,0.39589470624923706,1.0,0.24487659335136414,0.15667501091957092,0.29641881585121155
downtown,0.1348404437303543,0.21999821066856384,0.2602716088294983,0.09688074886798859,0.21455974876880646,0.2602716088294983,0.29862701892852783,0.1801929473876953,0.1756092756986618,0.09966938942670822,0.2716291546821594,0.1348404437303543,0.21999821066856384,0.24487659335136414,1.0,0.3532394468784332,0.15638743340969086
jacksonville,0.14578714966773987,0.1726600080728531,0.2176690250635147,0.1122477576136589,0.23084138333797455,0.2176690250635147,0.2338554412126541,0.20063675940036774,0.17005150020122528,0.11010325700044632,0.22147351503372192,0.14578714966773987,0.1726600080728531,0.15667501091957092,0.3532394468784332,1.0000001192092896,0.1359667330980301
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01776505447924137,0.054534342139959335,0.09152708947658539,0.015805892646312714,0.0633435994386673,0.05131974816322327,0.1538214087486267,0.092739537358284,0.10986888408660889,0.05324986204504967,0.023384051397442818,0.06655969470739365,0.021351194009184837,0.10349778085947037
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.30142447352409363,0.45148900151252747,0.6274310946464539,0.1742817759513855,0.6909449696540833,0.406941682100296,0.3076931834220886,0.45205554366111755,0.5489566326141357,0.480927973985672,0.3934882581233978,0.15446637570858002,0.16077223420143127,0.3155723512172699
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.1821857988834381,0.26447007060050964,0.2694292366504669,0.10453581064939499,0.4234136641025543,0.22763441503047943,0.15874674916267395,0.3424151837825775,0.25739946961402893,0.322792649269104,0.24189937114715576,0.13869112730026245,0.20775948464870453,0.2768254578113556
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19639723002910614,0.33904364705085754,0.4248143136501312,0.10863963514566422,0.6036020517349243,0.41816776990890503,0.25289157032966614,0.3481820821762085,0.3929833769798279,0.4819129705429077,0.30492115020751953,0.11822254955768585,0.15647046267986298,0.3324260413646698
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2579529881477356,0.5473989248275757,0.4227895736694336,0.32677435874938965,0.6662389636039734,0.42745697498321533,0.5823672413825989,0.38266420364379883,0.2602716088294983,0.2176690250635147,0.22068053483963013
earliest,0.23163363337516785,0.22056961059570312,0.32825469970703125,0.2005222737789154,0.33267632126808167,0.32825469970703125,0.07453259825706482,0.32193127274513245,0.16382844746112823,0.39763569831848145,0.3064194619655609,0.23163363337516785,0.22056961059570312,0.22303254902362823,0.0877077728509903,0.07817574590444565,0.139415442943573
recorded,0.17687608301639557,0.19766312837600708,0.2759207487106323,0.13981635868549347,0.21896186470985413,0.2759207487106323,0.1639680415391922,0.20419296622276306,0.15232449769973755,0.2589894235134125,0.27585887908935547,0.17687608301639557,0.19766312837600708,0.1343807429075241,0.19453087449073792,0.2532455623149872,0.19213420152664185
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,1.0,0.24075818061828613,0.3171212375164032,0.18061859905719757,0.27224332094192505,0.1921044886112213,0.2418062388896942,0.2459065467119217,0.18623162806034088,0.3359788954257965,0.26047030091285706,0.09688074886798859,0.1122477576136589,0.15381577610969543
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.12414687871932983,0.4137635827064514,0.33554747700691223,0.17577916383743286,0.4322226941585541,0.3017193675041199,0.43268078565597534,0.3636377453804016,0.20918835699558258,0.28549739718437195,0.264628142118454
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.15823085606098175,1.0,0.4772558808326721,0.38545387983322144,0.435920387506485,0.6297725439071655,0.3995479643344879,0.4135645031929016,0.1801929473876953,0.20063675940036774,0.32716336846351624
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.3409860134124756,0.37834644317626953,0.3224872946739197,0.2566552460193634,0.2564235031604767,0.20086680352687836,0.33632898330688477,0.21965408325195312,0.29283958673477173,0.29446619749069214,0.37015464901924133,0.24562028050422668,0.12640461325645447
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.2327665090560913,0.4460422694683075,0.32454150915145874,0.2577754259109497,0.5591574311256409,0.3567904531955719,0.4569662809371948,0.36271902918815613,0.2247719168663025,0.2843366861343384,0.4130953550338745
