,how,many,yards,was,the,pass,on,the,first,drive,?
peyton,0.22435155510902405,0.11402659863233566,0.4152722656726837,0.30385082960128784,0.2709864377975464,0.1886221468448639,0.22488318383693695,0.2709864377975464,0.32774636149406433,0.19708479940891266,0.17519715428352356
manning,0.2318497896194458,0.17441397905349731,0.5283294916152954,0.2607507109642029,0.27058160305023193,0.28301873803138733,0.25339728593826294,0.27058160305023193,0.28783273696899414,0.22187665104866028,0.15856626629829407
completing,0.247789666056633,0.15097075700759888,0.3723149001598358,0.2271517664194107,0.31240642070770264,0.287808895111084,0.2377978414297104,0.31240642070770264,0.29783621430397034,0.18532748520374298,0.08928072452545166
an,0.2520636022090912,0.2465583086013794,0.06639155745506287,0.3694365322589874,0.4207492768764496,0.13785582780838013,0.3192969560623169,0.4207492768764496,0.29757723212242126,0.17218853533267975,0.19793890416622162
18-yard,0.2332107424736023,0.18664827942848206,0.5328497886657715,0.27004536986351013,0.28322163224220276,0.26059654355049133,0.20890937745571136,0.28322163224220276,0.26389503479003906,0.26356470584869385,0.11260943114757538
pass,0.23911701142787933,0.16345158219337463,0.3559992015361786,0.1040167361497879,0.25961899757385254,1.0000001192092896,0.13331516087055206,0.25961899757385254,0.15373601019382477,0.23804372549057007,0.09478675574064255
to,0.44169697165489197,0.40243685245513916,0.1612969934940338,0.3636345863342285,0.535392165184021,0.28446894884109497,0.41031414270401,0.535392165184021,0.3792489171028137,0.291306734085083,0.29463258385658264
tight,0.20633608102798462,0.19672416150569916,0.29764363169670105,0.1397293508052826,0.20536431670188904,0.21210485696792603,0.16327978670597076,0.20536431670188904,0.08648060262203217,0.1743941456079483,0.11662518978118896
end,0.2481066733598709,0.2364911139011383,0.24791282415390015,0.19220198690891266,0.39658910036087036,0.23464839160442352,0.2773675322532654,0.39658910036087036,0.33590564131736755,0.18270590901374817,0.12543344497680664
owen,0.13251161575317383,0.09563110023736954,0.2053900510072708,0.23597665131092072,0.1796451061964035,0.06594211608171463,0.10876773297786713,0.1796451061964035,0.12576042115688324,0.15752431750297546,0.13738884031772614
daniels,0.1647731214761734,0.158938467502594,0.19288486242294312,0.23338744044303894,0.15338526666164398,0.14080967009067535,0.21221841871738434,0.15338526666164398,0.15428030490875244,0.09440670907497406,0.1694222241640091
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.3740963041782379,0.5171257257461548,0.2433357536792755,0.4077630043029785,0.5171257257461548,0.3167642652988434,0.19344621896743774,0.20544172823429108
a,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.4508470594882965,0.5829201340675354,0.19894953072071075,0.3848365545272827,0.5829201340675354,0.4287874400615692,0.24929353594779968,0.23916715383529663
22-yard,0.24700313806533813,0.1935359686613083,0.5280565023422241,0.26437994837760925,0.28675422072410583,0.26091286540031433,0.21493513882160187,0.28675422072410583,0.2607995569705963,0.25979065895080566,0.11066537350416183
throw,0.2576785087585449,0.2092486023902893,0.3343540132045746,0.13368454575538635,0.23050227761268616,0.2638188898563385,0.167329341173172,0.23050227761268616,0.1578618884086609,0.26898080110549927,0.2296752780675888
to,0.44169697165489197,0.40243685245513916,0.1612969934940338,0.3636345863342285,0.535392165184021,0.28446894884109497,0.41031414270401,0.535392165184021,0.3792489171028137,0.291306734085083,0.29463258385658264
receiver,0.1772366464138031,0.14212487637996674,0.3680224120616913,0.18964196741580963,0.21850530803203583,0.31649863719940186,0.21347767114639282,0.21850530803203583,0.1665439009666443,0.265044242143631,0.11587938666343689
andre,0.09486669301986694,0.1343906670808792,0.1868240237236023,0.29026690125465393,0.17126552760601044,0.09553732722997665,0.19648993015289307,0.17126552760601044,0.2060879021883011,0.20468245446681976,0.09964141994714737
caldwell,0.15315671265125275,0.15672312676906586,0.25303295254707336,0.2174016535282135,0.1637139618396759,0.12075827270746231,0.1281428039073944,0.1637139618396759,0.18589641153812408,0.15630647540092468,0.20924519002437592
.,0.3287222981452942,0.3974229395389557,0.17664551734924316,0.40146201848983765,0.5934505462646484,0.1901644617319107,0.49257001280784607,0.5934505462646484,0.4345304071903229,0.21262511610984802,0.4130953550338745
