,what,is,the,conventional,method,to,measure,the,rhine,?
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.3703201115131378,0.26479217410087585,0.5345056653022766,0.3194787800312042,0.6521818041801453,0.18744276463985443,0.25814583897590637
runs,0.17057748138904572,0.30176323652267456,0.30832576751708984,0.10150747746229172,0.06780233234167099,0.16705270111560822,0.11802289634943008,0.30832576751708984,0.24514833092689514,0.08094297349452972
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17549508810043335,0.15187986195087433,0.4069952368736267,0.16865527629852295,0.40150508284568787,0.2181936800479889,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.24935786426067352,0.21624743938446045,0.535392165184021,0.2528008222579956,1.0,0.30735138058662415,0.22068053483963013
old,0.22117848694324493,0.24332627654075623,0.31849798560142517,0.13416895270347595,0.14159798622131348,0.2412436157464981,0.06004263833165169,0.31849798560142517,0.18212221562862396,0.20577076077461243
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.11510846763849258,0.10124748945236206,0.1736302673816681,0.1548519879579544,0.30735138058662415,1.0,0.13754533231258392
bridge,0.16739098727703094,0.1899378001689911,0.27692803740501404,0.06368955969810486,0.15192574262619019,0.21516349911689758,0.0860995426774025,0.27692803740501404,0.2627650499343872,0.1396101862192154
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.18088704347610474,0.12359891831874847,0.36524343490600586,0.1993730217218399,0.457212895154953,0.19469857215881348,0.21978627145290375
constance,0.143944650888443,0.2383592426776886,0.23177717626094818,0.1824110597372055,0.09976059198379517,0.22332163155078888,0.19141915440559387,0.23177717626094818,0.33406126499176025,0.1427515298128128
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10585328936576843,0.11551257222890854,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.12381801009178162,0.40561532974243164
0,0.05378047749400139,-0.013776509091258049,0.06647186726331711,0.054919540882110596,0.026501260697841644,0.03345681354403496,-0.02377748303115368,0.06647186726331711,0.019290808588266373,0.0436553880572319
km,0.1805391013622284,0.24258680641651154,0.21376769244670868,0.11425557732582092,0.06800907850265503,0.19593966007232666,0.20828932523727417,0.21376769244670868,0.22496221959590912,0.08180338144302368
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1256992667913437,0.1312859058380127,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.12686386704444885,0.42300865054130554
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.32108715176582336,0.2593044936656952,1.0,0.2774736285209656,0.535392165184021,0.1736302673816681,0.29463258385658264
hoek,0.15890797972679138,0.19093236327171326,0.24397946894168854,0.12682665884494781,0.16238130629062653,0.20419399440288544,0.16317079961299896,0.24397946894168854,0.43599072098731995,0.15933550894260406
van,0.1477201133966446,0.13741689920425415,0.13541297614574432,0.12156910449266434,0.09405607730150223,0.198682501912117,0.0874355286359787,0.13541297614574432,0.2172645628452301,0.15528257191181183
holland,0.17794691026210785,0.12953487038612366,0.21247440576553345,0.13855336606502533,0.08177738636732101,0.22386394441127777,0.15292909741401672,0.21247440576553345,0.374037504196167,0.14312024414539337
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10585328936576843,0.11551257222890854,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.12381801009178162,0.40561532974243164
1036.20,-0.007560857571661472,0.030597753822803497,0.079269178211689,0.15092089772224426,0.18503358960151672,0.03761889412999153,0.07630611211061478,0.079269178211689,0.04667671024799347,-0.020128324627876282
km,0.1805391013622284,0.24258680641651154,0.21376769244670868,0.11425557732582092,0.06800907850265503,0.19593966007232666,0.20828932523727417,0.21376769244670868,0.22496221959590912,0.08180338144302368
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1256992667913437,0.1312859058380127,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.12686386704444885,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.16788171231746674,0.18224337697029114,0.4645031690597534,0.23919615149497986,0.5934505462646484,0.2089352011680603,0.4130953550338745
