,the,amazon,rainforest,makes,up,what,amount,of,earth,'s,rainforests,?
",",0.4933079481124878,0.2214922308921814,0.2737860679626465,0.2926395535469055,0.34193792939186096,0.3087472915649414,0.21125462651252747,0.4946078956127167,0.23186853528022766,-0.0016132977325469255,0.2829539477825165,0.31091248989105225
with,0.4223487675189972,0.21287250518798828,0.19804547727108002,0.33933931589126587,0.38676461577415466,0.2464839518070221,0.30051055550575256,0.41827285289764404,0.21692633628845215,-0.04624466598033905,0.2140469253063202,0.2433311939239502
an,0.4207492768764496,0.16257908940315247,0.15750433504581451,0.158767431974411,0.2649265229701996,0.2821882665157318,0.25767290592193604,0.32280945777893066,0.15274131298065186,0.025255560874938965,0.15730693936347961,0.19793890416622162
estimated,0.29184040427207947,0.23130109906196594,0.28021517395973206,0.18712382018566132,0.20904439687728882,0.19670580327510834,0.36823832988739014,0.30473583936691284,0.2257169485092163,-0.008634808473289013,0.2981201410293579,0.18149758875370026
390,-0.04787406697869301,0.0032490515150129795,0.014381338842213154,-0.10554543137550354,-0.09066924452781677,-0.004997712559998035,-0.16804717481136322,-0.03995900973677635,-0.06919204443693161,0.1185620129108429,0.015832236036658287,-0.01989002525806427
billion,0.2162325382232666,0.17508448660373688,0.2022421509027481,0.16378533840179443,0.23394712805747986,0.262668639421463,0.3692147135734558,0.19335569441318512,0.337089866399765,0.05775096267461777,0.20776815712451935,0.25791820883750916
individual,0.3706541955471039,0.2123917043209076,0.14879731833934784,0.21941763162612915,0.2357223480939865,0.34021541476249695,0.32749274373054504,0.3372420072555542,0.11834341287612915,0.007690947037190199,0.17827124893665314,0.2058374285697937
trees,0.27618899941444397,0.2303711175918579,0.5446608066558838,0.22230121493339539,0.30216309428215027,0.18814536929130554,0.18114207684993744,0.241034597158432,0.2607162296772003,0.019250985234975815,0.6031209826469421,0.11582431197166443
divided,0.34601110219955444,0.12280678749084473,0.17512468993663788,0.09665068238973618,0.22385302186012268,0.2138991504907608,0.18012236058712006,0.37450557947158813,0.10853902995586395,0.054587963968515396,0.1980900913476944,0.10190024226903915
into,0.39493247866630554,0.13842037320137024,0.1185043603181839,0.253490686416626,0.38173696398735046,0.2180619090795517,0.2708504796028137,0.32255905866622925,0.1798887848854065,0.00961404386907816,0.13239635527133942,0.15662476420402527
"16,000",0.052542198449373245,-0.0610855370759964,-0.15198281407356262,0.052463799715042114,0.012872284278273582,0.06033626198768616,0.053692832589149475,0.031820375472307205,-0.053293466567993164,0.02364761009812355,-0.18688252568244934,0.22946134209632874
species,0.2522439956665039,0.2994495630264282,0.477342426776886,0.17038536071777344,0.1282709538936615,0.14617158472537994,0.19653964042663574,0.23307405412197113,0.21207286417484283,0.050785817205905914,0.5327847003936768,0.1957087516784668
.,0.5934505462646484,0.262887567281723,0.25713270902633667,0.265095978975296,0.351434588432312,0.3567904531955719,0.24893930554389954,0.5352458953857422,0.2542925775051117,-0.003708066651597619,0.25197991728782654,0.4130953550338745
