,what,is,an,example,of,a,virus,that,uses,antigenic,variation,?
proteins,0.21361225843429565,0.2132607400417328,0.1525825411081314,0.27391332387924194,0.2195783406496048,0.23701471090316772,0.4552195370197296,0.2839849293231964,0.18703795969486237,0.5478929877281189,0.24319323897361755,0.18469302356243134
on,0.34226128458976746,0.3635730445384979,0.3192969560623169,0.22160455584526062,0.3966929316520691,0.3848365545272827,0.2029065042734146,0.42569106817245483,0.25390690565109253,0.15895836055278778,0.18855442106723785,0.2714994251728058
its,0.30393704771995544,0.4447362422943115,0.28139030933380127,0.2870608866214752,0.48690423369407654,0.4424409866333008,0.18076978623867035,0.416561484336853,0.2619383633136749,0.2403525859117508,0.24750737845897675,0.15103481709957123
viral,0.16982226073741913,0.19604195654392242,0.1925792396068573,0.24081525206565857,0.222082257270813,0.25432437658309937,0.6620286703109741,0.2846206724643707,0.13702867925167084,0.5071359276771545,0.1938719004392624,0.15731066465377808
envelope,0.14903582632541656,0.21563409268856049,0.18086285889148712,0.2886960208415985,0.19630347192287445,0.28372722864151,0.3849468231201172,0.2204013168811798,0.2439822107553482,0.3768901824951172,0.2761691212654114,0.10840974003076553
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.47537946701049805,0.2604392468929291,1.0,0.31664198637008667,0.26960402727127075,0.2502545714378357,0.32716336846351624
are,0.29724663496017456,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.265255331993103,0.19019201397895813,0.45265161991119385,0.3289667069911957,0.23501430451869965,0.24836713075637817,0.24591213464736938
essential,0.26907849311828613,0.23025840520858765,0.2063976377248764,0.2890285849571228,0.3107908368110657,0.22568123042583466,0.13977761566638947,0.3308117985725403,0.2676251530647278,0.37683865427970886,0.19902797043323517,0.17944687604904175
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.44038116931915283,0.17482690513134003,0.4137635827064514,0.39873167872428894,0.2234664112329483,0.25241565704345703,0.264628142118454
entry,0.23903775215148926,0.20053718984127045,0.19467324018478394,0.17754623293876648,0.19316929578781128,0.21248941123485565,0.12354157865047455,0.2283642441034317,0.15193134546279907,0.18760931491851807,0.16853119432926178,0.21010564267635345
into,0.2180619090795517,0.2619607150554657,0.2105669528245926,0.23142142593860626,0.32255905866622925,0.3461161255836487,0.1986774057149887,0.3239944875240326,0.25726988911628723,0.15548589825630188,0.1344425529241562,0.15662476420402527
its,0.30393704771995544,0.4447362422943115,0.28139030933380127,0.2870608866214752,0.48690423369407654,0.4424409866333008,0.18076978623867035,0.416561484336853,0.2619383633136749,0.2403525859117508,0.24750737845897675,0.15103481709957123
host,0.12779991328716278,0.18300022184848785,0.20832303166389465,0.12215152382850647,0.1709926575422287,0.1733594834804535,0.28802552819252014,0.18125994503498077,0.10720883309841156,0.26743966341018677,0.15245138108730316,0.1021634042263031
target,0.22247901558876038,0.1898431032896042,0.1860780566930771,0.21466591954231262,0.15346646308898926,0.1994335651397705,0.2234245091676712,0.21144841611385345,0.22335697710514069,0.3069940507411957,0.2241297960281372,0.24974246323108673
cell,0.19222842156887054,0.15086454153060913,0.1520475447177887,0.2104582041501999,0.18332023918628693,0.21525812149047852,0.3282600939273834,0.24500271677970886,0.21248121559619904,0.43358558416366577,0.24174010753631592,0.2058541625738144
are,0.29724663496017456,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.265255331993103,0.19019201397895813,0.45265161991119385,0.3289667069911957,0.23501430451869965,0.24836713075637817,0.24591213464736938
constantly,0.31931227445602417,0.16246221959590912,0.13411574065685272,0.22764883935451508,0.23180225491523743,0.2379549890756607,0.14489023387432098,0.4138106107711792,0.1896708905696869,0.23394323885440826,0.19027477502822876,0.191866934299469
changing,0.34731432795524597,0.25595417618751526,0.23201613128185272,0.3747490346431732,0.2740551233291626,0.299060195684433,0.12918105721473694,0.41552701592445374,0.3369956910610199,0.2350311428308487,0.2897951900959015,0.2747461497783661
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.20257869362831116,0.4460422694683075,0.30030930042266846,0.24028097093105316,0.2556132972240448,0.4130953550338745
