,what,are,some,examples,of,undesirable,end,results,of,a,project,?
financial,0.1900392472743988,0.1316729336977005,0.22777806222438812,0.1018645241856575,0.30178552865982056,0.22433044016361237,0.15327675640583038,0.2550869584083557,0.30178552865982056,0.2513774335384369,0.21852874755859375,0.06444920599460602
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
estimating,0.3120756447315216,0.2717536985874176,0.31367671489715576,0.22553430497646332,0.30003389716148376,0.3382779061794281,0.155081644654274,0.3805880546569824,0.30003389716148376,0.2597377598285675,0.17459328472614288,0.2326103150844574
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.35639533400535583,0.5116966962814331,0.26392877101898193,0.24708716571331024,0.21643486618995667,0.5116966962814331,0.3739250600337982,0.23249590396881104,0.20544172823429108
legal,0.26388198137283325,0.15840981900691986,0.30176857113838196,0.16714507341384888,0.2720220685005188,0.3163193166255951,0.10576511174440384,0.16240592300891876,0.2720220685005188,0.24255292117595673,0.21099784970283508,0.2143220454454422
considerations,0.33581599593162537,0.3040275573730469,0.37319713830947876,0.34785333275794983,0.31738394498825073,0.387675404548645,0.16230341792106628,0.34810590744018555,0.31738394498825073,0.25780433416366577,0.31058934330940247,0.32653504610061646
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
many,0.36131182312965393,0.5655534863471985,0.7976660132408142,0.44614723324775696,0.37253960967063904,0.3292764127254486,0.2364911139011383,0.23472784459590912,0.37253960967063904,0.2872205972671509,0.19170600175857544,0.2124512493610382
projects,0.28646913170814514,0.31792762875556946,0.30619850754737854,0.21986767649650574,0.21610960364341736,0.2760377824306488,0.1704993098974228,0.26497599482536316,0.21610960364341736,0.21870890259742737,0.7827755212783813,0.3193145990371704
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,0.3054686188697815,1.0,0.29529741406440735,0.2215006798505783,0.19509612023830414,1.0,0.5052502155303955,0.17578177154064178,0.1826142966747284
varying,0.2707297205924988,0.3945391774177551,0.45977792143821716,0.3509226441383362,0.3185745179653168,0.4555424451828003,0.14169566333293915,0.2577085793018341,0.3185745179653168,0.24639753997325897,0.12905336916446686,0.14919932186603546
sizes,0.24140392243862152,0.40432482957839966,0.36350688338279724,0.3593406677246094,0.2508186995983124,0.23045408725738525,0.14181168377399445,0.24407082796096802,0.2508186995983124,0.21844254434108734,0.06863804906606674,0.19520455598831177
reach,0.23399507999420166,0.22842340171337128,0.2265619933605194,0.12882690131664276,0.20552729070186615,0.18595059216022491,0.26043716073036194,0.2111329287290573,0.20552729070186615,0.19834883511066437,0.16790243983268738,0.13152138888835907
undesirable,0.3479127287864685,0.3820435702800751,0.40069976449012756,0.3233855366706848,0.29529741406440735,1.0,0.17554925382137299,0.2636917233467102,0.29529741406440735,0.24318495392799377,0.20154307782649994,0.29893165826797485
end,0.29234179854393005,0.18067817389965057,0.22784072160720825,0.1882542222738266,0.2215006798505783,0.17554925382137299,1.0,0.21772699058055878,0.2215006798505783,0.28924596309661865,0.18564964830875397,0.12543344497680664
results,0.2425258755683899,0.24356640875339508,0.24404628574848175,0.2863020598888397,0.19509612023830414,0.2636917233467102,0.21772699058055878,1.0,0.19509612023830414,0.2899290919303894,0.20286503434181213,0.21797199547290802
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.6118295192718506,0.5161488652229309,0.3209529519081116,0.39897534251213074,0.17651818692684174,0.19607990980148315,0.3209529519081116,0.2706976532936096,0.15285636484622955,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.4293700158596039,0.325487345457077,0.3886612355709076,0.3450290262699127,0.23417671024799347,0.19246900081634521,0.3886612355709076,0.39550232887268066,0.22332392632961273,0.27043893933296204
structural,0.19746112823486328,0.22905494272708893,0.258747935295105,0.24029558897018433,0.23907262086868286,0.3369614779949188,0.0519828200340271,0.27816376090049744,0.23907262086868286,0.2698476314544678,0.24383163452148438,0.1448175609111786
collapse,0.24220240116119385,0.11400406807661057,0.17770472168922424,0.19048838317394257,0.26751232147216797,0.2883196771144867,0.265661358833313,0.22829781472682953,0.26751232147216797,0.2268700748682022,0.1505865901708603,0.11913932114839554
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
cost,0.210266575217247,0.21638384461402893,0.28152012825012207,0.17212694883346558,0.23332229256629944,0.1917467713356018,0.19037114083766937,0.2294539213180542,0.23332229256629944,0.21993719041347504,0.25715333223342896,0.17823095619678497
overruns,0.16817238926887512,0.14254184067249298,0.16959252953529358,0.17055176198482513,0.18159611523151398,0.131767138838768,0.2541578710079193,0.16639016568660736,0.18159611523151398,0.21011239290237427,0.20044761896133423,0.17810197174549103
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
and/or,0.26439139246940613,0.3490902781486511,0.39449381828308105,0.25197693705558777,0.2572663724422455,0.42063412070274353,0.14732059836387634,0.244382843375206,0.2572663724422455,0.2459508180618286,0.2105793058872223,0.24081800878047943
litigation,0.27199646830558777,0.16915711760520935,0.22258229553699493,0.22598399221897125,0.254637748003006,0.3453223407268524,0.12873288989067078,0.3365861773490906,0.254637748003006,0.2588404417037964,0.23622891306877136,0.2390962690114975
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.28905922174453735,0.5352458953857422,0.2728259265422821,0.26526886224746704,0.2516312897205353,0.5352458953857422,0.50484299659729,0.23938670754432678,0.4130953550338745
