,what,was,the,ratio,of,british,settler,to,french,?
ranged,0.16069062054157257,0.22788681089878082,0.2715573310852051,0.20589610934257507,0.3088494539260864,0.14228194952011108,0.11522875726222992,0.2728334665298462,0.07697848975658417,0.11487069725990295
along,0.22421957552433014,0.24175575375556946,0.39495137333869934,0.038273707032203674,0.34889817237854004,0.17407596111297607,0.21230168640613556,0.2976071536540985,0.08793354034423828,0.17134909331798553
the,0.42745697498321533,0.48711544275283813,1.0,0.22872252762317657,0.733189046382904,0.28973397612571716,0.23537814617156982,0.535392165184021,0.2555147111415863,0.22068053483963013
eastern,0.2263268083333969,0.23346775770187378,0.3928247392177582,0.025114234536886215,0.33281487226486206,0.1847427636384964,0.23558108508586884,0.1750476211309433,0.15053091943264008,0.20060817897319794
coast,0.2200622260570526,0.23369400203227997,0.28366661071777344,-0.03251853212714195,0.2811681628227234,0.23003612458705902,0.27413347363471985,0.23308983445167542,0.1332508772611618,0.15869849920272827
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23306086659431458,1.0,0.23701532185077667,0.2102622389793396,0.41548454761505127,0.19450366497039795,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.22872252762317657,0.733189046382904,0.28973397612571716,0.23537814617156982,0.535392165184021,0.2555147111415863,0.22068053483963013
continent,0.23903432488441467,0.19089169800281525,0.3139871060848236,0.1974962055683136,0.2647381126880646,0.2522932291030884,0.22275248169898987,0.21310271322727203,0.2093314379453659,0.17592057585716248
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20825648307800293,0.4946078956127167,0.25734075903892517,0.2876359820365906,0.44245919585227966,0.28806620836257935,0.31091248989105225
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.12092190235853195,0.4249346852302551,0.21991202235221863,0.17341214418411255,0.4069952368736267,0.19660584628582,0.19969791173934937
nova,0.17516832053661346,0.14939220249652863,0.16876175999641418,0.05671710520982742,0.16898924112319946,0.22182250022888184,0.2261245846748352,0.10374868661165237,0.17582763731479645,0.11942808330059052
scotia,0.17493435740470886,0.17474716901779175,0.18287070095539093,0.11468386650085449,0.2089451402425766,0.2812920808792114,0.2955636978149414,0.1393740475177765,0.20548264682292938,0.10058031976222992
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20358969271183014,0.5116966962814331,0.325880765914917,0.22407804429531097,0.48971283435821533,0.32751965522766113,0.20544172823429108
newfoundland,0.19349335134029388,0.25614580512046814,0.2759992182254791,0.11511334031820297,0.24454477429389954,0.3333395719528198,0.3462231457233429,0.22854454815387726,0.2606041729450226,0.12898945808410645
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.14171719551086426,0.5696388483047485,0.23084034025669098,0.24986819922924042,0.45010748505592346,0.22093388438224792,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.22872252762317657,0.733189046382904,0.28973397612571716,0.23537814617156982,0.535392165184021,0.2555147111415863,0.22068053483963013
north,0.18673177063465118,0.29020047187805176,0.36298373341560364,0.15285927057266235,0.3604778051376343,0.2482547163963318,0.24244673550128937,0.2743184268474579,0.14223402738571167,0.11829731613397598
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20825648307800293,0.4946078956127167,0.25734075903892517,0.2876359820365906,0.44245919585227966,0.28806620836257935,0.31091248989105225
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21343077719211578,0.41548454761505127,0.22690963745117188,0.26195257902145386,1.0,0.1713797152042389,0.29463258385658264
georgia,0.2098073810338974,0.19615234434604645,0.22469212114810944,0.1324065774679184,0.22799049317836761,0.16110754013061523,0.1376110017299652,0.18951797485351562,0.12196515500545502,0.14345775544643402
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.14171719551086426,0.5696388483047485,0.23084034025669098,0.24986819922924042,0.45010748505592346,0.22093388438224792,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.22872252762317657,0.733189046382904,0.28973397612571716,0.23537814617156982,0.535392165184021,0.2555147111415863,0.22068053483963013
south,0.15388517081737518,0.2792486846446991,0.3129390776157379,0.13736969232559204,0.33382371068000793,0.26024845242500305,0.22568568587303162,0.25657615065574646,0.18581080436706543,0.12336621433496475
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24431298673152924,0.5352458953857422,0.23159366846084595,0.21112394332885742,0.4645031690597534,0.2480926215648651,0.4130953550338745
