,what,were,the,conditions,for,miners,in,the,gold,fields,in,victoria,?
at,0.2838611304759979,0.2947486639022827,0.457212895154953,0.19586089253425598,0.34237727522850037,0.19255401194095612,0.4374977946281433,0.457212895154953,0.22118139266967773,0.13652274012565613,0.4374977946281433,0.19641181826591492,0.21978627145290375
buckland,0.12679535150527954,0.25389689207077026,0.2706074118614197,0.1305042952299118,0.2048507034778595,0.262802392244339,0.25448256731033325,0.2706074118614197,0.2895452678203583,0.19690392911434174,0.25448256731033325,0.34784409403800964,0.14224427938461304
valley,0.15729281306266785,0.14935101568698883,0.2923165559768677,0.15008284151554108,0.1760607212781906,0.2525745928287506,0.2723499834537506,0.2923165559768677,0.17354466021060944,0.10521338880062103,0.2723499834537506,0.24660730361938477,0.11486150324344635
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.2580132484436035,0.4322226941585541,0.25962114334106445,1.0,0.6662389636039734,0.21206732094287872,0.19709080457687378,1.0,0.20823122560977936,0.20430970191955566
1854,0.10041122883558273,0.12179926782846451,0.18093430995941162,0.08457176387310028,0.1616218090057373,0.13723480701446533,0.08061579614877701,0.18093430995941162,-0.0469035878777504,0.06794856488704681,0.08061579614877701,0.05913751572370529,0.08305927366018295
killed,0.1862335354089737,0.3441145420074463,0.23115427792072296,0.1577870398759842,0.1274932473897934,0.27909934520721436,0.1957504004240036,0.23115427792072296,0.11968300491571426,0.11817841231822968,0.1957504004240036,0.11646578460931778,0.17928971350193024
over,0.28007611632347107,0.30589473247528076,0.39856547117233276,0.2507016956806183,0.3419422209262848,0.14174970984458923,0.3605569899082184,0.39856547117233276,0.14181938767433167,0.1493593156337738,0.3605569899082184,0.18112502992153168,0.25742942094802856
"1,000",0.012389501556754112,0.1812327653169632,0.13923996686935425,0.12381818890571594,0.05050254985690117,0.22441813349723816,0.1234334334731102,0.13923996686935425,0.11633574962615967,0.023060044273734093,0.1234334334731102,0.21481703221797943,0.02905043587088585
miners,0.1860436499118805,0.34333986043930054,0.25137653946876526,0.2266293317079544,0.19721613824367523,1.0000001192092896,0.25962114334106445,0.25137653946876526,0.39578977227211,0.1869921237230301,0.25962114334106445,0.3050108850002289,0.13432356715202332
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.17719176411628723,0.4726039469242096,0.17927470803260803,0.5591574311256409,0.5934505462646484,0.22364865243434906,0.23414810001850128,0.5591574311256409,0.23069117963314056,0.4130953550338745
