,what,was,the,objective,of,royal,proclamation,of,1763,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.2363714575767517,0.3966929316520691,0.17692488431930542,0.2100495547056198,0.3966929316520691,0.04609140008687973,0.2714994251728058
october,0.24927909672260284,0.4627581834793091,0.2621108889579773,0.16780179738998413,0.20846129953861237,0.12348801642656326,0.24723586440086365,0.20846129953861237,-0.016759010031819344,0.29706719517707825
7,-0.1699475795030594,0.002381215337663889,-0.1142377033829689,-0.05572482571005821,-0.04983885586261749,-0.008731197565793991,0.0016634289640933275,-0.04983885586261749,-0.10364428907632828,-0.15092156827449799
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2312176525592804,0.4946078956127167,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
1763,0.10448963940143585,-0.025243915617465973,0.08999345451593399,0.07813166826963425,0.15998519957065582,0.10489785671234131,0.06008606776595116,0.15998519957065582,0.9999999403953552,0.1296161562204361
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2312176525592804,0.4946078956127167,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.2687441408634186,0.5011631846427917,0.210358664393425,0.2718118727207184,0.5011631846427917,0.09034387022256851,0.25814583897590637
outlined,0.3126813471317291,0.16625121235847473,0.26685938239097595,0.39368611574172974,0.3017116189002991,0.10002146661281586,0.26081934571266174,0.3017116189002991,0.17772112786769867,0.29497575759887695
the,0.42745697498321533,0.48711544275283813,1.0,0.24117743968963623,0.733189046382904,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
division,0.19144181907176971,0.2174251824617386,0.26203617453575134,0.22456982731819153,0.23579144477844238,0.1744089424610138,0.17558032274246216,0.23579144477844238,0.13245472311973572,0.08900629729032516
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2286345213651657,0.5116966962814331,0.24934640526771545,0.20539095997810364,0.5116966962814331,0.10948607325553894,0.20544172823429108
administration,0.2483910471200943,0.2510780692100525,0.3083578944206238,0.2282717525959015,0.3326551914215088,0.17545512318611145,0.2653917968273163,0.3326551914215088,0.15898992121219635,0.14283715188503265
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2389526516199112,1.0,0.3112924098968506,0.31100159883499146,1.0,0.15998519957065582,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.24117743968963623,0.733189046382904,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
newly,0.16360709071159363,0.39056387543678284,0.35828328132629395,0.13204887509346008,0.28144341707229614,0.21082596480846405,0.2965877056121826,0.28144341707229614,0.04664931818842888,0.08549588173627853
conquered,0.2095409482717514,0.3453977108001709,0.3127642273902893,0.10847797244787216,0.30313581228256226,0.1890246421098709,0.34177008271217346,0.30313581228256226,0.12772047519683838,0.12499574571847916
territory,0.21338070929050446,0.20208659768104553,0.3000710904598236,0.18719039857387543,0.27564212679862976,0.20942986011505127,0.40019580721855164,0.27564212679862976,0.1559188961982727,0.09435105323791504
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2312176525592804,0.4946078956127167,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2286345213651657,0.5116966962814331,0.24934640526771545,0.20539095997810364,0.5116966962814331,0.10948607325553894,0.20544172823429108
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.3260341286659241,0.41548454761505127,0.20404569804668427,0.2827853858470917,0.41548454761505127,0.045962318778038025,0.29463258385658264
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.27139684557914734,0.4300730526447296,0.1758628636598587,0.2166525274515152,0.4300730526447296,0.18114645779132843,0.2562315762042999
extent,0.369102418422699,0.14524349570274353,0.2727625370025635,0.3434427082538605,0.31072598695755005,0.10327038913965225,0.2664291560649872,0.31072598695755005,0.16642789542675018,0.1940663903951645
continues,0.27419164776802063,0.2473796010017395,0.3452514410018921,0.14465084671974182,0.2937655746936798,0.11097217351198196,0.21086741983890533,0.2937655746936798,-0.04065665975213051,0.13186512887477875
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.3260341286659241,0.41548454761505127,0.20404569804668427,0.2827853858470917,0.41548454761505127,0.045962318778038025,0.29463258385658264
govern,0.3158789873123169,0.1750207245349884,0.2840098738670349,0.2854151129722595,0.33577802777290344,0.2105325609445572,0.3379892408847809,0.33577802777290344,0.12625423073768616,0.20213767886161804
relations,0.184731587767601,0.21032914519309998,0.2259310483932495,0.2797485291957855,0.272710919380188,0.0931183248758316,0.21677899360656738,0.272710919380188,0.09347885102033615,0.13942402601242065
between,0.2462156116962433,0.24048170447349548,0.39067012071609497,0.1712426394224167,0.3737983703613281,0.21500776708126068,0.18872258067131042,0.3737983703613281,0.08422501385211945,0.12887074053287506
the,0.42745697498321533,0.48711544275283813,1.0,0.24117743968963623,0.733189046382904,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
government,0.28074538707733154,0.2995857298374176,0.31798112392425537,0.2365078330039978,0.3475167155265808,0.26952195167541504,0.3924456834793091,0.3475167155265808,0.11776736378669739,0.18851417303085327
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2389526516199112,1.0,0.3112924098968506,0.31100159883499146,1.0,0.15998519957065582,0.1826142966747284
modern,0.2655639946460724,0.23571695387363434,0.3283970355987549,0.20556116104125977,0.3482828736305237,0.18202458322048187,0.18113067746162415,0.3482828736305237,0.08638934046030045,0.12475407868623734
canada,0.19760756194591522,0.22200681269168854,0.2934837341308594,0.11962480843067169,0.24765145778656006,0.21515390276908875,0.226512148976326,0.24765145778656006,0.14497675001621246,0.15722735226154327
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2286345213651657,0.5116966962814331,0.24934640526771545,0.20539095997810364,0.5116966962814331,0.10948607325553894,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.24117743968963623,0.733189046382904,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.2130497694015503,0.3536086082458496,0.2593725025653839,0.2527916133403778,0.3536086082458496,0.06998663395643234,0.18701928853988647
nations,0.19211222231388092,0.2097785323858261,0.3506215214729309,0.21435707807540894,0.27521562576293945,0.1989007294178009,0.3782905042171478,0.27521562576293945,0.17278233170509338,0.20999202132225037
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2545163035392761,0.5352458953857422,0.19540183246135712,0.23395371437072754,0.5352458953857422,0.14304909110069275,0.4130953550338745
