,what,makes,the,method,of,trial,division,more,efficient,?
primes,0.2505246102809906,0.21957945823669434,0.22359657287597656,0.2809801697731018,0.22199293971061707,0.255437433719635,0.18738104403018951,0.2567965090274811,0.31529828906059265,0.18851876258850098
up,0.28591108322143555,0.29712793231010437,0.38423117995262146,0.16453085839748383,0.32945773005485535,0.2229202836751938,0.20626451075077057,0.2851726710796356,0.2160661220550537,0.1819818764925003
to,0.455847829580307,0.35811367630958557,0.535392165184021,0.2593044936656952,0.41548454761505127,0.24072450399398804,0.20332986116409302,0.47084665298461914,0.29811713099479675,0.29463258385658264
is,0.28837618231773376,0.4565773010253906,0.5823672413825989,0.21948537230491638,0.4854315221309662,0.17689630389213562,0.20176531374454498,0.2946030795574188,0.19970080256462097,0.22961433231830597
known—then,0.3476306200027466,0.3504284620285034,0.45131582021713257,0.34451013803482056,0.42354854941368103,0.17383787035942078,0.16685371100902557,0.3011799454689026,0.3222789764404297,0.3014066219329834
trial,0.2327587604522705,0.10380572825670242,0.20843634009361267,0.20169848203659058,0.18292099237442017,1.0000001192092896,0.12774761021137238,0.1228238046169281,0.1668306142091751,0.16902455687522888
divisions,0.2232685685157776,0.1184178963303566,0.3125615119934082,0.1153225526213646,0.3138268291950226,0.0811002254486084,0.8454943895339966,0.1788056343793869,0.19671085476875305,0.14903524518013
need,0.39420950412750244,0.3128662705421448,0.2594960331916809,0.29123058915138245,0.24285943806171417,0.1821073293685913,0.10702139139175415,0.4469633102416992,0.4423290193080902,0.40413710474967957
to,0.455847829580307,0.35811367630958557,0.535392165184021,0.2593044936656952,0.41548454761505127,0.24072450399398804,0.20332986116409302,0.47084665298461914,0.29811713099479675,0.29463258385658264
be,0.3929833769798279,0.2906492352485657,0.4248143136501312,0.22966717183589935,0.33904364705085754,0.19706737995147705,0.1233353540301323,0.5445363521575928,0.35431450605392456,0.3324260413646698
checked,0.3782845735549927,0.1714041531085968,0.2880535125732422,0.20224083960056305,0.19662323594093323,0.2013125866651535,0.0594094917178154,0.32040268182754517,0.2113933116197586,0.35257798433303833
only,0.41415658593177795,0.33109843730926514,0.5497692227363586,0.2736222743988037,0.49632513523101807,0.20874743163585663,0.1942228227853775,0.46864160895347595,0.32444337010383606,0.2767370045185089
for,0.3017193675041199,0.3219717741012573,0.4739971458911896,0.2842181324958801,0.4185989499092102,0.22232824563980103,0.20737119019031525,0.3891189992427826,0.3053904175758362,0.264628142118454
those,0.44466671347618103,0.2743385136127472,0.42861196398735046,0.2329450100660324,0.37935635447502136,0.13873526453971863,0.10141477733850479,0.4783404469490051,0.2800123691558838,0.3328189253807068
m,0.23871465027332306,0.11385245621204376,0.15156042575836182,0.1193779930472374,0.14254631102085114,0.1259698122739792,0.0917077586054802,0.16869670152664185,0.1403811126947403,0.2618667185306549
that,0.6297725439071655,0.3599291145801544,0.5473989248275757,0.29335150122642517,0.41498205065727234,0.2280535250902176,0.17438095808029175,0.4813884496688843,0.3503778278827667,0.32716336846351624
are,0.29724663496017456,0.36780422925949097,0.40399202704429626,0.18370844423770905,0.39081433415412903,0.10512949526309967,0.1811521351337433,0.4066504240036011,0.2638756036758423,0.24591213464736938
prime,0.15586113929748535,0.12590813636779785,0.19960100948810577,0.1629989594221115,0.23935265839099884,0.20228107273578644,0.17371009290218353,0.14785826206207275,0.17393915355205536,0.11276303976774216
.,0.3567904531955719,0.265095978975296,0.5934505462646484,0.18224337697029114,0.5352458953857422,0.2123202234506607,0.27855971455574036,0.4070230722427368,0.2178027182817459,0.4130953550338745
