,the,s-ivb-200,was,used,in,what,stage,of,the,saturn,v,?
s-iv,0.2148948460817337,0.30499061942100525,0.12520286440849304,0.1629476249217987,0.22218894958496094,0.15345528721809387,0.09111697971820831,0.28569579124450684,0.2148948460817337,0.17763440310955048,0.22200524806976318,0.1491595357656479
with,0.4223487675189972,0.1382216513156891,0.27411898970603943,0.3047430217266083,0.4080928862094879,0.2464839518070221,0.1076672300696373,0.41827285289764404,0.4223487675189972,0.15670639276504517,0.14314915239810944,0.2433311939239502
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
s-ivb-200,0.25528669357299805,0.9999998807907104,0.20327790081501007,0.12696589529514313,0.18696007132530212,0.13471461832523346,0.07601434737443924,0.3188033401966095,0.25528669357299805,0.1459134817123413,0.04540039971470833,0.008521830663084984
",",0.4933079481124878,0.17869305610656738,0.45456063747406006,0.3120402991771698,0.5201468467712402,0.3087472915649414,0.2630990147590637,0.4946078956127167,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.31091248989105225
powered,0.20832712948322296,0.08827827125787735,0.2140408158302307,0.3773634135723114,0.150293231010437,0.14330388605594635,0.11829198151826859,0.15550124645233154,0.20832712948322296,0.19338534772396088,0.2077493965625763,0.16842906177043915
by,0.4408751428127289,0.1756623387336731,0.4752357602119446,0.27705541253089905,0.370934396982193,0.2455483376979828,0.173556387424469,0.3646814823150635,0.4408751428127289,0.21302473545074463,0.11988817155361176,0.17966607213020325
a,0.5829201340675354,0.19485880434513092,0.4508470594882965,0.3864384889602661,0.539380669593811,0.3320399522781372,0.2036506086587906,0.5052502155303955,0.5829201340675354,0.20805643498897552,0.21861357986927032,0.23916715383529663
single,0.29338565468788147,0.13045558333396912,0.22785933315753937,0.21151064336299896,0.23017926514148712,0.24458327889442444,0.20931552350521088,0.22455744445323944,0.29338565468788147,0.12241511791944504,0.12705649435520172,0.2151121199131012
j-2,0.013214903883635998,0.06122735142707825,-0.08051107078790665,-0.05366756394505501,0.019018519669771194,0.02584894374012947,-0.008365928195416927,0.015867799520492554,0.013214903883635998,-0.05248960480093956,-0.06471648812294006,-0.04414217546582222
engine,0.21651263535022736,0.1080869659781456,0.205611914396286,0.21100758016109467,0.18885408341884613,0.18463268876075745,0.18058733642101288,0.17095594108104706,0.21651263535022736,0.2404942810535431,0.28612491488456726,0.17739196121692657
burning,0.2821531891822815,0.020185204222798347,0.18665166199207306,0.2594258189201355,0.25352632999420166,0.21885274350643158,0.13819655776023865,0.26340749859809875,0.2821531891822815,0.19669675827026367,0.1507200002670288,0.18033187091350555
liquid,0.25047987699508667,0.07407686114311218,0.1491771787405014,0.33176282048225403,0.19967526197433472,0.24017377197742462,0.1848597228527069,0.2296105921268463,0.25047987699508667,0.3324160575866699,0.1921212077140808,0.18412289023399353
hydrogen,0.20406323671340942,0.017444025725126266,0.1364523321390152,0.2741106450557709,0.1982225924730301,0.19052310287952423,0.18116271495819092,0.2024032324552536,0.20406323671340942,0.3193531632423401,0.15294583141803741,0.14590126276016235
fuel,0.18534968793392181,0.03622126579284668,0.16905204951763153,0.2885347604751587,0.17527905106544495,0.1848171502351761,0.22075459361076355,0.18857792019844055,0.18534968793392181,0.22032539546489716,0.11867022514343262,0.10583324730396271
with,0.4223487675189972,0.1382216513156891,0.27411898970603943,0.3047430217266083,0.4080928862094879,0.2464839518070221,0.1076672300696373,0.41827285289764404,0.4223487675189972,0.15670639276504517,0.14314915239810944,0.2433311939239502
lox,0.12060867249965668,0.04868878796696663,0.11743463575839996,0.08932673186063766,0.13201813399791718,0.18635359406471252,0.1578444391489029,0.023397840559482574,0.12060867249965668,0.2433287352323532,0.06848156452178955,0.2652103304862976
",",0.4933079481124878,0.17869305610656738,0.45456063747406006,0.3120402991771698,0.5201468467712402,0.3087472915649414,0.2630990147590637,0.4946078956127167,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.31091248989105225
to,0.535392165184021,0.17562733590602875,0.3636345863342285,0.40058770775794983,0.45010748505592346,0.455847829580307,0.1484832912683487,0.41548454761505127,0.535392165184021,0.18787172436714172,0.2109750658273697,0.29463258385658264
produce,0.23457570374011993,0.07028273493051529,0.1402507871389389,0.35044559836387634,0.21160131692886353,0.1685742735862732,0.15689212083816528,0.19541172683238983,0.23457570374011993,0.18665434420108795,0.17888106405735016,0.19229066371917725
"200,000",0.11895683407783508,0.15452760457992554,0.1483195573091507,-0.07661005854606628,0.04889736324548721,-0.016068685799837112,0.22905822098255157,0.1260930597782135,0.11895683407783508,0.14179572463035583,0.09180458635091782,-0.020140642300248146
lbf,0.22945675253868103,0.0808497741818428,0.1944907158613205,0.3213808238506317,0.16893279552459717,0.19555744528770447,0.14484742283821106,0.20131079852581024,0.22945675253868103,0.199800506234169,0.22208595275878906,0.25105881690979004
(,0.33289089798927307,0.05691876262426376,0.2980341613292694,0.19005385041236877,0.3087427020072937,0.2411840260028839,0.21330693364143372,0.35032153129577637,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.40561532974243164
890,-0.0457124337553978,0.046013787388801575,0.0634574294090271,-0.10307227075099945,0.054612044245004654,-0.013890407979488373,-0.06508180499076843,-0.03809375688433647,-0.0457124337553978,-0.004934358410537243,-0.004573156591504812,0.015041227452456951
kn,0.12718795239925385,0.14278282225131989,0.13641974329948425,0.20767197012901306,0.09522516280412674,0.18303970992565155,0.1370285451412201,0.144547700881958,0.12718795239925385,0.11088479310274124,0.17889504134655,0.22977566719055176
),0.3456730246543884,0.06244101747870445,0.3267642855644226,0.1905621439218521,0.3326910734176636,0.26259949803352356,0.24287325143814087,0.3680361211299896,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.42300865054130554
of,0.733189046382904,0.3188033401966095,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.33290785551071167,0.1389172226190567,1.0,0.733189046382904,0.19011574983596802,0.1655031144618988,0.1826142966747284
thrust,0.28476181626319885,0.06675950437784195,0.18145988881587982,0.2509884536266327,0.17720508575439453,0.22513122856616974,0.16727915406227112,0.17752546072006226,0.28476181626319885,0.2821305990219116,0.189153790473938,0.1531757265329361
.,0.5934505462646484,0.17049555480480194,0.40146201848983765,0.33111312985420227,0.5591574311256409,0.3567904531955719,0.19994208216667175,0.5352458953857422,0.5934505462646484,0.23308148980140686,0.2973858416080475,0.4130953550338745
