,what,natural,resources,did,the,chinese,government,have,a,monopoly,on,?
",",0.3087472915649414,0.30864179134368896,0.2789028584957123,0.3015086054801941,0.4933079481124878,0.2697280943393707,0.27344048023223877,0.3541618287563324,0.427140474319458,0.20304374396800995,0.49057599902153015,0.31091248989105225
expanding,0.34628334641456604,0.13627924025058746,0.3124074935913086,0.2432718724012375,0.3361387550830841,0.17728270590305328,0.18264679610729218,0.365938276052475,0.2764478623867035,0.16897375881671906,0.24212369322776794,0.23633244633674622
the,0.42745697498321533,0.2291368842124939,0.25734785199165344,0.34736719727516174,1.0,0.2785343527793884,0.31798112392425537,0.40389683842658997,0.5829201340675354,0.21333852410316467,0.5107308030128479,0.22068053483963013
circulation,0.21046042442321777,0.11087235063314438,0.18704012036323547,0.17273609340190887,0.3190516233444214,0.1334303766489029,0.24299126863479614,0.23325146734714508,0.23213990032672882,0.2599630355834961,0.2725929915904999,0.13670851290225983
of,0.33290785551071167,0.2963479459285736,0.2746381163597107,0.2513895630836487,0.733189046382904,0.24275560677051544,0.3475167155265808,0.3802283704280853,0.5052502155303955,0.23683126270771027,0.3966929316520691,0.1826142966747284
paper,0.21202662587165833,0.14424322545528412,0.17676988244056702,0.2034338414669037,0.2077420949935913,0.22238871455192566,0.20377087593078613,0.20417985320091248,0.25947141647338867,0.22337904572486877,0.22461584210395813,0.12693770229816437
money,0.2704482674598694,0.13494263589382172,0.33387240767478943,0.3498571217060089,0.2699695825576782,0.15339109301567078,0.41245928406715393,0.26669734716415405,0.2777978479862213,0.4413761496543884,0.20461611449718475,0.2069680541753769
",",0.3087472915649414,0.30864179134368896,0.2789028584957123,0.3015086054801941,0.4933079481124878,0.2697280943393707,0.27344048023223877,0.3541618287563324,0.427140474319458,0.20304374396800995,0.49057599902153015,0.31091248989105225
and,0.31309178471565247,0.3004496097564697,0.3116118013858795,0.34479495882987976,0.5171257257461548,0.25892454385757446,0.2859337627887726,0.4711785912513733,0.3739250600337982,0.21548062562942505,0.4077630043029785,0.20544172823429108
maintaining,0.22433091700077057,0.1815364509820938,0.3904557526111603,0.20162416994571686,0.2943509817123413,0.1654680371284485,0.28484079241752625,0.3388018012046814,0.27454259991645813,0.23923678696155548,0.2587033808231354,0.20531877875328064
the,0.42745697498321533,0.2291368842124939,0.25734785199165344,0.34736719727516174,1.0,0.2785343527793884,0.31798112392425537,0.40389683842658997,0.5829201340675354,0.21333852410316467,0.5107308030128479,0.22068053483963013
traditional,0.20066824555397034,0.163823664188385,0.15778730809688568,0.17380854487419128,0.25703898072242737,0.3516996502876282,0.2621394097805023,0.23721662163734436,0.27521875500679016,0.23883308470249176,0.14103850722312927,0.1327509582042694
monopolies,0.2790897786617279,0.2474088966846466,0.40208396315574646,0.2751792073249817,0.2704170048236847,0.2003674954175949,0.4136779010295868,0.311550110578537,0.24020607769489288,0.8438251614570618,0.18921403586864471,0.1726057529449463
on,0.34226128458976746,0.23858477175235748,0.24799394607543945,0.2670976221561432,0.5107308030128479,0.13115563988685608,0.19216017425060272,0.36494916677474976,0.3848365545272827,0.14486052095890045,0.9999999403953552,0.2714994251728058
salt,0.13511420786380768,0.2279188334941864,0.25752800703048706,0.09193624556064606,0.21347543597221375,0.11029600352048874,0.14096704125404358,0.1817280352115631,0.21912558376789093,0.1814528852701187,0.17973268032073975,0.14733973145484924
and,0.31309178471565247,0.3004496097564697,0.3116118013858795,0.34479495882987976,0.5171257257461548,0.25892454385757446,0.2859337627887726,0.4711785912513733,0.3739250600337982,0.21548062562942505,0.4077630043029785,0.20544172823429108
iron,0.1444280743598938,0.14155898988246918,0.17997929453849792,0.1165860965847969,0.27578672766685486,0.12256909906864166,0.1079152524471283,0.19015184044837952,0.25579822063446045,0.15101014077663422,0.18591929972171783,0.1309053897857666
.,0.3567904531955719,0.25792330503463745,0.2478848099708557,0.35288307070732117,0.5934505462646484,0.25441038608551025,0.2521961033344269,0.41614407300949097,0.50484299659729,0.18464542925357819,0.49257001280784607,0.4130953550338745
