,what,is,the,fee,range,for,accessing,bskyb,'s,epg,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.23766779899597168,0.23913569748401642,0.44038116931915283,0.22333747148513794,0.21951700747013092,0.04866964742541313,0.2869597375392914,0.23916715383529663
satellite,0.17739586532115936,0.19278542697429657,0.22563834488391876,0.1375889927148819,0.16424202919006348,0.25187191367149353,0.2458702176809311,0.26426976919174194,0.1227913498878479,0.17214317619800568,0.13568443059921265
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.20591585338115692,0.2296077460050583,0.34237727522850037,0.23837430775165558,0.17143747210502625,-0.08481216430664062,0.21572010219097137,0.21978627145290375
28°,-0.11898916959762573,-0.06560411304235458,-0.18610413372516632,-0.12095043808221817,-0.24223291873931885,-0.10816019773483276,-0.06627067178487778,0.12644892930984497,0.06935852020978928,-0.04705742374062538,0.026402702555060387
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.1621786206960678,0.18670614063739777,0.20268000662326813,0.16092272102832794,0.22199784219264984,0.05105345696210861,0.2103915959596634,0.10070597380399704
is,0.28837618231773376,1.0,0.5823672413825989,0.15024368464946747,0.2467041313648224,0.43268078565597534,0.20916542410850525,0.20114660263061523,0.02396530658006668,0.2193833440542221,0.22961433231830597
entitled,0.3050041198730469,0.18727818131446838,0.2671615183353424,0.15743616223335266,0.11330808699131012,0.20909465849399567,0.20893031358718872,0.17112816870212555,-0.030087033286690712,0.25783777236938477,0.2216128408908844
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.22855731844902039,0.2767433524131775,0.4451248347759247,0.3447229564189911,0.16040074825286865,0.03782717138528824,0.21278905868530273,0.29463258385658264
access,0.2685140371322632,0.21022571623325348,0.22827552258968353,0.2898331582546234,0.2744109034538269,0.2941345274448395,0.7325279712677002,0.14199985563755035,0.05526097118854523,0.19828881323337555,0.2482174038887024
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.22855731844902039,0.2767433524131775,0.4451248347759247,0.3447229564189911,0.16040074825286865,0.03782717138528824,0.21278905868530273,0.29463258385658264
bskyb,0.17457032203674316,0.20114660263061523,0.20915858447551727,0.19436532258987427,0.16164971888065338,0.16577120125293732,0.19504481554031372,1.0000001192092896,0.046084970235824585,0.40907707810401917,0.2979319989681244
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.01646084524691105,-0.008888337761163712,-0.07241261005401611,0.006823992356657982,0.046084970235824585,0.9999999403953552,0.09085152298212051,-0.023395681753754616
epg,0.22331632673740387,0.2193833440542221,0.29304635524749756,0.19538035988807678,0.1448477953672409,0.1964137703180313,0.235370472073555,0.40907707810401917,0.09085152298212051,0.9999998807907104,0.23839257657527924
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.27223673462867737,0.2565288841724396,0.9999999403953552,0.3406729996204376,0.16577120125293732,-0.07241261005401611,0.1964137703180313,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.23766779899597168,0.23913569748401642,0.44038116931915283,0.22333747148513794,0.21951700747013092,0.04866964742541313,0.2869597375392914,0.23916715383529663
fee,0.15150974690914154,0.15024368464946747,0.17181991040706635,1.0,0.17519240081310272,0.27223673462867737,0.254428893327713,0.19436532258987427,0.01646084524691105,0.19538035988807678,0.13206739723682404
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1535777896642685,0.2808356285095215,0.4464869201183319,0.2667539119720459,0.2852807641029358,-0.0016132977325469255,0.2810800075531006,0.31091248989105225
ranging,0.20860125124454498,0.21603885293006897,0.23484160006046295,0.12503287196159363,0.5307356715202332,0.3083997666835785,0.31448087096214294,0.09618047624826431,0.10973159968852997,0.25725746154785156,0.09338733553886414
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.04777789115905762,0.2519944906234741,0.314039945602417,0.2394658476114273,0.12453003972768784,-0.01936490088701248,0.20806407928466797,0.19969791173934937
"£15–100,000",0.12521511316299438,0.09260419011116028,0.1428380310535431,0.007429876830428839,0.020432082936167717,0.16841544210910797,0.14719779789447784,0.08367934077978134,-0.045589059591293335,0.05809631198644638,0.11045166850090027
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.17511320114135742,0.25816646218299866,0.4726039469242096,0.28794461488723755,0.2844841778278351,-0.003708066651597619,0.3395307660102844,0.4130953550338745
