,when,a,commission,reached,no,decision,",",what,happened,?
colonies,0.25325432419776917,0.20623989403247833,0.20982873439788818,0.17554256319999695,0.09633862972259521,0.15985240042209625,0.23384660482406616,0.20822033286094666,0.2208404541015625,0.07886616140604019
in,0.4431333839893341,0.539380669593811,0.21326816082000732,0.24389809370040894,0.24372287094593048,0.2212151288986206,0.5201468467712402,0.30808621644973755,0.3302023410797119,0.20430970191955566
north,0.21003669500350952,0.25008413195610046,0.180671826004982,0.2164253443479538,0.0986899584531784,0.09336699545383453,0.31834840774536133,0.18673177063465118,0.21204768121242523,0.11829731613397598
america,0.21924224495887756,0.22012436389923096,0.14503416419029236,0.21587887406349182,0.13575398921966553,0.10579285025596619,0.253568559885025,0.2517423629760742,0.21097701787948608,0.19333907961845398
were,0.29649975895881653,0.17203083634376526,0.1886938214302063,0.27639803290367126,0.24298787117004395,0.21395370364189148,0.36755475401878357,0.22298263013362885,0.34330758452415466,0.17890112102031708
turned,0.32919174432754517,0.32632166147232056,0.05709892511367798,0.30373498797416687,0.22634509205818176,0.16242651641368866,0.321188747882843,0.22427117824554443,0.27112874388694763,0.130948007106781
over,0.36642953753471375,0.32199642062187195,0.18602511286735535,0.3253142833709717,0.20625729858875275,0.2858867943286896,0.3301127254962921,0.28007611632347107,0.33074915409088135,0.25742942094802856
to,0.5423505902290344,0.45503583550453186,0.24674905836582184,0.20677556097507477,0.30015695095062256,0.35372841358184814,0.44245919585227966,0.455847829580307,0.2299996316432953,0.29463258385658264
a,0.44397395849227905,1.0,0.18981990218162537,0.21212449669837952,0.26280897855758667,0.24091263115406036,0.427140474319458,0.3320399522781372,0.2774496078491211,0.23916715383529663
commission,0.19186250865459442,0.18981990218162537,0.9999998807907104,0.1162474974989891,0.16381441056728363,0.3325250744819641,0.19528092443943024,0.22273972630500793,0.18256618082523346,0.16231559216976166
to,0.5423505902290344,0.45503583550453186,0.24674905836582184,0.20677556097507477,0.30015695095062256,0.35372841358184814,0.44245919585227966,0.455847829580307,0.2299996316432953,0.29463258385658264
resolve,0.2604065537452698,0.21706615388393402,0.18342211842536926,0.19984973967075348,0.23355326056480408,0.3259955048561096,0.22104057669639587,0.34879636764526367,0.2757008969783783,0.35156041383743286
",",0.36674630641937256,0.427140474319458,0.19528092443943024,0.26771560311317444,0.29972612857818604,0.2818170189857483,1.0000001192092896,0.3087472915649414,0.3230119049549103,0.31091248989105225
but,0.5599016547203064,0.44750767946243286,0.1342308670282364,0.23915031552314758,0.3842293322086334,0.3032565712928772,0.48126736283302307,0.5029441118240356,0.39846014976501465,0.27921953797340393
it,0.4775012135505676,0.5452592968940735,0.2274378389120102,0.25675317645072937,0.25005611777305603,0.3083229064941406,0.48329564929008484,0.45803478360176086,0.3335137665271759,0.25732165575027466
reached,0.22692134976387024,0.21212449669837952,0.1162474974989891,0.9999998807907104,0.26971402764320374,0.19737641513347626,0.26771560311317444,0.20202487707138062,0.2717232406139374,0.1518019139766693
no,0.28761178255081177,0.26280897855758667,0.16381441056728363,0.26971402764320374,1.0,0.22718845307826996,0.29972612857818604,0.339326947927475,0.2360965758562088,0.32165053486824036
decision,0.2485322803258896,0.24091263115406036,0.3325250744819641,0.19737641513347626,0.22718845307826996,1.0,0.2818170189857483,0.32053670287132263,0.20623615384101868,0.2796577215194702
.,0.475719153881073,0.50484299659729,0.20309296250343323,0.2790040373802185,0.35224834084510803,0.3103445768356323,0.6812511086463928,0.3567904531955719,0.29012542963027954,0.4130953550338745
,when,a,commission,reached,no,decision,",",what,happened,?
frontiers,0.19637379050254822,0.18373948335647583,0.1768949031829834,0.1334107220172882,0.060776181519031525,0.16717581450939178,0.23605181276798248,0.2664355933666229,0.08223480731248856,0.15218432247638702
from,0.405669629573822,0.322764128446579,0.17546877264976501,0.18426786363124847,0.19692718982696533,0.2034977525472641,0.39760664105415344,0.2737620174884796,0.21165096759796143,0.19969791173934937
between,0.38258615136146545,0.29385313391685486,0.17447040975093842,0.2285044938325882,0.16708187758922577,0.13711562752723694,0.27714940905570984,0.2462156116962433,0.2955036163330078,0.12887074053287506
nova,0.13580960035324097,0.19121982157230377,0.09139570593833923,0.21244046092033386,0.11021516472101212,0.050967004150152206,0.220703586935997,0.17516832053661346,0.2818298041820526,0.11942808330059052
scotia,0.16809704899787903,0.195296049118042,0.138807475566864,0.23238562047481537,0.1343480348587036,0.0903477668762207,0.2063332051038742,0.17493435740470886,0.2563861012458801,0.10058031976222992
and,0.4716290831565857,0.3739250600337982,0.21015366911888123,0.19567863643169403,0.25880882143974304,0.20328959822654724,0.6633074283599854,0.31309178471565247,0.22602374851703644,0.20544172823429108
acadia,0.16655302047729492,0.23994113504886627,0.25221675634384155,0.17541775107383728,0.04174800589680672,0.14827798306941986,0.22877012193202972,0.15141341090202332,0.18429741263389587,0.05178680270910263
in,0.4431333839893341,0.539380669593811,0.21326816082000732,0.24389809370040894,0.24372287094593048,0.2212151288986206,0.5201468467712402,0.30808621644973755,0.3302023410797119,0.20430970191955566
the,0.5091903209686279,0.5829201340675354,0.24418850243091583,0.29860952496528625,0.3461136817932129,0.2905151844024658,0.4933079481124878,0.42745697498321533,0.3589572608470917,0.22068053483963013
north,0.21003669500350952,0.25008413195610046,0.180671826004982,0.2164253443479538,0.0986899584531784,0.09336699545383453,0.31834840774536133,0.18673177063465118,0.21204768121242523,0.11829731613397598
",",0.36674630641937256,0.427140474319458,0.19528092443943024,0.26771560311317444,0.29972612857818604,0.2818170189857483,1.0000001192092896,0.3087472915649414,0.3230119049549103,0.31091248989105225
to,0.5423505902290344,0.45503583550453186,0.24674905836582184,0.20677556097507477,0.30015695095062256,0.35372841358184814,0.44245919585227966,0.455847829580307,0.2299996316432953,0.29463258385658264
the,0.5091903209686279,0.5829201340675354,0.24418850243091583,0.29860952496528625,0.3461136817932129,0.2905151844024658,0.4933079481124878,0.42745697498321533,0.3589572608470917,0.22068053483963013
ohio,0.20791125297546387,0.1863771378993988,0.13859477639198303,0.15088829398155212,0.14585310220718384,0.1554085910320282,0.21788300573825836,0.10887482017278671,0.20159275829792023,0.10064033418893814
country,0.21558639407157898,0.20991116762161255,0.20965084433555603,0.14978435635566711,0.15192489326000214,0.23032574355602264,0.27878350019454956,0.22705033421516418,0.1859002560377121,0.12647280097007751
in,0.4431333839893341,0.539380669593811,0.21326816082000732,0.24389809370040894,0.24372287094593048,0.2212151288986206,0.5201468467712402,0.30808621644973755,0.3302023410797119,0.20430970191955566
the,0.5091903209686279,0.5829201340675354,0.24418850243091583,0.29860952496528625,0.3461136817932129,0.2905151844024658,0.4933079481124878,0.42745697498321533,0.3589572608470917,0.22068053483963013
south,0.18115942180156708,0.23680485785007477,0.19776849448680878,0.19263160228729248,0.11340241879224777,0.08311185985803604,0.3256652057170868,0.15388517081737518,0.15235735476016998,0.12336621433496475
",",0.36674630641937256,0.427140474319458,0.19528092443943024,0.26771560311317444,0.29972612857818604,0.2818170189857483,1.0000001192092896,0.3087472915649414,0.3230119049549103,0.31091248989105225
were,0.29649975895881653,0.17203083634376526,0.1886938214302063,0.27639803290367126,0.24298787117004395,0.21395370364189148,0.36755475401878357,0.22298263013362885,0.34330758452415466,0.17890112102031708
claimed,0.24380207061767578,0.19752803444862366,0.21018566191196442,0.28987592458724976,0.22570742666721344,0.26518261432647705,0.24827811121940613,0.2667301297187805,0.29682934284210205,0.2083493024110794
by,0.4376842677593231,0.32094135880470276,0.25094297528266907,0.1761910319328308,0.15267254412174225,0.28215938806533813,0.3680937886238098,0.2455483376979828,0.18945316970348358,0.17966607213020325
both,0.435994029045105,0.3171786069869995,0.1542520374059677,0.21648575365543365,0.26046016812324524,0.2232784479856491,0.38080528378486633,0.3361809551715851,0.2511557638645172,0.19455738365650177
sides,0.2709439694881439,0.22939197719097137,0.15488222241401672,0.25700700283050537,0.22278554737567902,0.1666828840970993,0.23060621321201324,0.2306775599718094,0.25404465198516846,0.09230148047208786
.,0.475719153881073,0.50484299659729,0.20309296250343323,0.2790040373802185,0.35224834084510803,0.3103445768356323,0.6812511086463928,0.3567904531955719,0.29012542963027954,0.4130953550338745
