,who,designed,the,entrance,hall,and,rotunda,?
victoria,0.1687670201063156,0.1088889017701149,0.2204313427209854,0.2001611590385437,0.24876244366168976,0.24507255852222443,0.29391226172447205,0.12246892601251602
above,0.1116432398557663,0.12021158635616302,0.33988961577415466,0.19681398570537567,0.11600779742002487,0.2363634556531906,0.20990291237831116,0.2521739900112152
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
frame,0.09905131161212921,0.17481282353401184,0.1209321841597557,0.15469536185264587,0.21115930378437042,0.20931656658649445,0.25226956605911255,0.16998548805713654
around,0.2775672674179077,0.24390216171741486,0.40085816383361816,0.1815856397151947,0.1367829293012619,0.34341543912887573,0.22725355625152588,0.14729668200016022
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
arches,0.131550133228302,0.3705676794052124,0.32370784878730774,0.37752658128738403,0.25965940952301025,0.281974732875824,0.3452569842338562,0.15862171351909637
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.24038183689117432,0.22863666713237762,1.0,0.2146766483783722,0.20544172823429108
entrance,0.19094887375831604,0.2455693483352661,0.31372344493865967,1.0000001192092896,0.34310591220855713,0.24038183689117432,0.40548601746559143,0.07963564246892929
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.14223605394363403,0.2648565471172333,0.6633074283599854,0.17191007733345032,0.31091248989105225
sculpted,0.24023744463920593,0.38204461336135864,0.2524046003818512,0.28725704550743103,0.15816384553909302,0.2868989109992981,0.34763386845588684,0.12233168631792068
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.17967933416366577,0.21702221035957336,0.4289871156215668,0.15245966613292694,0.17966607213020325
alfred,0.24065124988555908,0.10830948501825333,0.24956922233104706,0.1308170109987259,0.18625648319721222,0.20860691368579865,0.1646476536989212,0.10596195608377457
drury,0.2807064950466156,0.16965614259243011,0.2910057604312897,0.2940797507762909,0.3736845552921295,0.32562658190727234,0.29571807384490967,0.17688389122486115
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.21017757058143616,0.2654685378074646,0.588965117931366,0.22829467058181763,0.4130953550338745
,who,designed,the,entrance,hall,and,rotunda,?
other,0.3612329661846161,0.21431408822536469,0.44152235984802246,0.12222563475370407,0.09736662358045578,0.5504306554794312,0.14486296474933624,0.24682199954986572
areas,0.25495338439941406,0.18856047093868256,0.3311663568019867,0.21950238943099976,0.15677182376384735,0.40107932686805725,0.25411221385002136,0.1273590475320816
designed,0.21097040176391602,1.0,0.2559613883495331,0.2455693483352661,0.17264008522033691,0.2359010875225067,0.2934578061103821,0.11213942617177963
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.17967933416366577,0.21702221035957336,0.4289871156215668,0.15245966613292694,0.17966607213020325
webb,0.27205929160118103,0.13997310400009155,0.2468639612197876,0.1632390171289444,0.3041614890098572,0.2483363300561905,0.24268878996372223,0.11173157393932343
include,0.15078489482402802,0.17281818389892578,0.2951717972755432,0.15863721072673798,0.13836103677749634,0.3915219306945801,0.14064845442771912,0.14925788342952728
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
entrance,0.19094887375831604,0.2455693483352661,0.31372344493865967,1.0000001192092896,0.34310591220855713,0.24038183689117432,0.40548601746559143,0.07963564246892929
hall,0.21594181656837463,0.17264008522033691,0.28526565432548523,0.34310591220855713,1.0000001192092896,0.22863666713237762,0.3795866370201111,0.13520537316799164
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.24038183689117432,0.22863666713237762,1.0,0.2146766483783722,0.20544172823429108
rotunda,0.1866818517446518,0.2934578061103821,0.2560749650001526,0.40548601746559143,0.3795866370201111,0.2146766483783722,1.0000001192092896,0.11097706854343414
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.14223605394363403,0.2648565471172333,0.6633074283599854,0.17191007733345032,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
east,0.20229652523994446,0.1278136819601059,0.3383176326751709,0.2739301025867462,0.1972276270389557,0.27633291482925415,0.26133912801742554,0.10070597380399704
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.24038183689117432,0.22863666713237762,1.0,0.2146766483783722,0.20544172823429108
west,0.1436629444360733,0.138576939702034,0.32918402552604675,0.26245176792144775,0.20040789246559143,0.273951917886734,0.2447700947523117,0.12088293582201004
halls,0.19957825541496277,0.26730379462242126,0.27271297574043274,0.34813255071640015,0.6636294722557068,0.32353365421295166,0.3613368272781372,0.10686422884464264
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.14223605394363403,0.2648565471172333,0.6633074283599854,0.17191007733345032,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
areas,0.25495338439941406,0.18856047093868256,0.3311663568019867,0.21950238943099976,0.15677182376384735,0.40107932686805725,0.25411221385002136,0.1273590475320816
occupied,0.21746179461479187,0.2020023614168167,0.3288927674293518,0.22136351466178894,0.1298760026693344,0.26742085814476013,0.17646777629852295,0.11679025739431381
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.17967933416366577,0.21702221035957336,0.4289871156215668,0.15245966613292694,0.17966607213020325
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
shop,0.24709650874137878,0.2252047061920166,0.15152516961097717,0.23786099255084991,0.20353800058364868,0.23448626697063446,0.24592885375022888,0.1502307653427124
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.24038183689117432,0.22863666713237762,1.0,0.2146766483783722,0.20544172823429108
asian,0.25783979892730713,0.043024931102991104,0.2710895538330078,0.11329386383295059,0.088069386780262,0.20807486772537231,0.12196171283721924,0.10526347905397415
galleries,0.16204048693180084,0.30086803436279297,0.27603694796562195,0.30806025862693787,0.2976580858230591,0.3095110058784485,0.401292622089386,0.1957392692565918
as,0.3923053741455078,0.23383614420890808,0.48381632566452026,0.16445402801036835,0.15170250833034515,0.49487000703811646,0.17256514728069305,0.27043893933296204
well,0.3480316996574402,0.17608925700187683,0.42630070447921753,0.20113906264305115,0.17528872191905975,0.5258845686912537,0.17499369382858276,0.24815571308135986
as,0.3923053741455078,0.23383614420890808,0.48381632566452026,0.16445402801036835,0.15170250833034515,0.49487000703811646,0.17256514728069305,0.27043893933296204
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
costume,0.2713422179222107,0.3469504415988922,0.2800344228744507,0.2371097207069397,0.17948897182941437,0.21964071691036224,0.17588526010513306,0.1820250153541565
gallery,0.16549232602119446,0.2330966591835022,0.19251246750354767,0.26504066586494446,0.2531844675540924,0.20957361161708832,0.35764819383621216,0.18202216923236847
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.21017757058143616,0.2654685378074646,0.588965117931366,0.22829467058181763,0.4130953550338745
