,eicosanoids,include,what,compounds,that,result,in,fever,and,blood,vessel,dilation,?
blood,0.36882835626602173,0.20222443342208862,0.15800324082374573,0.268837034702301,0.2747363746166229,0.12449241429567337,0.12106697261333466,0.3681679368019104,0.2636592388153076,1.0,0.49511024355888367,0.3848193287849426,0.156274676322937
vessels,0.3953804671764374,0.2570984363555908,0.16299140453338623,0.2715964615345001,0.2703615725040436,0.13252569735050201,0.12977609038352966,0.29575711488723755,0.27553197741508484,0.5987582802772522,0.8318201303482056,0.3705275356769562,0.11436066776514053
associated,0.2439115196466446,0.2688739001750946,0.15836219489574432,0.23865310847759247,0.2675568461418152,0.2031148076057434,0.23328746855258942,0.18146729469299316,0.30157923698425293,0.1543729454278946,0.16506195068359375,0.19605572521686554,0.1453326791524887
with,0.26002055406570435,0.3391835689544678,0.2464839518070221,0.23910129070281982,0.4154358208179474,0.21787862479686737,0.4080928862094879,0.19790038466453552,0.5477725267410278,0.16979560256004333,0.13683709502220154,0.15624192357063293,0.2433311939239502
inflammation,0.5355671644210815,0.2433592975139618,0.24853453040122986,0.42391538619995117,0.3112649619579315,0.27975958585739136,0.23383644223213196,0.5303809642791748,0.2020522803068161,0.4603555202484131,0.3850618302822113,0.5351465940475464,0.2187519371509552
",",0.3180268704891205,0.35606324672698975,0.3087472915649414,0.20700839161872864,0.4137537479400635,0.23341737687587738,0.5201468467712402,0.24012744426727295,0.6633074283599854,0.21615765988826752,0.21717947721481323,0.20664329826831818,0.31091248989105225
and,0.3267737030982971,0.3915219306945801,0.31309178471565247,0.25433242321014404,0.4731321930885315,0.27436327934265137,0.4954058527946472,0.21023203432559967,1.0,0.2636592388153076,0.19361111521720886,0.18472996354103088,0.20544172823429108
leukotrienes,0.5802966356277466,0.24342361092567444,0.24476668238639832,0.5145448446273804,0.28828227519989014,0.25164106488227844,0.32793089747428894,0.2885169982910156,0.36615318059921265,0.37209969758987427,0.26946574449539185,0.37960606813430786,0.21069669723510742
that,0.3240887224674225,0.2797866463661194,0.6297725439071655,0.26948118209838867,1.0,0.3031747341156006,0.435920387506485,0.22264009714126587,0.4731321930885315,0.2747363746166229,0.2498200237751007,0.2516542971134186,0.32716336846351624
attract,0.20527710020542145,0.23664997518062592,0.2005894035100937,0.22829124331474304,0.2875032126903534,0.1164926290512085,0.2206280380487442,0.14117580652236938,0.26427873969078064,0.11943724006414413,0.03797333687543869,0.11229002475738525,0.12982657551765442
certain,0.33922645449638367,0.3428739309310913,0.4561643898487091,0.3556719124317169,0.5381532907485962,0.27443403005599976,0.2942397892475128,0.21725253760814667,0.36360108852386475,0.214156374335289,0.1380031406879425,0.3241783082485199,0.2516106069087982
white,0.24227392673492432,0.0995388925075531,0.1410645991563797,0.16374856233596802,0.2370445281267166,0.1479552835226059,0.1821274310350418,0.21232330799102783,0.2696375846862793,0.24106302857398987,0.14101597666740417,0.1015031710267067,0.124679796397686
blood,0.36882835626602173,0.20222443342208862,0.15800324082374573,0.268837034702301,0.2747363746166229,0.12449241429567337,0.12106697261333466,0.3681679368019104,0.2636592388153076,1.0,0.49511024355888367,0.3848193287849426,0.156274676322937
cells,0.5056809782981873,0.1654159277677536,0.1758001297712326,0.4153059124946594,0.2709589898586273,0.19210414588451385,0.1711641103029251,0.23989148437976837,0.24033623933792114,0.4241664409637451,0.30268895626068115,0.32620909810066223,0.1898086667060852
(,0.2722790837287903,0.20541292428970337,0.2411840260028839,0.21791891753673553,0.2264307141304016,0.20330387353897095,0.3087427020072937,0.18657682836055756,0.4862271547317505,0.17767393589019775,0.1483154147863388,0.26718708872795105,0.40561532974243164
leukocytes,0.5821873545646667,0.23794910311698914,0.19061218202114105,0.46974387764930725,0.2688695788383484,0.20998790860176086,0.22115154564380646,0.32267075777053833,0.24507655203342438,0.5078786611557007,0.3193966746330261,0.37799254059791565,0.18717224895954132
),0.26316067576408386,0.19260966777801514,0.26259949803352356,0.2126024067401886,0.23478686809539795,0.22005009651184082,0.3326910734176636,0.17162391543388367,0.4961937665939331,0.17565390467643738,0.14954674243927002,0.2657945454120636,0.42300865054130554
.,0.3099592328071594,0.21809983253479004,0.3567904531955719,0.23886778950691223,0.4460422694683075,0.31092435121536255,0.5591574311256409,0.21077097952365875,0.588965117931366,0.21786832809448242,0.1998070627450943,0.18608008325099945,0.4130953550338745
