,what,type,of,parenting,role,does,a,teacher,take,on,?
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2980336844921112,0.2629789710044861,0.3461615741252899,0.3739250600337982,0.27571162581443787,0.296702116727829,0.4077630043029785,0.20544172823429108
surrogate,0.22881203889846802,0.05520353093743324,0.21407796442508698,0.27667319774627686,0.19647207856178284,0.23228517174720764,0.2696859836578369,0.27547410130500793,0.2995156943798065,0.1984405219554901,0.09269599616527557
parent,0.2041042447090149,0.21072892844676971,0.18322299420833588,0.7071461081504822,0.1041630282998085,0.21125899255275726,0.2594400942325592,0.14130522310733795,0.2500421702861786,0.19894549250602722,0.19855059683322906
during,0.24137552082538605,0.1538453847169876,0.3869180977344513,0.17610086500644684,0.22268183529376984,0.15165476500988007,0.30341604351997375,0.16414563357830048,0.27423176169395447,0.3347817361354828,0.1325719803571701
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25867918133735657,0.26607486605644226,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.31620436906814575,0.5107308030128479,0.22068053483963013
course,0.3412042260169983,0.19186174869537354,0.2579863667488098,0.1858387440443039,0.1814287304878235,0.27630069851875305,0.2895289659500122,0.3196853995323181,0.3462885320186615,0.2990906238555908,0.28826573491096497
of,0.33290785551071167,0.18112817406654358,1.0,0.22431762516498566,0.1797693818807602,0.3119818866252899,0.5052502155303955,0.19968076050281525,0.29282352328300476,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25867918133735657,0.26607486605644226,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.31620436906814575,0.5107308030128479,0.22068053483963013
day,0.2990210950374603,0.06831710040569305,0.2934032380580902,0.13763192296028137,0.14451366662979126,0.12629863619804382,0.18630309402942657,0.1362585723400116,0.23210129141807556,0.3332281708717346,0.2141837179660797
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23799768090248108,0.22067026793956757,0.3022993505001068,0.50484299659729,0.225234717130661,0.3045158088207245,0.49257001280784607,0.4130953550338745
