,who,established,the,confederation,of,the,rhine,?
client,0.2563980221748352,0.11918584257364273,0.22438184916973114,0.14565962553024292,0.1617206633090973,0.22438184916973114,0.2378692477941513,0.20958182215690613
state,0.15636613965034485,0.22528508305549622,0.3097178041934967,0.2878730893135071,0.34253445267677307,0.3097178041934967,0.25422582030296326,0.1160883978009224
",",0.3365725874900818,0.22739723324775696,0.4933079481124878,0.23066601157188416,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
in,0.2792111933231354,0.3118882477283478,0.6662389636039734,0.24201244115829468,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
1806,0.019632447510957718,0.005703553557395935,0.13159698247909546,-0.037697069346904755,0.1389991044998169,0.13159698247909546,0.07429543137550354,0.10316470265388489
and,0.41279885172843933,0.2369968742132187,0.5171257257461548,0.2237556129693985,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
lasted,0.1503523588180542,0.22986645996570587,0.2910100221633911,0.18137355148792267,0.27373629808425903,0.2910100221633911,0.21994446218013763,0.13777512311935425
until,0.2530071437358856,0.2992169260978699,0.37191009521484375,0.16227662563323975,0.2787701487541199,0.37191009521484375,0.2225569188594818,0.20304496586322784
1814,0.19755493104457855,-0.01736689917743206,0.0333278514444828,0.08262200653553009,0.09749412536621094,0.0333278514444828,0.06650374084711075,0.1497342884540558
",",0.3365725874900818,0.22739723324775696,0.4933079481124878,0.23066601157188416,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
during,0.30551859736442566,0.21771489083766937,0.4838213622570038,0.21532683074474335,0.3869180977344513,0.4838213622570038,0.18684938549995422,0.1325719803571701
which,0.3688730001449585,0.26644110679626465,0.6521818041801453,0.2570469081401825,0.5011631846427917,0.6521818041801453,0.18744276463985443,0.25814583897590637
time,0.36634087562561035,0.17008745670318604,0.43061500787734985,0.20636069774627686,0.35127586126327515,0.43061500787734985,0.1911163330078125,0.27391523122787476
it,0.2868398427963257,0.27238577604293823,0.6251175999641418,0.2301097959280014,0.38761502504348755,0.6251175999641418,0.17693428695201874,0.25732165575027466
served,0.19309519231319427,0.2197170853614807,0.25209251046180725,0.14507290720939636,0.2967056334018707,0.25209251046180725,0.12873682379722595,0.117141492664814
as,0.3923053741455078,0.26194092631340027,0.48381632566452026,0.19671228528022766,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
a,0.36608949303627014,0.23500119149684906,0.5829201340675354,0.20444446802139282,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
significant,0.18698793649673462,0.3036348819732666,0.35524800419807434,0.16312764585018158,0.318554162979126,0.35524800419807434,0.12132226675748825,0.18679562211036682
source,0.09713317453861237,0.15098628401756287,0.30258262157440186,0.1414911150932312,0.18598204851150513,0.30258262157440186,0.20831243693828583,0.2462312877178192
of,0.2827862501144409,0.2735237777233124,0.733189046382904,0.3036113679409027,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
resources,0.22842295467853546,0.17999012768268585,0.25734785199165344,0.25185123085975647,0.2746381163597107,0.25734785199165344,0.16035619378089905,0.26047492027282715
and,0.41279885172843933,0.2369968742132187,0.5171257257461548,0.2237556129693985,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
military,0.28924500942230225,0.21531638503074646,0.2290858030319214,0.2991660535335541,0.27347031235694885,0.2290858030319214,0.2040538787841797,0.1890317052602768
manpower,0.3004007935523987,0.27105411887168884,0.3114681541919708,0.420514315366745,0.2533341646194458,0.3114681541919708,0.21304260194301605,0.3374505639076233
for,0.37110671401023865,0.1717284768819809,0.4739971458911896,0.2157653421163559,0.4185989499092102,0.4739971458911896,0.1584572196006775,0.264628142118454
the,0.3733934462070465,0.33092597126960754,1.0,0.338320255279541,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
first,0.39065709710121155,0.2571922838687897,0.49448907375335693,0.26231542229652405,0.3536086082458496,0.49448907375335693,0.13051658868789673,0.18701928853988647
french,0.2756427824497223,0.16478145122528076,0.2555147111415863,0.29079362750053406,0.19450366497039795,0.2555147111415863,0.2762029767036438,0.1386883556842804
empire,0.18977859616279602,0.30176958441734314,0.32532164454460144,0.33795711398124695,0.30522286891937256,0.32532164454460144,0.2721722424030304,0.14909450709819794
.,0.3541337847709656,0.23771190643310547,0.5934505462646484,0.2577512562274933,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4130953550338745
