,communication,complexity,is,an,example,of,what,type,of,measure,?
computational,0.4417133033275604,0.6165810823440552,0.2470806986093521,0.19987577199935913,0.35836201906204224,0.2832651138305664,0.29464593529701233,0.23533707857131958,0.2832651138305664,0.369442880153656,0.21617397665977478
resource,0.3606612980365753,0.29355037212371826,0.2658635079860687,0.14981383085250854,0.25422775745391846,0.23272927105426788,0.22875596582889557,0.13622310757637024,0.23272927105426788,0.216732919216156,0.28215932846069336
.,0.24448274075984955,0.21340465545654297,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23919615149497986,0.4130953550338745
,communication,complexity,is,an,example,of,what,type,of,measure,?
other,0.35359987616539,0.25132685899734497,0.25895947217941284,0.1556563824415207,0.42318204045295715,0.38583824038505554,0.341873437166214,0.2522227168083191,0.38583824038505554,0.2558101713657379,0.24682199954986572
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
measures,0.27331000566482544,0.25154271721839905,0.26016920804977417,0.1858448088169098,0.3053666949272156,0.24129846692085266,0.24211709201335907,0.12973858416080475,0.24129846692085266,0.8166682124137878,0.18777857720851898
used,0.26518046855926514,0.2618294954299927,0.3288823366165161,0.25728896260261536,0.48354339599609375,0.3075267970561981,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.37946778535842896,0.22430120408535004
in,0.18435372412204742,0.20012179017066956,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.17892111837863922,0.20430970191955566
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
theory,0.31186506152153015,0.42510488629341125,0.19279582798480988,0.15698443353176117,0.2446725219488144,0.23506702482700348,0.297923743724823,0.22037149965763092,0.23506702482700348,0.2624243199825287,0.1387292891740799
include,0.1379396617412567,0.18483740091323853,0.28863582015037537,0.14737801253795624,0.3811541199684143,0.37431180477142334,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.18693196773529053,0.14925788342952728
communication,1.0,0.3802680969238281,0.23138649761676788,0.21584460139274597,0.26335763931274414,0.2729943096637726,0.283955842256546,0.19772325456142426,0.2729943096637726,0.2850816547870636,0.1517418920993805
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
",",0.25464728474617004,0.27822354435920715,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18738344311714172,0.31091248989105225
circuit,0.17408417165279388,0.24284988641738892,0.22126400470733643,0.15244099497795105,0.10990441590547562,0.244392991065979,0.1518143117427826,0.08492936939001083,0.244392991065979,0.1928739696741104,0.058349963277578354
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
",",0.25464728474617004,0.27822354435920715,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18738344311714172,0.31091248989105225
and,0.31177079677581787,0.2520415782928467,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23739957809448242,0.20544172823429108
decision,0.25313958525657654,0.2765996754169464,0.2514069080352783,0.1716570407152176,0.20591168105602264,0.2331373691558838,0.32053670287132263,0.11840678006410599,0.2331373691558838,0.2378760725259781,0.2796577215194702
tree,0.11882607638835907,0.19538433849811554,0.2044319063425064,0.13667967915534973,0.22234119474887848,0.23309285938739777,0.17175592482089996,0.1364968717098236,0.23309285938739777,0.12303923815488815,0.10740261524915695
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
.,0.24448274075984955,0.21340465545654297,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23919615149497986,0.4130953550338745
