,what,do,supporters,of,islamism,believe,their,views,reflect,?
role,0.22614215314388275,0.10153601318597794,0.16536492109298706,0.1797693818807602,0.16712477803230286,0.20877164602279663,0.17009969055652618,0.18406179547309875,0.13646027445793152,0.18676944077014923
for,0.3017193675041199,0.29510271549224854,0.3304218053817749,0.4185989499092102,0.17044684290885925,0.2833847403526306,0.3406745493412018,0.1863105595111847,0.2788253426551819,0.264628142118454
islam,0.23237212002277374,0.23242424428462982,0.27495425939559937,0.21728332340717316,0.7715402841567993,0.36385172605514526,0.19335943460464478,0.2530454695224762,0.17171046137809753,0.18358638882637024
but,0.5029441118240356,0.4077886939048767,0.31829214096069336,0.39942997694015503,0.24552085995674133,0.46961119771003723,0.409988135099411,0.24762235581874847,0.30738022923469543,0.27921953797340393
also,0.42747777700424194,0.36242780089378357,0.2852189540863037,0.4924938678741455,0.25251519680023193,0.37320855259895325,0.4181114733219147,0.24220360815525055,0.19746412336826324,0.21848613023757935
because,0.46729007363319397,0.39530807733535767,0.3186238408088684,0.4075504541397095,0.2753404676914215,0.5057162046432495,0.43909528851509094,0.24351203441619873,0.28885021805763245,0.2528740465641022
its,0.30393704771995544,0.18495778739452362,0.20460951328277588,0.48690423369407654,0.1878480613231659,0.1737845242023468,0.5367968082427979,0.20933885872364044,0.23505757749080658,0.15103481709957123
supporters,0.15340010821819305,0.1839677095413208,0.9999999403953552,0.24738702178001404,0.3785093426704407,0.28562963008880615,0.24342554807662964,0.386549174785614,0.19792206585407257,0.135813906788826
believe,0.46656209230422974,0.40309545397758484,0.28562963008880615,0.2925758957862854,0.3634357750415802,1.0,0.2507425844669342,0.304360955953598,0.28501781821250916,0.3329349160194397
their,0.35142919421195984,0.35424983501434326,0.24342554807662964,0.4329940676689148,0.1824980229139328,0.2507425844669342,1.0,0.21418514847755432,0.2991953492164612,0.1898253709077835
views,0.32671356201171875,0.2119002789258957,0.386549174785614,0.1923438459634781,0.3313702642917633,0.304360955953598,0.21418514847755432,1.0,0.2997422218322754,0.19388815760612488
merely,0.4384106993675232,0.3063133955001831,0.230478435754776,0.29657962918281555,0.2852874994277954,0.39662495255470276,0.2839916944503784,0.2726438641548157,0.35707589983940125,0.31133392453193665
reflect,0.3106124997138977,0.3052545487880707,0.19792206585407257,0.2477911114692688,0.17425863444805145,0.28501781821250916,0.2991953492164612,0.2997422218322754,1.0000001192092896,0.1725967973470688
islam,0.23237212002277374,0.23242424428462982,0.27495425939559937,0.21728332340717316,0.7715402841567993,0.36385172605514526,0.19335943460464478,0.2530454695224762,0.17171046137809753,0.18358638882637024
",",0.3087472915649414,0.3283645510673523,0.2024371325969696,0.4946078956127167,0.20622773468494415,0.2459280639886856,0.3045167922973633,0.2727104723453522,0.23001055419445038,0.31091248989105225
while,0.35511791706085205,0.3032379448413849,0.2912416160106659,0.3366928696632385,0.22324150800704956,0.3286227583885193,0.35256603360176086,0.22585201263427734,0.17656569182872772,0.21076419949531555
the,0.42745697498321533,0.30239659547805786,0.24381227791309357,0.733189046382904,0.2584027051925659,0.2972484529018402,0.516537070274353,0.23137402534484863,0.279869943857193,0.22068053483963013
contrary,0.4802809953689575,0.3968243896961212,0.31236302852630615,0.2893366813659668,0.40965181589126587,0.4507230222225189,0.28416305780410767,0.38598474860191345,0.31603533029556274,0.3430522680282593
idea,0.44512778520584106,0.26625922322273254,0.29694002866744995,0.2342950403690338,0.351919025182724,0.4562827944755554,0.2628145217895508,0.33165135979652405,0.23835855722427368,0.2952161729335785
that,0.6297725439071655,0.44533252716064453,0.32078492641448975,0.41498205065727234,0.27515143156051636,0.533393383026123,0.4266771972179413,0.30377236008644104,0.3284010887145996,0.32716336846351624
islam,0.23237212002277374,0.23242424428462982,0.27495425939559937,0.21728332340717316,0.7715402841567993,0.36385172605514526,0.19335943460464478,0.2530454695224762,0.17171046137809753,0.18358638882637024
is,0.28837618231773376,0.30895981192588806,0.15415580570697784,0.4854315221309662,0.19005949795246124,0.27537423372268677,0.2101074606180191,0.1585468053817749,0.18374520540237427,0.22961433231830597
",",0.3087472915649414,0.3283645510673523,0.2024371325969696,0.4946078956127167,0.20622773468494415,0.2459280639886856,0.3045167922973633,0.2727104723453522,0.23001055419445038,0.31091248989105225
or,0.33867141604423523,0.39439281821250916,0.18914596736431122,0.3792596757411957,0.22809915244579315,0.23984891176223755,0.42146000266075134,0.17799441516399384,0.2862553298473358,0.32389625906944275
can,0.34502777457237244,0.45775556564331055,0.14754371345043182,0.2603091299533844,0.16523142158985138,0.322160542011261,0.3564860224723816,0.19238242506980896,0.2978872060775757,0.3226337134838104
be,0.3929833769798279,0.36575672030448914,0.19925056397914886,0.33904364705085754,0.18793043494224548,0.3950888514518738,0.3200586438179016,0.19737112522125244,0.3268892765045166,0.3324260413646698
",",0.3087472915649414,0.3283645510673523,0.2024371325969696,0.4946078956127167,0.20622773468494415,0.2459280639886856,0.3045167922973633,0.2727104723453522,0.23001055419445038,0.31091248989105225
apolitical,0.26857051253318787,0.1955214887857437,0.3775750696659088,0.2843259572982788,0.4979628324508667,0.24149885773658752,0.22644510865211487,0.3589033782482147,0.2299962341785431,0.2318745255470276
is,0.28837618231773376,0.30895981192588806,0.15415580570697784,0.4854315221309662,0.19005949795246124,0.27537423372268677,0.2101074606180191,0.1585468053817749,0.18374520540237427,0.22961433231830597
an,0.2821882665157318,0.25865980982780457,0.18296322226524353,0.32280945777893066,0.1711471527814865,0.1984095573425293,0.19624626636505127,0.13042809069156647,0.15886853635311127,0.19793890416622162
error,0.30197378993034363,0.18744701147079468,0.15148375928401947,0.15479235351085663,0.22818204760551453,0.21206703782081604,0.10748233646154404,0.1509750485420227,0.16674642264842987,0.2543688118457794
.,0.3567904531955719,0.3613996207714081,0.21483486890792847,0.5352458953857422,0.23342493176460266,0.26988279819488525,0.34427863359451294,0.2603122889995575,0.223892942070961,0.4130953550338745
