,where,does,the,amazon,region,rate,among,the,entire,earth,for,its,amount,of,biodiversity,?
study,0.26273444294929504,0.15242302417755127,0.2533665597438812,0.09405523538589478,0.22841645777225494,0.2161191999912262,0.25582173466682434,0.2533665597438812,0.16195222735404968,0.25079673528671265,0.18700449168682098,0.18204396963119507,0.17597833275794983,0.29377859830856323,0.40353924036026,0.15902167558670044
finding,0.29964685440063477,0.26940685510635376,0.2933822274208069,0.17544320225715637,0.141743004322052,0.2343580573797226,0.3070943057537079,0.2933822274208069,0.22264061868190765,0.18985605239868164,0.34628403186798096,0.21091662347316742,0.30867499113082886,0.2712748050689697,0.1982751339673996,0.18021653592586517
a,0.40997210144996643,0.38201746344566345,0.5829201340675354,0.1865728348493576,0.23209655284881592,0.24373900890350342,0.1789381206035614,0.5829201340675354,0.3950728178024292,0.21121151745319366,0.44038116931915283,0.4424409866333008,0.3439450263977051,0.5052502155303955,0.22185426950454712,0.23916715383529663
quarter,0.23668888211250305,0.13150952756404877,0.3659466803073883,0.09989020973443985,0.2603434920310974,0.2754007577896118,0.12331739068031311,0.3659466803073883,0.2541615664958954,0.16106711328029633,0.23415552079677582,0.2829935550689697,0.27115684747695923,0.30494412779808044,0.15248943865299225,0.1356993168592453
square,0.23094722628593445,0.14797891676425934,0.2809545397758484,0.20306317508220673,0.1688937395811081,0.17606179416179657,0.09903588145971298,0.2809545397758484,0.21732762455940247,0.1516212522983551,0.1615643948316574,0.24607285857200623,0.17614464461803436,0.2585134208202362,0.15969599783420563,0.1201515942811966
kilometer,0.27671509981155396,0.123512402176857,0.30453208088874817,0.19467444717884064,0.3331795334815979,0.1629296839237213,0.05410366132855415,0.30453208088874817,0.24123667180538177,0.3053037226200104,0.151545450091362,0.24872879683971405,0.2208845615386963,0.24783381819725037,0.19631867110729218,0.10425377637147903
(,0.1970011591911316,0.2728188931941986,0.33289089798927307,0.11605185270309448,0.1544569879770279,0.14072664082050323,0.1510712206363678,0.33289089798927307,0.1852695196866989,0.18478946387767792,0.3357032239437103,0.1924784928560257,0.1956038922071457,0.35032153129577637,0.1449849009513855,0.40561532974243164
62,-0.0316162183880806,-0.05369389057159424,-0.09844154864549637,-0.11711224168539047,-0.13539017736911774,-0.010053126141428947,-0.05320686474442482,-0.09844154864549637,-0.04975463077425957,-0.09045299142599106,0.12638670206069946,-0.1348101645708084,0.01193319819867611,-0.12567876279354095,-0.18332363665103912,0.11978938430547714
acres,0.17968957126140594,0.11314215511083603,0.1636062115430832,0.22399988770484924,0.20584160089492798,0.11814805865287781,0.11074165254831314,0.1636062115430832,0.2687109410762787,0.15324169397354126,0.2162744253873825,0.20279599726200104,0.1605205237865448,0.17438827455043793,0.25481411814689636,0.15370787680149078
),0.20711064338684082,0.2575884759426117,0.3456730246543884,0.131951242685318,0.1620774269104004,0.1473083794116974,0.1445360779762268,0.3456730246543884,0.21194589138031006,0.18219341337680817,0.3639558255672455,0.20629894733428955,0.19204795360565186,0.3680361211299896,0.12294887006282806,0.42300865054130554
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.20143137872219086,0.2852717339992523,0.24132871627807617,0.3679063022136688,0.733189046382904,0.3766143023967743,0.2329314798116684,0.4185989499092102,0.48690423369407654,0.2541177570819855,1.0,0.3051343262195587,0.1826142966747284
ecuadorian,0.11238925904035568,0.15845167636871338,0.1928035467863083,0.2734120786190033,0.1343163698911667,0.08783798664808273,0.15302316844463348,0.1928035467863083,0.1142093762755394,0.15099328756332397,0.17994098365306854,0.14969037473201752,0.15025678277015686,0.21076057851314545,0.2519761025905609,0.1844521313905716
rainforest,0.23460373282432556,0.16115479171276093,0.2571161389350891,0.48046615719795227,0.25668972730636597,0.18247449398040771,0.2578172981739044,0.2571161389350891,0.24051640927791595,0.3454352021217346,0.18492411077022552,0.2376646250486374,0.1846332550048828,0.22522282600402832,0.48838141560554504,0.1917492002248764
supports,0.1599520444869995,0.32698819041252136,0.2929544150829315,0.21649911999702454,0.16950616240501404,0.18188920617103577,0.2121756672859192,0.2929544150829315,0.28474655747413635,0.19698327779769897,0.36074456572532654,0.23860126733779907,0.1872217059135437,0.29851028323173523,0.2352346032857895,0.15266138315200806
more,0.29405033588409424,0.2897747755050659,0.39758381247520447,0.19582459330558777,0.1528862714767456,0.29550841450691223,0.3162573277950287,0.39758381247520447,0.33166366815567017,0.19403211772441864,0.3891189992427826,0.2746449112892151,0.3671000599861145,0.30478984117507935,0.2515466809272766,0.27894994616508484
than,0.2726525366306305,0.32178643345832825,0.3227543234825134,0.24920178949832916,0.1909969598054886,0.2922893166542053,0.2639242112636566,0.3227543234825134,0.3076160252094269,0.2436409294605255,0.30793827772140503,0.3136501908302307,0.3339851200580597,0.33036211133003235,0.24954795837402344,0.24917294085025787
"1,100",0.16290953755378723,0.15206065773963928,0.3130826950073242,0.22341299057006836,0.2889191508293152,0.1824619323015213,0.19934965670108795,0.3130826950073242,0.26414260268211365,0.18496952950954437,0.19021593034267426,0.2637479603290558,0.17021436989307404,0.3025454580783844,0.2584203779697418,0.2415713518857956
tree,0.17249880731105804,0.15706555545330048,0.2565799951553345,0.20608896017074585,0.1446220576763153,0.18031154572963715,0.16202548146247864,0.2565799951553345,0.1632774919271469,0.224104642868042,0.14376839995384216,0.15829136967658997,0.1366215944290161,0.23309285938739777,0.29574641585350037,0.10740261524915695
species,0.1888025850057602,0.1635095626115799,0.2522439956665039,0.2994495630264282,0.22915275394916534,0.22913667559623718,0.2494097799062729,0.2522439956665039,0.19333752989768982,0.21207286417484283,0.18632523715496063,0.25710946321487427,0.19653964042663574,0.23307405412197113,0.5203632116317749,0.1957087516784668
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.262887567281723,0.2506107687950134,0.2418757975101471,0.22495509684085846,0.5934505462646484,0.31781989336013794,0.2542925775051117,0.4726039469242096,0.3566088080406189,0.24893930554389954,0.5352458953857422,0.23720817267894745,0.4130953550338745
