,what,was,the,diameter,of,the,saturn,v,in,feet,?
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.15586675703525543,0.41827285289764404,0.4223487675189972,0.15670639276504517,0.14314915239810944,0.4080928862094879,0.19191908836364746,0.2433311939239502
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.2312367558479309,0.48690423369407654,0.559237003326416,0.22140102088451385,0.1524200141429901,0.3793783485889435,0.2018274962902069,0.15103481709957123
"96,800-pound",0.2439589500427246,0.20168018341064453,0.22333969175815582,0.22665339708328247,0.2178814858198166,0.22333969175815582,0.11434540152549744,0.18026787042617798,0.23530985414981842,0.29029572010040283,0.25521472096443176
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.19697368144989014,0.35032153129577637,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.3087427020072937,0.21065963804721832,0.40561532974243164
"43,900",0.11002252995967865,0.24655070900917053,0.21159783005714417,-0.09520276635885239,0.1431306004524231,0.21159783005714417,0.14650863409042358,0.12837255001068115,0.14890317618846893,-0.02401755005121231,0.1816425770521164
kg,0.08752016723155975,0.22378763556480408,0.14337459206581116,0.4408704936504364,0.1790316253900528,0.14337459206581116,0.1705811321735382,0.14917199313640594,0.1480094939470291,0.4009253680706024,0.14374905824661255
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.22628384828567505,0.3680361211299896,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.3326910734176636,0.23115503787994385,0.42300865054130554
lunar,0.18274477124214172,0.17547959089279175,0.23309995234012604,0.31531086564064026,0.204553484916687,0.23309995234012604,0.40841978788375854,0.1455918252468109,0.17049738764762878,0.13241469860076904,0.1628302037715912
payload,0.18250827491283417,0.13475386798381805,0.16401338577270508,0.31537196040153503,0.12013658136129379,0.16401338577270508,0.24985863268375397,0.229867622256279,0.11804072558879852,0.23376035690307617,0.2877492606639862
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19505108892917633,0.5352458953857422,0.5934505462646484,0.23308148980140686,0.2973858416080475,0.5591574311256409,0.268578439950943,0.4130953550338745
